mode,parent_run_id,pipe,side,scenario,mass_kg,mean_K,relative_heat_MWh
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,26,R,1,8338.095238095239,303.7162488620673,0.10278612087488811
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,27,S,1,6885.714285714287,353.9996018787685,0.08715846842610701
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,27,R,1,6885.714285714287,305.4851421228204,0.09909230838665714
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,28,S,1,5738.095238095239,353.6436709780467,0.07024929738081276
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,28,R,1,5738.095238095239,306.76231050549114,0.09112685643953808
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,29,S,1,4590.476190476191,353.3223484308966,0.05447857715213526
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,29,R,1,4590.476190476191,307.69104496895073,0.07787537416704751
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,30,S,1,1147.6190476190477,352.64640829769974,0.012714635554142418
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,30,R,1,1147.6190476190477,308.01221168275146,0.019898850086350617
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,31,S,1,2295.2380952380954,352.8885385871348,0.026077642216661093
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,31,R,1,2295.2380952380954,307.82271393703326,0.03929026732027796
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,32,S,1,1147.6190476190477,352.11098550608915,0.01199776392759719
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,32,R,1,1147.6190476190477,307.4643194377128,0.0191652832471599
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,33,S,1,5738.095238095239,353.9769889623033,0.072480676108753
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,33,R,1,5738.095238095239,305.654145412982,0.08370830679246323
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,34,S,1,4590.476190476191,353.56658995418536,0.055786626199081576
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,34,R,1,4590.476190476191,306.5401552862599,0.07171172053308104
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,35,S,1,3442.8571428571436,353.1637783498418,0.04022200970519794
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,35,R,1,3442.8571428571436,307.40865210415143,0.057272252618341596
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,36,S,1,2295.2380952380954,352.68130371086653,0.025522713270209274
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,36,R,1,2295.2380952380954,307.62044524635326,0.038748636715234874
