mode,stage,run_id,block,scope,formula,rows,maximum_normalized,raw_residual,tolerance,unit,all_pass
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,model,adopted,root-supply,44,0.0,0.0,1.0e-6,1,true
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,model,adopted,source-port,608,0.0,0.0,6.271428571428571e-5,kg/s,true
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,model,adopted,virtual-arc,47,0.0,0.0,1.0e-6,1,true
economic,aggregate-external_only,r7-recovery-19b3b66c-6f4c-4208-b30a-fc2e02b22fc2,model,adopted,virtual-node,44,0.0,0.0,1.0e-6,1,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,6-11,128,3.186029800247475e-11,8.881784197001252e-16,2.7877279102384292e-5,MW,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,6-19,704,2.947077565228914e-10,8.215650382226158e-15,2.7877279102384292e-5,MW,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,6-20,704,1.369469884802132e-10,3.81770942009391e-15,2.7877279102384292e-5,Mvar,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,6-22,704,0.0,0.0,1.0e-6,pu,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,6-24:25-P_line,752,0.0,0.0,2.7877279102384292e-5,MW,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,6-24:25-Q_line,752,0.0,0.0,2.7877279102384292e-5,Mvar,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,6-3/9,128,0.0,0.0,2.7877279102384292e-5,Mvar,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,6-4/57,32,0.0,0.0,2.7877279102384292e-5,MW,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,6-5/58,32,0.0,0.0,2.7877279102384292e-5,MW,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,6-51-P,16,0.0,0.0,2.7877279102384292e-5,MW,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,6-51-Q,16,0.0,0.0,2.7877279102384292e-5,Mvar,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,6-54,704,2.8276014477196335e-10,7.882583474838611e-15,2.7877279102384292e-5,MW,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,6-55,608,0.0,0.0,2.7877279102384292e-5,MW,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,6-63,1,0.0,0.0,1.0e-6,1,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,6-72,592,0.0,0.0,6.271428571428571e-5,kg/s,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,6-74,592,0.0,0.0,6.271428571428571e-5,kg/s,true
