mode,stage,run_id,time_h,t,critical_MW,chp_cap_MW,gt_cap_MW,pv_cap_MW,generation_upper_MW,unserved_lower_MW
economic,aggregate-author_event1,r7-recovery-e5b5ceb2-9b42-4ca8-9852-7c593b26e8db,11.75,8,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
economic,aggregate-author_event1,r7-recovery-e5b5ceb2-9b42-4ca8-9852-7c593b26e8db,12.0,9,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
economic,aggregate-author_event1,r7-recovery-e5b5ceb2-9b42-4ca8-9852-7c593b26e8db,12.25,10,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
economic,aggregate-author_event1,r7-recovery-e5b5ceb2-9b42-4ca8-9852-7c593b26e8db,12.5,11,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
economic,aggregate-author_event1,r7-recovery-e5b5ceb2-9b42-4ca8-9852-7c593b26e8db,12.75,12,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
economic,aggregate-author_event1,r7-recovery-e5b5ceb2-9b42-4ca8-9852-7c593b26e8db,13.0,13,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
economic,aggregate-author_event1,r7-recovery-e5b5ceb2-9b42-4ca8-9852-7c593b26e8db,13.25,14,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
economic,aggregate-author_event1,r7-recovery-e5b5ceb2-9b42-4ca8-9852-7c593b26e8db,13.5,15,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
economic,aggregate-author_event1,r7-recovery-e5b5ceb2-9b42-4ca8-9852-7c593b26e8db,13.75,16,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
economic,detailed-author_event1,r7-transport-ad07e877-cbdb-4309-9c32-3e308e1110c7,10.0,1,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
economic,detailed-author_event1,r7-transport-ad07e877-cbdb-4309-9c32-3e308e1110c7,10.25,2,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
economic,detailed-author_event1,r7-transport-ad07e877-cbdb-4309-9c32-3e308e1110c7,10.5,3,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
economic,detailed-author_event1,r7-transport-ad07e877-cbdb-4309-9c32-3e308e1110c7,10.75,4,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
economic,detailed-author_event1,r7-transport-ad07e877-cbdb-4309-9c32-3e308e1110c7,11.0,5,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
economic,detailed-author_event1,r7-transport-ad07e877-cbdb-4309-9c32-3e308e1110c7,11.25,6,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
economic,detailed-author_event1,r7-transport-ad07e877-cbdb-4309-9c32-3e308e1110c7,11.5,7,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
economic,detailed-author_event1,r7-transport-ad07e877-cbdb-4309-9c32-3e308e1110c7,11.75,8,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
economic,detailed-author_event1,r7-transport-ad07e877-cbdb-4309-9c32-3e308e1110c7,12.0,9,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
economic,detailed-author_event1,r7-transport-ad07e877-cbdb-4309-9c32-3e308e1110c7,12.25,10,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
economic,detailed-author_event1,r7-transport-ad07e877-cbdb-4309-9c32-3e308e1110c7,12.5,11,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
economic,detailed-author_event1,r7-transport-ad07e877-cbdb-4309-9c32-3e308e1110c7,12.75,12,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
economic,detailed-author_event1,r7-transport-ad07e877-cbdb-4309-9c32-3e308e1110c7,13.0,13,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
economic,detailed-author_event1,r7-transport-ad07e877-cbdb-4309-9c32-3e308e1110c7,13.25,14,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
economic,detailed-author_event1,r7-transport-ad07e877-cbdb-4309-9c32-3e308e1110c7,13.5,15,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
economic,detailed-author_event1,r7-transport-ad07e877-cbdb-4309-9c32-3e308e1110c7,13.75,16,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
penalty,aggregate-external_only,r7-recovery-67311f38-1d37-4fc2-ad11-ab6fc01abab9,10.0,1,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
penalty,aggregate-external_only,r7-recovery-67311f38-1d37-4fc2-ad11-ab6fc01abab9,10.25,2,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
penalty,aggregate-external_only,r7-recovery-67311f38-1d37-4fc2-ad11-ab6fc01abab9,10.5,3,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
penalty,aggregate-external_only,r7-recovery-67311f38-1d37-4fc2-ad11-ab6fc01abab9,10.75,4,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
penalty,aggregate-external_only,r7-recovery-67311f38-1d37-4fc2-ad11-ab6fc01abab9,11.0,5,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
penalty,aggregate-external_only,r7-recovery-67311f38-1d37-4fc2-ad11-ab6fc01abab9,11.25,6,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
penalty,aggregate-external_only,r7-recovery-67311f38-1d37-4fc2-ad11-ab6fc01abab9,11.5,7,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
penalty,aggregate-external_only,r7-recovery-67311f38-1d37-4fc2-ad11-ab6fc01abab9,11.75,8,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
penalty,aggregate-external_only,r7-recovery-67311f38-1d37-4fc2-ad11-ab6fc01abab9,12.0,9,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
penalty,aggregate-external_only,r7-recovery-67311f38-1d37-4fc2-ad11-ab6fc01abab9,12.25,10,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
penalty,aggregate-external_only,r7-recovery-67311f38-1d37-4fc2-ad11-ab6fc01abab9,12.5,11,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
penalty,aggregate-external_only,r7-recovery-67311f38-1d37-4fc2-ad11-ab6fc01abab9,12.75,12,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
penalty,aggregate-external_only,r7-recovery-67311f38-1d37-4fc2-ad11-ab6fc01abab9,13.0,13,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
penalty,aggregate-external_only,r7-recovery-67311f38-1d37-4fc2-ad11-ab6fc01abab9,13.25,14,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
penalty,aggregate-external_only,r7-recovery-67311f38-1d37-4fc2-ad11-ab6fc01abab9,13.5,15,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
penalty,aggregate-external_only,r7-recovery-67311f38-1d37-4fc2-ad11-ab6fc01abab9,13.75,16,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
penalty,detailed-external_only,r7-transport-2b1af380-ef3d-4ba2-87f9-7f9082090905,10.0,1,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
penalty,detailed-external_only,r7-transport-2b1af380-ef3d-4ba2-87f9-7f9082090905,10.25,2,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
penalty,detailed-external_only,r7-transport-2b1af380-ef3d-4ba2-87f9-7f9082090905,10.5,3,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
penalty,detailed-external_only,r7-transport-2b1af380-ef3d-4ba2-87f9-7f9082090905,10.75,4,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
penalty,detailed-external_only,r7-transport-2b1af380-ef3d-4ba2-87f9-7f9082090905,11.0,5,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
penalty,detailed-external_only,r7-transport-2b1af380-ef3d-4ba2-87f9-7f9082090905,11.25,6,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
penalty,detailed-external_only,r7-transport-2b1af380-ef3d-4ba2-87f9-7f9082090905,11.5,7,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
penalty,detailed-external_only,r7-transport-2b1af380-ef3d-4ba2-87f9-7f9082090905,11.75,8,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
penalty,detailed-external_only,r7-transport-2b1af380-ef3d-4ba2-87f9-7f9082090905,12.0,9,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
penalty,detailed-external_only,r7-transport-2b1af380-ef3d-4ba2-87f9-7f9082090905,12.25,10,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
penalty,detailed-external_only,r7-transport-2b1af380-ef3d-4ba2-87f9-7f9082090905,12.5,11,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
penalty,detailed-external_only,r7-transport-2b1af380-ef3d-4ba2-87f9-7f9082090905,12.75,12,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
penalty,detailed-external_only,r7-transport-2b1af380-ef3d-4ba2-87f9-7f9082090905,13.0,13,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
penalty,detailed-external_only,r7-transport-2b1af380-ef3d-4ba2-87f9-7f9082090905,13.25,14,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
penalty,detailed-external_only,r7-transport-2b1af380-ef3d-4ba2-87f9-7f9082090905,13.5,15,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
penalty,detailed-external_only,r7-transport-2b1af380-ef3d-4ba2-87f9-7f9082090905,13.75,16,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
penalty,aggregate-single_1_2,r7-recovery-5bd29f45-1d91-438e-ae3a-6ccf119dc0e2,10.0,1,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
penalty,aggregate-single_1_2,r7-recovery-5bd29f45-1d91-438e-ae3a-6ccf119dc0e2,10.25,2,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
penalty,aggregate-single_1_2,r7-recovery-5bd29f45-1d91-438e-ae3a-6ccf119dc0e2,10.5,3,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
penalty,aggregate-single_1_2,r7-recovery-5bd29f45-1d91-438e-ae3a-6ccf119dc0e2,10.75,4,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
penalty,aggregate-single_1_2,r7-recovery-5bd29f45-1d91-438e-ae3a-6ccf119dc0e2,11.0,5,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
penalty,aggregate-single_1_2,r7-recovery-5bd29f45-1d91-438e-ae3a-6ccf119dc0e2,11.25,6,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
penalty,aggregate-single_1_2,r7-recovery-5bd29f45-1d91-438e-ae3a-6ccf119dc0e2,11.5,7,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
penalty,aggregate-single_1_2,r7-recovery-5bd29f45-1d91-438e-ae3a-6ccf119dc0e2,11.75,8,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
penalty,aggregate-single_1_2,r7-recovery-5bd29f45-1d91-438e-ae3a-6ccf119dc0e2,12.0,9,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
penalty,aggregate-single_1_2,r7-recovery-5bd29f45-1d91-438e-ae3a-6ccf119dc0e2,12.25,10,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
penalty,aggregate-single_1_2,r7-recovery-5bd29f45-1d91-438e-ae3a-6ccf119dc0e2,12.5,11,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
penalty,aggregate-single_1_2,r7-recovery-5bd29f45-1d91-438e-ae3a-6ccf119dc0e2,12.75,12,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
penalty,aggregate-single_1_2,r7-recovery-5bd29f45-1d91-438e-ae3a-6ccf119dc0e2,13.0,13,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
penalty,aggregate-single_1_2,r7-recovery-5bd29f45-1d91-438e-ae3a-6ccf119dc0e2,13.25,14,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
penalty,aggregate-single_1_2,r7-recovery-5bd29f45-1d91-438e-ae3a-6ccf119dc0e2,13.5,15,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
penalty,aggregate-single_1_2,r7-recovery-5bd29f45-1d91-438e-ae3a-6ccf119dc0e2,13.75,16,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
penalty,detailed-single_1_2,r7-transport-33bb65e0-e0cb-440c-ad38-d669932df71a,10.0,1,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
penalty,detailed-single_1_2,r7-transport-33bb65e0-e0cb-440c-ad38-d669932df71a,10.25,2,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
penalty,detailed-single_1_2,r7-transport-33bb65e0-e0cb-440c-ad38-d669932df71a,10.5,3,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
penalty,detailed-single_1_2,r7-transport-33bb65e0-e0cb-440c-ad38-d669932df71a,10.75,4,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
penalty,detailed-single_1_2,r7-transport-33bb65e0-e0cb-440c-ad38-d669932df71a,11.0,5,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
