record_id,run_id,component,amount_USD
local_heat--highs,r5-dispatch-bdcbb9ce-a614-4fc3-ae34-936395799713,real_time_settlement,-0.0
local_heat--highs,r5-dispatch-bdcbb9ce-a614-4fc3-ae34-936395799713,delivery_penalty,0.0
local_heat--clarabel,r5-dispatch-7f4be322-445a-47a5-b580-ba79508e7a8b,day_ahead_cost,14.2
local_heat--clarabel,r5-dispatch-7f4be322-445a-47a5-b580-ba79508e7a8b,device_cost,-5.885304862145003e-15
local_heat--clarabel,r5-dispatch-7f4be322-445a-47a5-b580-ba79508e7a8b,real_time_settlement,-2.7755575615628914e-15
local_heat--clarabel,r5-dispatch-7f4be322-445a-47a5-b580-ba79508e7a8b,delivery_penalty,2.7755575615628914e-14
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,day_ahead_cost,5880.0
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,device_cost,21.84000000000022
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,real_time_settlement,-0.0
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,delivery_penalty,0.0
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,day_ahead_cost,5880.0
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,device_cost,21.8399999999967
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,real_time_settlement,-1.4210854715202004e-12
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,delivery_penalty,1.4210854715202004e-11
market_up_10percent--highs,r5-dispatch-ed168f7f-62a3-4e6c-81dc-f9bd03caec78,day_ahead_cost,5880.0
market_up_10percent--highs,r5-dispatch-ed168f7f-62a3-4e6c-81dc-f9bd03caec78,device_cost,801.8400000000003
market_up_10percent--highs,r5-dispatch-ed168f7f-62a3-4e6c-81dc-f9bd03caec78,real_time_settlement,-600.0
market_up_10percent--highs,r5-dispatch-ed168f7f-62a3-4e6c-81dc-f9bd03caec78,delivery_penalty,0.0
market_up_10percent--clarabel,r5-dispatch-3447300e-f2fb-4ddf-84bb-a12cd35ed29c,day_ahead_cost,5880.0
market_up_10percent--clarabel,r5-dispatch-3447300e-f2fb-4ddf-84bb-a12cd35ed29c,device_cost,801.8399999999904
market_up_10percent--clarabel,r5-dispatch-3447300e-f2fb-4ddf-84bb-a12cd35ed29c,real_time_settlement,-599.9999999999993
market_up_10percent--clarabel,r5-dispatch-3447300e-f2fb-4ddf-84bb-a12cd35ed29c,delivery_penalty,7.105427357601002e-12
quarter--highs,r5-dispatch-feed6868-b587-4b9e-939e-b1f67d77fe81,day_ahead_cost,3.55
quarter--highs,r5-dispatch-feed6868-b587-4b9e-939e-b1f67d77fe81,device_cost,0.0
quarter--highs,r5-dispatch-feed6868-b587-4b9e-939e-b1f67d77fe81,real_time_settlement,-0.0
