stage,run_id,time_h,generation_MW,pcc_MW,critical_MW,critical_served_MW,critical_unserved_MW,heat_unserved_MW
normal,74e43db5-0140-48be-8aa3-645aabf7a397,21.0,4.2122931901941305,27.118357053167404,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,21.25,3.4,27.915609822711847,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,21.5,3.4,27.898520052890476,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,21.75,3.4,27.882254635841324,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,22.0,3.4,25.81272247361755,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,22.25,3.4,25.798809151690694,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,22.5,3.4,25.78778388676443,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,22.75,3.4,25.78046285387441,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,23.0,3.4,23.72146308910974,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,23.25,3.4,23.722217905677176,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,23.5,3.4,23.728559193114354,NaN,NaN,NaN,NaN
normal,74e43db5-0140-48be-8aa3-645aabf7a397,23.75,3.4,23.739067611617635,NaN,NaN,NaN,NaN
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,10.0,10.719999999999999,0.0,13.750000000000002,10.720000000000017,3.0299999999999843,1.5864166666666666
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,10.25,10.719999999999999,0.0,13.750000000000002,10.720000000000017,3.0299999999999843,0.0
