record_id,run_id,case,case_sha256,route,solver,status,model_pass,risk_pass,cost_pass,evidence_pass,cost_complete,full_stopping,restricted_stopping,upper_bound,full_lower_bound,full_relative_gap,final_bound_scope,final_scoped_lower,scoped_relative_gap,iterations,critical_count,cuts,cost_subproblems,diagnostic_subproblems,elapsed_sec,budget_sec,budget_overrun_sec,reference_run_id,reference_cost,reference_cost_complete,candidate_comparable,candidate_cost_difference,candidate_relative_difference,same_domain_certified_pair,A2_pass,reference_infeasible,infeasibility_scope
quarter--paper_critical--highs,r5-benders-a47c0311-bf7b-45e4-bfc0-fa8e9fcfa78c,quarter.toml,a9fa178ef996fa31b663ac51797e132c4942a8c231f02dcd62b1e67cb6d144c1,paper_critical,highs,restricted_domain_gap,true,true,true,true,false,false,true,0.5212500000012372,-Inf,Inf,restricted_comfort_domain,0.5212499999999898,1.2474465904688259e-12,3,1,4,9,3,1.9860000610351562,600.0,0.0,r5-risk-10f35733-3ccf-46e1-883a-89d7a8d5a506,0.5212500000012394,true,true,-2.220446049250313e-15,2.220446049250313e-15,false,false,false,not_proved
thermal_e000_r005--cuts--highs,r5-benders-c02b948d-203c-4652-8332-de8d0e52d572,thermal_e000_r005.toml,c14883e5dbc9d84c196f14130a904f16f77c1349c77d9c48330520cbdaf492f8,cuts,highs,full_domain_gap,true,true,true,true,true,true,false,2.440000000001552,2.4399999999999773,6.4538538447841e-13,full_risk_domain,2.4399999999999773,6.4538538447841e-13,3,0,7,9,3,2.484999895095825,600.0,0.0,r5-risk-31608050-7aca-4270-b3cc-4b3371c7d46d,2.440000000001464,true,true,8.79296635503124e-14,3.603674735666249e-14,true,true,false,not_proved
thermal_e000_r005--critical--highs,r5-benders-722f77e1-2cf2-4e97-8533-56aa350ad49d,thermal_e000_r005.toml,c14883e5dbc9d84c196f14130a904f16f77c1349c77d9c48330520cbdaf492f8,critical,highs,full_domain_gap,true,true,true,true,true,true,false,2.4400000000015316,2.4399999999999764,6.37377218399157e-13,full_risk_domain,2.4399999999999764,6.37377218399157e-13,3,1,4,9,3,1.9940001964569092,600.0,0.0,r5-risk-31608050-7aca-4270-b3cc-4b3371c7d46d,2.440000000001464,true,true,6.750155989720952e-14,2.7664573728347192e-14,true,true,false,not_proved
thermal_e000_r005--paper_critical--highs,r5-benders-bd826efd-47d5-45f8-8f33-608c0276c07c,thermal_e000_r005.toml,c14883e5dbc9d84c196f14130a904f16f77c1349c77d9c48330520cbdaf492f8,paper_critical,highs,restricted_domain_gap,true,true,true,true,false,false,true,2.4400000000015316,-Inf,Inf,restricted_comfort_domain,2.4399999999999764,6.37377218399157e-13,3,1,4,9,3,1.8900001049041748,600.0,0.0,r5-risk-31608050-7aca-4270-b3cc-4b3371c7d46d,2.440000000001464,true,true,6.750155989720952e-14,2.7664573728347192e-14,false,false,false,not_proved
thermal_e025_r000--cuts--highs,r5-benders-beb0e396-2b87-4d0f-aa96-8b32540b5381,thermal_e025_r000.toml,7a641221041941fe218cde5ac56f368bb31f021670a45bb4467893c00817a815,cuts,highs,full_domain_gap,true,true,true,true,true,true,false,1.062600000014319,1.0625999999997813,1.3681257644885892e-11,full_risk_domain,1.0625999999997813,1.3681257644885892e-11,5,0,7,15,2,3.1619999408721924,600.0,0.0,r5-risk-be93d55a-a696-48b7-a024-f5a9da4d7731,1.0626000000144407,true,true,-1.2168044349891716e-13,1.1451199275104792e-13,true,true,false,not_proved
thermal_e025_r000--critical--highs,r5-benders-6f707f02-aefc-47fd-bf21-ba766892adbc,thermal_e025_r000.toml,7a641221041941fe218cde5ac56f368bb31f021670a45bb4467893c00817a815,critical,highs,full_domain_gap,true,true,true,true,true,true,false,1.0626000000144886,1.062599999999959,1.367373495922853e-11,full_risk_domain,1.062599999999959,1.367373495922853e-11,4,1,5,12,1,2.311000108718872,600.0,0.0,r5-risk-be93d55a-a696-48b7-a024-f5a9da4d7731,1.0626000000144407,true,true,4.796163466380676e-14,4.513611393106795e-14,true,true,false,not_proved
thermal_e025_r000--paper_critical--highs,r5-benders-2c70baff-9659-472c-af93-accbfbc81e6d,thermal_e025_r000.toml,7a641221041941fe218cde5ac56f368bb31f021670a45bb4467893c00817a815,paper_critical,highs,restricted_domain_gap,true,true,true,true,false,false,true,1.06260000001451,-Inf,Inf,restricted_comfort_domain,1.062599999999966,1.3687108622615237e-11,4,1,4,12,3,2.379999876022339,600.0,0.0,r5-risk-be93d55a-a696-48b7-a024-f5a9da4d7731,1.0626000000144407,true,true,6.927791673660977e-14,6.519660901154129e-14,false,false,false,not_proved
thermal_e025_r005--cuts--highs,r5-benders-747352fc-7c54-43ef-a6de-ccde732759f5,thermal_e025_r005.toml,82042252e86e09acf48e0704a59845f900672ef50736977add8eff70d33eac85,cuts,highs,full_domain_gap,true,true,true,true,true,true,false,2.440000000001552,2.4399999999999773,6.4538538447841e-13,full_risk_domain,2.4399999999999773,6.4538538447841e-13,3,0,7,9,3,1.9639999866485596,600.0,0.0,r5-risk-d9fb7e90-e5a7-4161-9268-e559fdbe5e98,2.440000000001464,true,true,8.79296635503124e-14,3.603674735666249e-14,true,true,false,not_proved
thermal_e025_r005--critical--highs,r5-benders-ffc41d0a-40c9-4257-901a-e9a3f918daaa,thermal_e025_r005.toml,82042252e86e09acf48e0704a59845f900672ef50736977add8eff70d33eac85,critical,highs,full_domain_gap,true,true,true,true,true,true,false,2.4400000000015316,2.4399999999999764,6.37377218399157e-13,full_risk_domain,2.4399999999999764,6.37377218399157e-13,3,1,4,9,3,1.812999963760376,600.0,0.0,r5-risk-d9fb7e90-e5a7-4161-9268-e559fdbe5e98,2.440000000001464,true,true,6.750155989720952e-14,2.7664573728347192e-14,true,true,false,not_proved
thermal_e025_r005--paper_critical--highs,r5-benders-0beed51c-c9d9-4fe6-82e5-882d87cb867f,thermal_e025_r005.toml,82042252e86e09acf48e0704a59845f900672ef50736977add8eff70d33eac85,paper_critical,highs,restricted_domain_gap,true,true,true,true,false,false,true,2.4400000000015387,-Inf,Inf,restricted_comfort_domain,2.439999999999964,6.453853844784135e-13,3,1,4,9,3,1.7909998893737793,600.0,0.0,r5-risk-d9fb7e90-e5a7-4161-9268-e559fdbe5e98,2.440000000001464,true,true,7.460698725481052e-14,3.05766341208047e-14,false,false,false,not_proved
