run_id,case,policy,electric,actor,t,CHP_MW,PV_MW,HP_MW,EB_MW,charge_MW,discharge_MW,P_D_MW,H_D_MW
import--heat--socp,import,heat,socp,B,3,0.14999999832989758,0.0,0.0,1.1326280133294943e-9,0.0,0.0,0.26494749510970755,0.21333334712785063
import--heat--socp,import,heat,socp,B,4,0.14999999716493015,0.0,0.0,1.6399584949183467e-8,0.0,0.0,0.26693161472689064,0.2116666893541948
import--heat--exact,import,heat,exact,DSO,1,0.029388886847125414,0.0,0.0,1.6799999365085638e-9,0.0,0.0,0.0,0.0
import--heat--exact,import,heat,exact,DSO,2,0.07938888891733449,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--heat--exact,import,heat,exact,DSO,3,0.0307777777069887,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--heat--exact,import,heat,exact,DSO,4,0.029388886814957646,0.0,0.0,1.679999939378682e-9,0.0,0.0,0.0,0.0
import--heat--exact,import,heat,exact,A,1,0.0,0.0,0.03577211547986441,0.0,0.0,0.050202114003874504,0.2119459038646145,0.10731634646437341
import--heat--exact,import,heat,exact,A,2,0.0,0.2699999999794147,0.04310544874881862,0.0,0.0,0.04004786440911744,0.26694241566306215,0.12931634646194656
import--heat--exact,import,heat,exact,A,3,0.0,0.35527386816498663,0.03652777709145265,0.0,0.1,0.0,0.21874609111713372,0.10958333129675796
import--heat--exact,import,heat,exact,A,4,0.0,0.089999999979395,0.035772836911515574,0.0,0.0,2.1562061080811583e-8,0.21195240686676753,0.10731851075931739
import--heat--exact,import,heat,exact,B,1,0.15,0.0,0.0,9.126081984039155e-10,0.0,0.0,0.2669250421536448,0.21166666661347114
import--heat--exact,import,heat,exact,B,2,0.15,0.0,0.0,0.0,0.0,0.0,0.3158954569222182,0.27166666646872595
import--heat--exact,import,heat,exact,B,3,0.15,0.0,0.0,0.0,0.0,0.0,0.26494744432378253,0.21333333325656023
import--heat--exact,import,heat,exact,B,4,0.15,0.0,0.0,9.531351952188789e-10,0.0,0.0,0.2669315778564361,0.21166666661331368
import--joint--socp,import,joint,socp,DSO,1,0.0293888795315234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--joint--socp,import,joint,socp,DSO,2,0.07938993730872179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--joint--socp,import,joint,socp,DSO,3,0.030777982915629106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--joint--socp,import,joint,socp,DSO,4,0.029388813745564384,0.0,0.0,4.964091689478967e-8,0.0,0.0,0.0,0.0
