run_id,case,policy,electric,edge,from,to,t,u_E,a_E,P_MW,u_H,a_H,direction,H_in_MW,heat_loss_MW
open--joint--socp,open,joint,socp,1,1,2,3,1.0,0.0,-0.1691922143074192,1.0,0.0,-1.0,-0.0018,0.0018
open--joint--socp,open,joint,socp,1,1,2,4,1.0,0.0,0.32175840408810596,1.0,0.0,-1.0,-0.0018,0.0018
open--joint--socp,open,joint,socp,2,2,3,1,0.0,1.0,0.0,1.0,0.0,1.0,0.19313135345142754,0.001799999999999996
open--joint--socp,open,joint,socp,2,2,3,2,0.0,0.0,0.0,1.0,0.0,1.0,0.09251970680633961,0.001799999999999996
open--joint--socp,open,joint,socp,2,2,3,3,0.0,0.0,0.0,1.0,0.0,1.0,0.10280580981176606,0.001799999999999996
open--joint--socp,open,joint,socp,2,2,3,4,0.0,0.0,0.0,1.0,0.0,1.0,0.19313139975374824,0.001799999999999996
open--joint--socp,open,joint,socp,3,1,3,1,1.0,1.0,0.24843047735153861,0.0,0.0,0.0,0.0,0.0
open--joint--socp,open,joint,socp,3,1,3,2,1.0,0.0,0.16768859149789556,0.0,0.0,0.0,0.0,0.0
open--joint--socp,open,joint,socp,3,1,3,3,1.0,0.0,0.16919291591020152,0.0,0.0,0.0,0.0,0.0
open--joint--socp,open,joint,socp,3,1,3,4,1.0,0.0,0.24843000951289038,0.0,0.0,0.0,0.0,0.0
open--joint--exact,open,joint,exact,1,1,2,1,1.0,0.0,0.32382000935169736,1.0,0.0,-1.0,-0.0018,0.0018
open--joint--exact,open,joint,exact,1,1,2,2,1.0,0.0,-0.07202144059396243,1.0,0.0,1.0,0.11480019992285134,0.001799999999999996
open--joint--exact,open,joint,exact,1,1,2,3,1.0,-0.0,-0.1691926242636703,1.0,0.0,-1.0,-0.0018,0.0018
open--joint--exact,open,joint,exact,1,1,2,4,1.0,-0.0,0.32300594563300766,1.0,0.0,-1.0,-0.0018,0.0018
open--joint--exact,open,joint,exact,2,2,3,1,0.0,1.0,0.0,1.0,0.0,1.0,0.1931329386020219,0.001799999999999996
open--joint--exact,open,joint,exact,2,2,3,2,-0.0,0.0,0.0,1.0,0.0,1.0,0.09251869513213148,0.001799999999999996
open--joint--exact,open,joint,exact,2,2,3,3,-0.0,-0.0,0.0,1.0,0.0,1.0,0.10280600364810727,0.001799999999999996
open--joint--exact,open,joint,exact,2,2,3,4,-0.0,-0.0,0.0,1.0,0.0,1.0,0.1931329386208903,0.001799999999999996
open--joint--exact,open,joint,exact,3,1,3,1,1.0,1.0,0.24843170661518396,0.0,0.0,0.0,0.0,0.0
open--joint--exact,open,joint,exact,3,1,3,2,1.0,0.0,0.1676882739701746,0.0,0.0,0.0,0.0,0.0
open--joint--exact,open,joint,exact,3,1,3,3,1.0,-0.0,0.16919262785533867,0.0,0.0,0.0,0.0,0.0
open--joint--exact,open,joint,exact,3,1,3,4,1.0,-0.0,0.24843170661545666,0.0,0.0,0.0,0.0,0.0
import--fixed--socp,import,fixed,socp,1,1,2,1,1.0,0.0,0.31570009677806543,1.0,0.0,1.0,0.03526660818252252,0.001800000000000003
import--fixed--socp,import,fixed,socp,1,1,2,2,1.0,0.0,0.16662810446810472,1.0,0.0,1.0,0.09526665513260635,0.001799999999999996
import--fixed--socp,import,fixed,socp,1,1,2,3,1.0,0.0,0.11533351257350555,1.0,0.0,1.0,0.036933386426550106,0.001800000000000003
import--fixed--socp,import,fixed,socp,1,1,2,4,1.0,0.0,0.2756800463874522,1.0,0.0,1.0,0.03526660236172098,0.001800000000000003
import--fixed--socp,import,fixed,socp,2,2,3,1,1.0,0.0,0.11709196614078965,1.0,0.0,1.0,0.033466604086865234,0.001800000000000003
import--fixed--socp,import,fixed,socp,2,2,3,2,1.0,0.0,0.1662128549323209,1.0,0.0,1.0,0.09346662810315501,0.001799999999999996
import--fixed--socp,import,fixed,socp,2,2,3,3,1.0,0.0,0.11510615556410986,1.0,0.0,1.0,0.0351333826416231,0.001800000000000003
import--fixed--socp,import,fixed,socp,2,2,3,4,1.0,0.0,0.1171011631885428,1.0,0.0,1.0,0.033466598227949625,0.001800000000000003
import--fixed--socp,import,fixed,socp,3,1,3,1,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
import--fixed--socp,import,fixed,socp,3,1,3,2,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
import--fixed--socp,import,fixed,socp,3,1,3,3,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
import--fixed--socp,import,fixed,socp,3,1,3,4,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
