run_id,case,policy,electric,status,model_A1,original_electric_A1,heat_A1,ledger_A1,cost,resource_cost,discomfort_cost,external_cost,switching_cost,objective_bound,relative_gap,certificate_A2,PV_available_MWh,PV_used_MWh,PV_curtailed_MWh,electric_loss_MWh,heat_loss_MWh,electric_actions,valve_actions,electric_checked_saving,electric_checked_saving_fraction,elapsed_sec,budget_sec,input_sha256,unit
import--electric--socp,import,electric,socp,solver_optimal,true,true,true,true,191.79273401224114,124.30209172321011,4.213226596684111,63.27741569234692,0.0,191.79273230196927,4.118347477800456e-8,true,0.81,0.7152707491691821,0.09472925083081796,0.0034011346496390033,0.014400000000000024,0.0,0.0,5.603324439107382e-6,2.92155190563461e-8,0.10399985313415527,600.0,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c,USD_synthetic
import--electric--exact,import,electric,exact,solver_optimal,true,true,true,true,191.79273233362952,124.30217302880797,4.213190014451899,63.27736929036964,0.0,191.79264136288188,4.744348056165889e-7,true,0.81,0.715273868200318,0.09472613179968203,0.0034011329310543533,0.014399999921701184,0.0,0.0,-5.952543347120809e-8,-3.103633425803446e-10,0.17400002479553223,600.0,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c,USD_synthetic
import--heat--socp,import,heat,socp,solver_optimal,true,true,true,true,191.79273413857504,124.3021298259802,4.2132335613044045,63.27737075129044,0.0,191.79264832665066,5.250634841623437e-7,true,0.81,0.7152717575823818,0.09472824241761824,0.0034011374219850505,0.014400000000000024,0.0,0.0,5.4769905375451344e-6,2.8556818931328466e-8,0.03299999237060547,600.0,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c,USD_synthetic
import--heat--exact,import,heat,exact,solver_optimal,true,true,true,true,191.7927323567859,124.30217260297584,4.21319001162174,63.27736974218832,0.0,191.79257800467826,8.049028015880796e-7,true,0.81,0.7152738681237963,0.09472613187620371,0.003401132931209538,0.014400000000000024,0.0,0.0,-8.268182227766374e-8,-4.3109987170680435e-10,0.1809999942779541,600.0,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c,USD_synthetic
import--joint--socp,import,joint,socp,solver_optimal,true,true,true,true,191.79273357639244,124.30237662121331,4.2129548677991036,63.27740208738,0.0,191.79273175005798,5.0818985504228574e-8,true,0.81,0.7152733423689287,0.09472665763107135,0.00340115539779449,0.014399999999999968,0.0,0.0,6.039173143790322e-6,3.148801751252628e-8,0.11399984359741211,600.0,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c,USD_synthetic
import--joint--exact,import,joint,exact,solver_optimal,true,true,true,true,191.7927322627555,124.30217313267337,4.213190012994518,63.2773691170876,0.0,191.79267982118864,2.735451268350394e-7,true,0.81,0.7152738681584633,0.09472613184153678,0.003401132931139453,0.014399999923398937,0.0,0.0,1.1348589623594307e-8,5.917111398869517e-11,0.2780001163482666,600.0,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c,USD_synthetic
electric_bottleneck--fixed--socp,electric_bottleneck,fixed,socp,solver_optimal,true,true,true,true,192.03418770604551,126.4034966549941,4.781477284772804,60.849213766278616,0.0,192.034142181327,2.9845787179344334e-7,true,0.81,0.7152696362892319,0.09473036371076815,0.0033263261987595337,0.014400000000000024,0.0,0.0,0.0,0.0,0.03500008583068848,600.0,29325aa5fc3ec9f6866ffc43e81b71d7864c8ee90626ffd45be9beece58358f9,USD_synthetic
electric_bottleneck--fixed--exact,electric_bottleneck,fixed,exact,solver_optimal,true,true,true,true,192.0341765466087,126.40386752089044,4.7814196207418265,60.848889404976454,0.0,192.03401491657058,8.417899409364452e-7,true,0.81,0.7152738682162592,0.0947261317837409,0.0033263016825224997,0.014399999941547337,0.0,0.0,0.0,0.0,0.14899992942810059,600.0,29325aa5fc3ec9f6866ffc43e81b71d7864c8ee90626ffd45be9beece58358f9,USD_synthetic
electric_bottleneck--electric--socp,electric_bottleneck,electric,socp,solver_optimal,true,false,true,true,191.8035232459669,124.30213128068968,4.201999299553285,63.19939266572392,0.1,191.80351857779334,2.9703573836637767e-8,true,0.81,0.715270782492233,0.09472921750776708,0.002350346994925272,0.014400000000000024,2.0,0.0,NaN,NaN,0.0690000057220459,600.0,29325aa5fc3ec9f6866ffc43e81b71d7864c8ee90626ffd45be9beece58358f9,USD_synthetic
electric_bottleneck--electric--exact,electric_bottleneck,electric,exact,solver_optimal,true,true,true,true,191.80351862143272,124.30219993363971,4.201923487478199,63.1993952003148,0.1,191.80334953854594,8.816589394461571e-7,true,0.81,0.7152760241584777,0.09472397584152237,0.0023503150845780056,0.014400000006967756,2.0,0.0,0.23065792517598993,0.0012011295558111597,0.30699992179870605,600.0,29325aa5fc3ec9f6866ffc43e81b71d7864c8ee90626ffd45be9beece58358f9,USD_synthetic
electric_bottleneck--heat--socp,electric_bottleneck,heat,socp,solver_optimal,true,true,true,true,192.03417672801856,126.40421772524446,4.781465624390231,60.84849337838388,0.0,192.0341422550633,1.8063919329196804e-7,true,0.81,0.7152748818459105,0.09472511815408957,0.0033262943188980187,0.014399999999999996,0.0,0.0,1.0978026949715058e-5,5.716704447709888e-8,0.03900003433227539,600.0,29325aa5fc3ec9f6866ffc43e81b71d7864c8ee90626ffd45be9beece58358f9,USD_synthetic
electric_bottleneck--heat--exact,electric_bottleneck,heat,exact,solver_optimal,true,true,true,true,192.0341765466087,126.40386752322237,4.781419619483504,60.84888940390283,0.0,192.03415228911467,1.2643527557781856e-7,true,0.81,0.7152738682162592,0.0947261317837409,0.0033263016825254067,0.014399999941547281,0.0,0.0,0.0,0.0,0.08300018310546875,600.0,29325aa5fc3ec9f6866ffc43e81b71d7864c8ee90626ffd45be9beece58358f9,USD_synthetic
electric_bottleneck--joint--socp,electric_bottleneck,joint,socp,solver_optimal,true,true,true,true,191.8035190507863,124.30249548514325,4.201866586981512,63.19915697866151,0.1,191.80351816417343,2.1032126558725213e-8,true,0.81,0.7152758434226685,0.09472415657733158,0.002350318377226681,0.014400000000000024,2.0,0.0,0.23066865525922253,0.001201185361912309,0.10500001907348633,600.0,29325aa5fc3ec9f6866ffc43e81b71d7864c8ee90626ffd45be9beece58358f9,USD_synthetic
electric_bottleneck--joint--exact,electric_bottleneck,joint,exact,solver_optimal,true,true,true,true,191.80351863222,124.30219995114996,4.201923479522124,63.19939520154796,0.1,191.80341450139915,5.430203869446083e-7,true,0.81,0.7152760240870789,0.09472397591292114,0.002350315085043854,0.014399999922771967,2.0,0.0,0.23065791438870065,0.0012011294996373603,0.31100010871887207,600.0,29325aa5fc3ec9f6866ffc43e81b71d7864c8ee90626ffd45be9beece58358f9,USD_synthetic
heat_bottleneck--fixed--socp,heat_bottleneck,fixed,socp,solver_optimal,true,false,true,true,191.7927604815606,124.3020554292406,4.213066798130188,63.27763825418984,0.0,191.79264833999815,6.366398768623502e-7,true,0.81,0.7152996307245738,0.09470036927542624,0.0034013367342731454,0.014400000000000024,0.0,0.0,NaN,NaN,0.03099989891052246,600.0,d3817ef08ce81ada0febc8ddd5324b716893c38ac36923ce4f3200fc0833ed9a,USD_synthetic
heat_bottleneck--fixed--exact,heat_bottleneck,fixed,exact,solver_optimal,true,true,true,true,191.7927323164681,124.30217307842473,4.21318991655215,63.277369321491214,0.0,191.79268205086572,2.6219150572197213e-7,true,0.81,0.7152738685709805,0.09472613142901953,0.0034011329369729665,0.014400000046669387,0.0,0.0,0.0,0.0,0.16899991035461426,600.0,d3817ef08ce81ada0febc8ddd5324b716893c38ac36923ce4f3200fc0833ed9a,USD_synthetic
heat_bottleneck--electric--socp,heat_bottleneck,electric,socp,solver_optimal,true,true,true,true,191.79274295051624,124.30222727241477,4.2129846708380985,63.27753100726336,0.0,191.79273230253557,1.5984309650130122e-7,true,0.81,0.7152740930707981,0.09472590692920191,0.003401180536528382,0.014400000000000024,0.0,0.0,NaN,NaN,0.06200003623962402,600.0,d3817ef08ce81ada0febc8ddd5324b716893c38ac36923ce4f3200fc0833ed9a,USD_synthetic
heat_bottleneck--electric--exact,heat_bottleneck,electric,exact,solver_optimal,true,true,true,true,191.79273236200862,124.30217260163317,4.213190013485575,63.27736974688989,0.0,191.7925727580256,8.322858799360817e-7,true,0.81,0.7152738681238944,0.09472613187610568,0.003401132913657106,0.014399999926360235,0.0,0.0,-4.55405313459778e-8,-2.374465955823265e-10,0.21500015258789062,600.0,d3817ef08ce81ada0febc8ddd5324b716893c38ac36923ce4f3200fc0833ed9a,USD_synthetic
heat_bottleneck--heat--socp,heat_bottleneck,heat,socp,solver_optimal,true,true,true,true,191.792733428046,124.30216921419716,4.213209670289628,63.27735454355921,0.0,191.79264833999815,4.656111767352084e-7,true,0.81,0.7152751624194461,0.09472483758055394,0.003401132555549043,0.014400000000000052,0.0,0.0,NaN,NaN,0.03299999237060547,600.0,d3817ef08ce81ada0febc8ddd5324b716893c38ac36923ce4f3200fc0833ed9a,USD_synthetic
heat_bottleneck--heat--exact,heat_bottleneck,heat,exact,solver_optimal,true,true,true,true,191.7927323250829,124.30217302491707,4.21319001246683,63.277369287699,0.0,191.7925411184043,9.970611308827152e-7,true,0.81,0.7152738682160176,0.09472613178398248,0.0034011329312086842,0.014399999999999996,0.0,0.0,-8.614819080321467e-9,-4.491733850533274e-11,0.15000009536743164,600.0,d3817ef08ce81ada0febc8ddd5324b716893c38ac36923ce4f3200fc0833ed9a,USD_synthetic
heat_bottleneck--joint--socp,heat_bottleneck,joint,socp,solver_optimal,true,true,true,true,191.79274878837032,124.30194982559043,4.212970433268538,63.27782852951137,0.0,191.79273230250024,2.0518208916862454e-7,true,0.81,0.7152705797099901,0.09472942029000997,0.00340116287436115,0.014400000000000024,0.0,0.0,NaN,NaN,0.11600017547607422,600.0,d3817ef08ce81ada0febc8ddd5324b716893c38ac36923ce4f3200fc0833ed9a,USD_synthetic
heat_bottleneck--joint--exact,heat_bottleneck,joint,exact,solver_optimal,true,true,true,true,191.79273225624573,124.30217310520034,4.2131900138228,63.27736913722258,0.0,191.79259167949857,7.330785983760048e-7,true,0.81,0.7152738681996127,0.09472613180038736,0.003401132931138565,0.014399999920599205,0.0,0.0,6.022236220815103e-8,3.139971023968779e-10,0.3680000305175781,600.0,d3817ef08ce81ada0febc8ddd5324b716893c38ac36923ce4f3200fc0833ed9a,USD_synthetic
oracle--joint--socp,oracle,joint,socp,solver_optimal,true,true,true,true,54.2722152466032,26.289172989500358,1.035195070114721,26.947847186988124,0.0,54.272195867980955,3.8556871962948036e-7,true,0.0,0.0,0.0,0.0016033896375293635,0.003600000000000006,0.0,0.0,NaN,NaN,0.029999971389770508,600.0,ee7709b9c72fbe6969f9750734cdf0f8133728a8e2e895d122070ed92806b676,USD_synthetic
oracle--joint--exact,oracle,joint,exact,solver_optimal,true,true,true,true,54.2722140552374,26.28999963859477,1.035003748275527,26.947210668367102,0.0,54.27217847881583,6.556210089384074e-7,true,0.0,0.0,0.0,0.0016033644648260083,0.003600000000000006,0.0,0.0,NaN,NaN,0.04699993133544922,600.0,ee7709b9c72fbe6969f9750734cdf0f8133728a8e2e895d122070ed92806b676,USD_synthetic
