source_id,sample,P_MW,H_MW,ambient_raw
figshare-14813121-v3,31,16.378804260000003,14.949797563999999,-10.0
figshare-14813121-v3,32,16.351298464000003,14.764712532,-10.0
figshare-14813121-v3,33,16.314708189999998,14.703949436999999,-10.0
figshare-14813121-v3,34,15.980020678999999,14.543887561000004,-10.0
figshare-14813121-v3,35,15.500172987,14.450860702999998,-10.0
figshare-14813121-v3,36,14.446209791999996,14.12295745,-10.0
figshare-14813121-v3,37,13.777289117,14.023331456000001,-10.0
figshare-14813121-v3,38,13.207480955,13.762556641000002,-10.0
figshare-14813121-v3,39,13.048508010000003,13.423158243999996,-10.0
figshare-14813121-v3,40,13.161484807999996,13.352184555000001,-10.0
figshare-14813121-v3,41,13.11887428,13.071280506999999,-10.0
figshare-14813121-v3,42,13.098040286,12.883142689000001,-10.0
figshare-14813121-v3,43,13.090087884000003,12.691774274,-10.0
figshare-14813121-v3,44,13.203204852,12.631394357,-10.0
figshare-14813121-v3,45,13.210500761,12.45242434,-10.0
figshare-14813121-v3,46,13.264552346999999,12.348537537000002,-10.0
figshare-14813121-v3,47,13.342540567000002,12.210394232999999,-10.0
figshare-14813121-v3,48,13.459841940999999,12.087309137,-10.0
figshare-14813121-v3,49,13.298505908,11.596978237,-10.0
figshare-14813121-v3,50,13.342079144999998,11.323606796000002,-10.0
figshare-14813121-v3,51,13.461738416000003,11.147971525,-10.0
figshare-14813121-v3,52,13.489346235000001,10.855370603,-10.0
figshare-14813121-v3,53,13.492077193,10.623962214999999,-10.0
figshare-14813121-v3,54,13.462974691000003,10.335720959999998,-10.0
figshare-14813121-v3,55,13.581283891000002,10.221635357999999,-10.0
figshare-14813121-v3,56,13.581114664999998,10.028715492,-10.0
figshare-14813121-v3,57,13.412136248,9.760709064000002,-10.0
figshare-14813121-v3,58,13.623763226999996,9.897771096999998,-10.0
figshare-14813121-v3,59,13.480135995000003,9.599440743,-10.0
figshare-14813121-v3,60,13.713653154,9.704657789000002,-10.0
figshare-14813121-v3,61,13.488191566,9.402785116999999,-10.0
figshare-14813121-v3,62,13.585816910000002,9.434182112,-10.0
figshare-14813121-v3,63,13.444770252000003,9.231055049,-10.0
figshare-14813121-v3,64,13.472486520999997,9.283265370999999,-10.0
figshare-14813121-v3,65,13.471905277000001,9.283771243,-10.0
figshare-14813121-v3,66,13.511630980000001,9.347627868000002,-10.0
figshare-14813121-v3,67,13.469940659999999,9.350506619999999,-10.0
figshare-14813121-v3,68,13.235905373000003,9.276574206,-10.0
figshare-14813121-v3,69,12.641469770000004,9.697079851,-10.0
figshare-14813121-v3,70,11.798976352999999,10.599544556,-10.0
figshare-14813121-v3,71,10.26661585,11.301744387000001,-10.0
figshare-14813121-v3,72,8.848792602,11.972965546,-10.0
figshare-14813121-v3,73,7.7973664959999995,11.859582212999998,-10.0
figshare-14813121-v3,74,7.563231377,10.846591014000001,-10.0
figshare-14813121-v3,75,6.9719438390000015,8.885233498,-10.0
figshare-14813121-v3,76,6.992682103999999,6.681274733999996,-10.0
figshare-14813121-v3,77,6.9092556630000015,4.941894690000001,-10.0
figshare-14813121-v3,78,6.693730004,4.713918983000001,-10.0
figshare-14813121-v3,79,6.741086402999999,4.573585392,-10.0
figshare-14813121-v3,80,6.824260437,4.445362466000001,-10.0
figshare-14813121-v3,81,6.780153748999999,4.191793809,-10.0
figshare-14813121-v3,82,6.788930894999999,4.080390715,-10.0
figshare-14813121-v3,83,6.883244876000001,4.056454706,-10.0
figshare-14813121-v3,84,6.890529994000001,3.888739328,-10.0
figshare-14813121-v3,85,6.8954862320000005,3.7261578050000006,-10.0
figshare-14813121-v3,86,7.147743525000001,3.7013373340000006,-10.0
figshare-14813121-v3,87,7.675972622999999,3.5899979110000007,-10.0
figshare-14813121-v3,88,8.630775618,3.918363209000001,-10.0
figshare-14813121-v3,89,9.048339553999998,3.676926495999999,-10.0
figshare-14813121-v3,90,9.804016622,3.744143691,-10.0
figshare-14813121-v3,91,9.643357116999999,3.6063648419999996,-10.0
figshare-14813121-v3,92,9.775808102,3.7640076330000003,-10.0
figshare-14813121-v3,93,9.558320599,3.624035372,-10.0
figshare-14813121-v3,94,9.632924265000002,3.721052706000001,-10.0
figshare-14813121-v3,95,9.508854873000002,5.008975747000001,-10.0
figshare-14813121-v3,96,9.531748482000001,5.572057209,-10.0
