stage,name,quantity,entity,t,time_h,value,unit
3,diagnostic,tau_R_out,1,1,1.0,312.7829914094691,K
3,diagnostic,tau_R_out,1,2,2.0,312.75820964948207,K
3,diagnostic,tau_R_out,1,3,3.0,312.7885462621309,K
3,diagnostic,tau_R_out,1,4,4.0,312.7803863628152,K
3,diagnostic,tau_R_out,2,1,1.0,312.90243095391577,K
3,diagnostic,tau_R_out,2,2,2.0,312.89941624304817,K
3,diagnostic,tau_R_out,2,3,3.0,312.91145132975794,K
3,diagnostic,tau_R_out,2,4,4.0,312.906599452069,K
3,diagnostic,H_port,1,1,1.0,0.22353248016262564,MW
3,diagnostic,H_port,1,2,2.0,0.19920821472978026,MW
3,diagnostic,H_port,1,3,3.0,0.28889857095018256,MW
3,diagnostic,H_port,1,4,4.0,0.23847611818375117,MW
3,diagnostic,H_port,2,1,1.0,0.10520489810526912,MW
3,diagnostic,H_port,2,2,2.0,0.07929077363656112,MW
3,diagnostic,H_port,2,3,3.0,0.08524019498910575,MW
3,diagnostic,H_port,2,4,4.0,0.10350038072602837,MW
3,diagnostic,H_port,3,1,1.0,0.3,MW
3,diagnostic,H_port,3,2,2.0,0.32,MW
3,diagnostic,H_port,3,3,3.0,0.34,MW
3,diagnostic,H_port,3,4,4.0,0.32,MW
3,diagnostic,replay_S,1,1,1.0,357.7408016190244,K
3,diagnostic,replay_S,1,2,2.0,352.69168418156545,K
3,diagnostic,replay_S,1,3,3.0,354.5386178656687,K
3,diagnostic,replay_S,1,4,4.0,359.32035932915204,K
3,diagnostic,replay_S,2,1,1.0,357.0525822196195,K
3,diagnostic,replay_S,2,2,2.0,353.78832214756335,K
3,diagnostic,replay_S,2,3,3.0,353.4773872326724,K
3,diagnostic,replay_S,2,4,4.0,358.12080965478356,K
3,diagnostic,replay_R,1,1,1.0,312.7829914094695,K
3,diagnostic,replay_R,1,2,2.0,312.75820964948304,K
3,diagnostic,replay_R,1,3,3.0,312.78854626213115,K
3,diagnostic,replay_R,1,4,4.0,312.7803863628162,K
3,diagnostic,replay_R,2,1,1.0,312.9024309539154,K
3,diagnostic,replay_R,2,2,2.0,312.8994162430479,K
3,diagnostic,replay_R,2,3,3.0,312.9114513297579,K
3,diagnostic,replay_R,2,4,4.0,312.9065994520685,K
4,direct_repair,m_pipe,1,1,1.0,1.059840491973652,kg/s
4,direct_repair,m_pipe,1,2,2.0,1.3679482470927562,kg/s
4,direct_repair,m_pipe,1,3,3.0,1.4999408302370723,kg/s
4,direct_repair,m_pipe,1,4,4.0,1.1885883953899024,kg/s
4,direct_repair,m_pipe,2,1,1.0,1.6155213205103056,kg/s
4,direct_repair,m_pipe,2,2,2.0,1.8679482802626843,kg/s
4,direct_repair,m_pipe,2,3,3.0,1.999940868305257,kg/s
4,direct_repair,m_pipe,2,4,4.0,1.6885884102652942,kg/s
4,direct_repair,tau_S_out,1,1,1.0,357.74080149467665,K
4,direct_repair,tau_S_out,1,2,2.0,352.029971026775,K
4,direct_repair,tau_S_out,1,3,3.0,354.0597733535272,K
4,direct_repair,tau_S_out,1,4,4.0,359.57698823703225,K
4,direct_repair,tau_S_out,2,1,1.0,357.2139453820447,K
4,direct_repair,tau_S_out,2,2,2.0,353.7883221369286,K
4,direct_repair,tau_S_out,2,3,3.0,353.47738722444313,K
4,direct_repair,tau_S_out,2,4,4.0,358.1208096225805,K
4,direct_repair,tau_R_out,1,1,1.0,312.7839787551116,K
4,direct_repair,tau_R_out,1,2,2.0,312.7600807800217,K
4,direct_repair,tau_R_out,1,3,3.0,312.789170702788,K
4,direct_repair,tau_R_out,1,4,4.0,312.78038636283065,K
4,direct_repair,tau_R_out,2,1,1.0,312.9043157426449,K
4,direct_repair,tau_R_out,2,2,2.0,312.90130074591957,K
4,direct_repair,tau_R_out,2,3,3.0,312.9114513297786,K
4,direct_repair,tau_R_out,2,4,4.0,312.9065994521137,K
4,direct_repair,H_port,1,1,1.0,0.22352808411328082,MW
4,direct_repair,H_port,1,2,2.0,0.19316240839737206,MW
4,direct_repair,H_port,1,3,3.0,0.287651342148679,MW
4,direct_repair,H_port,1,4,4.0,0.24141719796378971,MW
4,direct_repair,H_port,2,1,1.0,0.11691628704667936,MW
4,direct_repair,H_port,2,2,2.0,0.08267346157819652,MW
4,direct_repair,H_port,2,3,3.0,0.08840496398246443,MW
4,direct_repair,H_port,2,4,4.0,0.10216664516238828,MW
4,direct_repair,H_port,3,1,1.0,0.3,MW
4,direct_repair,H_port,3,2,2.0,0.32,MW
4,direct_repair,H_port,3,3,3.0,0.34,MW
4,direct_repair,H_port,3,4,4.0,0.32,MW
4,direct_repair,replay_S,1,1,1.0,357.74080149422275,K
4,direct_repair,replay_S,1,2,2.0,352.029971026775,K
4,direct_repair,replay_S,1,3,3.0,354.05977335352725,K
4,direct_repair,replay_S,1,4,4.0,359.5769882370323,K
4,direct_repair,replay_S,2,1,1.0,357.21394538161667,K
4,direct_repair,replay_S,2,2,2.0,353.7883221369286,K
4,direct_repair,replay_S,2,3,3.0,353.47738722444313,K
4,direct_repair,replay_S,2,4,4.0,358.1208096225804,K
4,direct_repair,replay_R,1,1,1.0,312.7839787547208,K
4,direct_repair,replay_R,1,2,2.0,312.7600807800217,K
4,direct_repair,replay_R,1,3,3.0,312.789170702788,K
4,direct_repair,replay_R,1,4,4.0,312.78038636283077,K
4,direct_repair,replay_R,2,1,1.0,312.90431574227256,K
4,direct_repair,replay_R,2,2,2.0,312.90130074591957,K
4,direct_repair,replay_R,2,3,3.0,312.9114513297786,K
4,direct_repair,replay_R,2,4,4.0,312.9065994521137,K
5,repaired_dispatch,m_pipe,1,1,1.0,1.059840491973652,kg/s
5,repaired_dispatch,m_pipe,1,2,2.0,1.3679482470927562,kg/s
5,repaired_dispatch,m_pipe,1,3,3.0,1.4999408302370723,kg/s
5,repaired_dispatch,m_pipe,1,4,4.0,1.1885883953899024,kg/s
5,repaired_dispatch,m_pipe,2,1,1.0,1.6155213205103056,kg/s
5,repaired_dispatch,m_pipe,2,2,2.0,1.8679482802626843,kg/s
5,repaired_dispatch,m_pipe,2,3,3.0,1.999940868305257,kg/s
5,repaired_dispatch,m_pipe,2,4,4.0,1.6885884102652942,kg/s
5,repaired_dispatch,tau_S_out,1,1,1.0,357.7408013726233,K
5,repaired_dispatch,tau_S_out,1,2,2.0,353.9082178477518,K
5,repaired_dispatch,tau_S_out,1,3,3.0,358.0629482353396,K
5,repaired_dispatch,tau_S_out,1,4,4.0,362.54905061864577,K
5,repaired_dispatch,tau_S_out,2,1,1.0,357.2139453820447,K
5,repaired_dispatch,tau_S_out,2,2,2.0,353.78832213692857,K
5,repaired_dispatch,tau_S_out,2,3,3.0,353.47738722444313,K
5,repaired_dispatch,tau_S_out,2,4,4.0,358.12080962258045,K
5,repaired_dispatch,tau_R_out,1,1,1.0,312.7839787545257,K
5,repaired_dispatch,tau_R_out,1,2,2.0,312.7600807798866,K
5,repaired_dispatch,tau_R_out,1,3,3.0,312.78917070278794,K
5,repaired_dispatch,tau_R_out,1,4,4.0,312.78038636283077,K
5,repaired_dispatch,tau_R_out,2,1,1.0,312.9043157422725,K
5,repaired_dispatch,tau_R_out,2,2,2.0,312.90130074591957,K
5,repaired_dispatch,tau_R_out,2,3,3.0,312.9114513297786,K
5,repaired_dispatch,tau_R_out,2,4,4.0,312.90659945211365,K
5,repaired_dispatch,H_port,1,1,1.0,0.22352808308261427,MW
5,repaired_dispatch,H_port,1,2,2.0,0.21029268089404085,MW
5,repaired_dispatch,H_port,1,3,3.0,0.3163157464526769,MW
5,repaired_dispatch,H_port,1,4,4.0,0.2506998895249539,MW
5,repaired_dispatch,H_port,2,1,1.0,0.1169162875950732,MW
5,repaired_dispatch,H_port,2,2,2.0,0.07188221490167512,MW
5,repaired_dispatch,H_port,2,3,3.0,0.06318595706869096,MW
5,repaired_dispatch,H_port,2,4,4.0,0.08732989796208958,MW
5,repaired_dispatch,H_port,3,1,1.0,0.3,MW
5,repaired_dispatch,H_port,3,2,2.0,0.32,MW
5,repaired_dispatch,H_port,3,3,3.0,0.34,MW
5,repaired_dispatch,H_port,3,4,4.0,0.32,MW
5,repaired_dispatch,replay_S,1,1,1.0,357.7408013726233,K
5,repaired_dispatch,replay_S,1,2,2.0,353.90821784775187,K
5,repaired_dispatch,replay_S,1,3,3.0,358.06294823533966,K
5,repaired_dispatch,replay_S,1,4,4.0,362.54905061864577,K
5,repaired_dispatch,replay_S,2,1,1.0,357.2139453820448,K
5,repaired_dispatch,replay_S,2,2,2.0,353.7883221369286,K
5,repaired_dispatch,replay_S,2,3,3.0,353.4773872244431,K
5,repaired_dispatch,replay_S,2,4,4.0,358.12080962258045,K
5,repaired_dispatch,replay_R,1,1,1.0,312.7839787545257,K
5,repaired_dispatch,replay_R,1,2,2.0,312.7600807798866,K
5,repaired_dispatch,replay_R,1,3,3.0,312.789170702788,K
5,repaired_dispatch,replay_R,1,4,4.0,312.7803863628307,K
5,repaired_dispatch,replay_R,2,1,1.0,312.90431574227256,K
5,repaired_dispatch,replay_R,2,2,2.0,312.90130074591957,K
5,repaired_dispatch,replay_R,2,3,3.0,312.9114513297786,K
5,repaired_dispatch,replay_R,2,4,4.0,312.9065994521137,K
0,input_flow,m_pipe,1,1,1.0,1.0598404919030378,kg/s
0,input_flow,m_pipe,1,2,2.0,1.367948247179123,kg/s
0,input_flow,m_pipe,1,3,3.0,1.49994083030408,kg/s
0,input_flow,m_pipe,1,4,4.0,1.188588395672336,kg/s
0,input_flow,m_pipe,2,1,1.0,1.5598405066770646,kg/s
0,input_flow,m_pipe,2,2,2.0,1.8679482797756053,kg/s
0,input_flow,m_pipe,2,3,3.0,1.9999408678984796,kg/s
0,input_flow,m_pipe,2,4,4.0,1.6885884090597552,kg/s
