scheme,scenario,probability,worst_single_event,epsilon,individually_allowed
3B,train_001447,0.003,0.003,0.05,true
3B,train_000886,0.0075,0.0075,0.05,true
3B,train_000492,0.007,0.007,0.05,true
3B,train_000959,0.013,0.013,0.05,true
3B,train_000826,0.0165,0.0165,0.05,true
3B,train_000286,0.008,0.008,0.05,true
3B,train_000787,0.005,0.005,0.05,true
3B,train_000473,0.005,0.005,0.05,true
3B,train_001184,0.004,0.004,0.05,true
3B,train_000373,0.01,0.01,0.05,true
3B,train_001370,0.0145,0.0145,0.05,true
3B,train_000994,0.01,0.01,0.05,true
3B,train_001225,0.0155,0.0155,0.05,true
3B,train_000460,0.018,0.018,0.05,true
3B,train_001357,0.002,0.002,0.05,true
3B,train_001718,0.0105,0.0105,0.05,true
3B,train_001838,0.012,0.012,0.05,true
3B,train_001846,0.01,0.01,0.05,true
3B,train_000681,0.0075,0.0075,0.05,true
3B,train_000965,0.0095,0.0095,0.05,true
3B,train_001625,0.0135,0.0135,0.05,true
3B,train_000363,0.0155,0.0155,0.05,true
3B,train_001827,0.011,0.011,0.05,true
3B,train_000236,0.009,0.009,0.05,true
3B,train_000735,0.014,0.014,0.05,true
3B,train_000755,0.013,0.013,0.05,true
3B,train_000570,0.0115,0.0115,0.05,true
3B,train_001488,0.0055,0.0055,0.05,true
3B,train_001852,0.0225,0.0225,0.05,true
3B,train_001005,0.0035,0.0035,0.05,true
3B,train_000002,0.007,0.007,0.05,true
3B,train_000281,0.01,0.01,0.05,true
3B,train_001573,0.0055,0.0055,0.05,true
3B,train_000720,0.0035,0.0035,0.05,true
3B,train_001668,0.012,0.012,0.05,true
3B,train_001819,0.0035,0.0035,0.05,true
3B,train_000451,0.0175,0.0175,0.05,true
3B,train_001071,0.0135,0.0135,0.05,true
3B,train_000612,0.0065,0.0065,0.05,true
3B,train_001285,0.0215,0.0215,0.05,true
3B,train_000458,0.0095,0.0095,0.05,true
3B,train_001482,0.0105,0.0105,0.05,true
3B,train_000087,0.015,0.015,0.05,true
3B,train_001275,0.0045,0.0045,0.05,true
3B,train_001041,0.012,0.012,0.05,true
