run_id,stage,name,equation,scope,entity,t,residual,unit,tolerance,pass
r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,3-41,model,1,1,0.0,K,0.0001,true
r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,3-24,model,1,1,0.0,kPa,0.001,true
r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,3-24-order,model,1,1,0.0,normalized,1.0e-6,true
r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,3-21,model,1,2,0.0,kg/s,2.4999999999999998e-6,true
r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,3-43,model,1,2,0.0,kg/s,2.4999999999999998e-6,true
r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,3-17,model,1,2,2.7755575615628914e-17,MW,3.0e-6,true
r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,3-17-original,physics,1,2,2.7755575615628914e-17,MW,3.0e-6,true
r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,3-19:20,model,1,2,0.0,MW,3.0e-6,true
r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,3-37,model,1,2,0.0,K,0.0001,true
r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,3-41,model,1,2,0.0,K,0.0001,true
r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,3-41,model,1,2,0.0,K,0.0001,true
r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,3-24,model,1,2,0.0,kPa,0.001,true
r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,3-41,model,1,2,0.0,K,0.0001,true
r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,3-41,model,1,2,0.0,K,0.0001,true
r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,3-24,model,1,2,0.0,kPa,0.001,true
r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,3-24-order,model,1,2,0.0,normalized,1.0e-6,true
r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,3-21,model,1,3,0.0,kg/s,2.4999999999999998e-6,true
r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,3-43,model,1,3,0.0,kg/s,2.4999999999999998e-6,true
r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,3-17,model,1,3,1.3877787807814457e-16,MW,3.0e-6,true
r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,3-17-original,physics,1,3,1.3877787807814457e-16,MW,3.0e-6,true
r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,3-19:20,model,1,3,0.0,MW,3.0e-6,true
r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,3-37,model,1,3,0.0,K,0.0001,true
r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,3-41,model,1,3,0.0,K,0.0001,true
r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,3-41,model,1,3,0.0,K,0.0001,true
r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,3-24,model,1,3,0.0,kPa,0.001,true
r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,3-41,model,1,3,0.0,K,0.0001,true
r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,3-41,model,1,3,0.0,K,0.0001,true
r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,3-24,model,1,3,0.0,kPa,0.001,true
r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,3-24-order,model,1,3,0.0,normalized,1.0e-6,true
r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,3-21,model,1,4,0.0,kg/s,2.4999999999999998e-6,true
