run_id,case,penalty,variant,actor,disagreement,prepayment_utility,gain,total_transfer,utility_after,unit
open_fixed--penalty-100,open_fixed,100.0,penalty_included,A,-60.08534879455392,-22.5240166226465,,,,USD_synthetic
open_fixed--penalty-100,open_fixed,100.0,penalty_included,B,-207.9025678721128,-54.37291014494845,,,,USD_synthetic
open_fixed--penalty-10000,open_fixed,10000.0,penalty_excluded,DSO,70.39203022253129,-102.82969093567803,8.934634370431226,182.15635552864057,79.32666459296254,USD_synthetic
open_fixed--penalty-10000,open_fixed,10000.0,penalty_excluded,A,-60.08534879455392,-22.5240166226465,5.007322559252665,-32.55400961265476,-55.07802623530126,USD_synthetic
open_fixed--penalty-10000,open_fixed,10000.0,penalty_excluded,B,-207.9025678721128,-54.37291014494845,3.9273118111785608,-149.6023459159858,-203.97525606093427,USD_synthetic
open_fixed--penalty-10000,open_fixed,10000.0,penalty_included,DSO,-180.27463644413467,-102.82969093567803,134.2679677037642,56.82302219530757,-46.00666874037046,USD_synthetic
open_fixed--penalty-10000,open_fixed,10000.0,penalty_included,A,-60.08534879455392,-22.5240166226465,75.24908080101072,37.6877486291033,15.163732006456797,USD_synthetic
open_fixed--penalty-10000,open_fixed,10000.0,penalty_included,B,-207.9025678721128,-54.37291014494845,59.0188869027535,-94.51077082441086,-148.88368096935932,USD_synthetic
import_flexible--penalty-100,import_flexible,100.0,penalty_excluded,DSO,182.2451884229837,-93.68736899398004,,,,USD_synthetic
import_flexible--penalty-100,import_flexible,100.0,penalty_excluded,A,-79.65090290472357,-10.981659164305789,,,,USD_synthetic
import_flexible--penalty-100,import_flexible,100.0,penalty_excluded,B,-216.2800000521304,-87.12370419850008,,,,USD_synthetic
import_flexible--penalty-100,import_flexible,100.0,penalty_included,DSO,133.99355066826251,-93.68736899398004,,,,USD_synthetic
import_flexible--penalty-100,import_flexible,100.0,penalty_included,A,-79.65090290472357,-10.981659164305789,,,,USD_synthetic
import_flexible--penalty-100,import_flexible,100.0,penalty_included,B,-216.2800000521304,-87.12370419850008,,,,USD_synthetic
import_flexible--penalty-10000,import_flexible,10000.0,penalty_excluded,DSO,96.2324073767453,-93.68736899398004,3.9528816116613683,193.87265798238673,100.18528898840668,USD_synthetic
import_flexible--penalty-10000,import_flexible,10000.0,penalty_excluded,A,-79.65090290472357,-10.981659164305789,2.2153512329091187,-66.45389250750867,-77.43555167181447,USD_synthetic
import_flexible--penalty-10000,import_flexible,10000.0,penalty_excluded,B,-216.2800000521304,-87.12370419850008,1.7375303787522498,-127.41876547487804,-214.54246967337812,USD_synthetic
import_flexible--penalty-10000,import_flexible,10000.0,penalty_included,DSO,96.2324073767453,-93.68736899398004,3.9528816116613683,193.87265798238673,100.18528898840668,USD_synthetic
import_flexible--penalty-10000,import_flexible,10000.0,penalty_included,A,-79.65090290472357,-10.981659164305789,2.2153512329091187,-66.45389250750867,-77.43555167181447,USD_synthetic
import_flexible--penalty-10000,import_flexible,10000.0,penalty_included,B,-216.2800000521304,-87.12370419850008,1.7375303787522498,-127.41876547487804,-214.54246967337812,USD_synthetic
import_fixed--penalty-100,import_fixed,100.0,penalty_excluded,DSO,172.08333333333331,-79.72675462142308,,,,USD_synthetic
import_fixed--penalty-100,import_fixed,100.0,penalty_excluded,A,-82.24624950066249,-20.962916666666686,,,,USD_synthetic
import_fixed--penalty-100,import_fixed,100.0,penalty_excluded,B,-217.80000049933756,-107.00000000000004,,,,USD_synthetic
import_fixed--penalty-100,import_fixed,100.0,penalty_included,DSO,126.63868729952658,-79.72675462142308,,,,USD_synthetic
import_fixed--penalty-100,import_fixed,100.0,penalty_included,A,-82.24624950066249,-20.962916666666686,,,,USD_synthetic
import_fixed--penalty-100,import_fixed,100.0,penalty_included,B,-217.80000049933756,-107.00000000000004,,,,USD_synthetic
import_fixed--penalty-10000,import_fixed,10000.0,penalty_excluded,DSO,91.15570640251066,-79.72675462142308,0.6004361546997927,171.48289717863352,91.75614255721044,USD_synthetic
import_fixed--penalty-10000,import_fixed,10000.0,penalty_excluded,A,-82.24624950066249,-20.962916666666686,0.33650817461197174,-60.94682465938383,-81.90974132605052,USD_synthetic
import_fixed--penalty-10000,import_fixed,10000.0,penalty_excluded,B,-217.80000049933756,-107.00000000000004,0.263927980087821,-110.5360725192497,-217.53607251924973,USD_synthetic
import_fixed--penalty-10000,import_fixed,10000.0,penalty_included,DSO,91.15570640251066,-79.72675462142308,0.6004361546997927,171.48289717863352,91.75614255721044,USD_synthetic
import_fixed--penalty-10000,import_fixed,10000.0,penalty_included,A,-82.24624950066249,-20.962916666666686,0.33650817461197174,-60.94682465938383,-81.90974132605052,USD_synthetic
import_fixed--penalty-10000,import_fixed,10000.0,penalty_included,B,-217.80000049933756,-107.00000000000004,0.263927980087821,-110.5360725192497,-217.53607251924973,USD_synthetic
