equation,scope,entity,t,residual,unit,tolerance,pass
mix-original,physics,R1,2,0.0,K,0.0001,true
3-35:36,model,R1,3,5.684341886080802e-14,K,0.0001,true
mix-original,physics,R1,3,5.684341886080802e-14,K,0.0001,true
3-35:36,model,R1,4,0.0,K,0.0001,true
mix-original,physics,R1,4,0.0,K,0.0001,true
3-35:36,model,R2,1,0.0,K,0.0001,true
mix-original,physics,R2,1,0.0,K,0.0001,true
3-35:36,model,R2,2,0.0,K,0.0001,true
mix-original,physics,R2,2,0.0,K,0.0001,true
3-35:36,model,R2,3,0.0,K,0.0001,true
mix-original,physics,R2,3,0.0,K,0.0001,true
3-35:36,model,R2,4,0.0,K,0.0001,true
mix-original,physics,R2,4,0.0,K,0.0001,true
3-23,model,1,1,0.0,kg/s,2.4999999999999998e-6,true
3-23,model,1,2,0.0,kg/s,2.4999999999999998e-6,true
3-23,model,1,3,0.0,kg/s,2.4999999999999998e-6,true
3-23,model,1,4,0.0,kg/s,2.4999999999999998e-6,true
3-39:40,model,S1,1,0.0,K,0.0001,true
3-41,model,1,1,0.0,K,0.0001,true
3-41,model,1,1,0.0,K,0.0001,true
3-23-kappa,model,1,1,0.0,kPa,0.001,true
3-22,model,S1,1,0.0,normalized,1.0e-6,true
3-26,model,S1,1,0.0,normalized,1.0e-6,true
3-25,physics,S1,1,0.38748185506639393,normalized,1.0e-6,false
WMM-replay,physics,S1,1,0.8648997033920409,K,0.0001,false
3-52,model,S1,1,5.222489107836736e-17,MW,3.0e-6,true
3-52-unrelaxed,physics,S1,1,5.222489107836736e-17,MW,3.0e-6,true
3-39:40,model,S1,2,0.0,K,0.0001,true
3-41,model,1,2,0.0,K,0.0001,true
3-41,model,1,2,0.0,K,0.0001,true
3-23-kappa,model,1,2,0.0,kPa,0.001,true
3-22,model,S1,2,0.0,normalized,1.0e-6,true
3-26,model,S1,2,0.0,normalized,1.0e-6,true
3-25,physics,S1,2,0.38762921346327617,normalized,1.0e-6,false
WMM-replay,physics,S1,2,3.093101980802487,K,0.0001,false
3-52,model,S1,2,2.633626650094811e-15,MW,3.0e-6,true
3-52-unrelaxed,physics,S1,2,2.633626650094811e-15,MW,3.0e-6,true
3-39:40,model,S1,3,0.0,K,0.0001,true
3-41,model,1,3,0.0,K,0.0001,true
3-41,model,1,3,0.0,K,0.0001,true
3-23-kappa,model,1,3,0.0,kPa,0.001,true
3-22,model,S1,3,0.0,normalized,1.0e-6,true
3-26,model,S1,3,0.0,normalized,1.0e-6,true
3-25,physics,S1,3,0.38768796320779086,normalized,1.0e-6,false
WMM-replay,physics,S1,3,1.7546163854977976,K,0.0001,false
3-52,model,S1,3,8.281375585283968e-16,MW,3.0e-6,true
3-52-unrelaxed,physics,S1,3,8.281375585283968e-16,MW,3.0e-6,true
3-39:40,model,S1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-23-kappa,model,1,4,0.0,kPa,0.001,true
3-22,model,S1,4,0.0,normalized,1.0e-6,true
3-26,model,S1,4,0.0,normalized,1.0e-6,true
3-25,physics,S1,4,0.3877315854974292,normalized,1.0e-6,false
WMM-replay,physics,S1,4,0.4345331875995839,K,0.0001,false
3-52,model,S1,4,2.432514190076063e-14,MW,3.0e-6,true
3-52-unrelaxed,physics,S1,4,2.432514190076063e-14,MW,3.0e-6,true
3-39:40,model,R1,1,0.0,K,0.0001,true
3-41,model,1,1,0.0,K,0.0001,true
3-41,model,1,1,0.0,K,0.0001,true
3-23-kappa,model,1,1,0.0,kPa,0.001,true
3-22,model,R1,1,0.0,normalized,1.0e-6,true
3-26,model,R1,1,0.0,normalized,1.0e-6,true
3-25,physics,R1,1,0.38748185506640026,normalized,1.0e-6,false
WMM-replay,physics,R1,1,0.0034991685957947993,K,0.0001,false
3-52,model,R1,1,1.2473355681663633e-16,MW,3.0e-6,true
3-52-unrelaxed,physics,R1,1,1.2473355681663633e-16,MW,3.0e-6,true
3-39:40,model,R1,2,0.0,K,0.0001,true
3-41,model,1,2,0.0,K,0.0001,true
3-41,model,1,2,0.0,K,0.0001,true
3-23-kappa,model,1,2,0.0,kPa,0.001,true
3-22,model,R1,2,0.0,normalized,1.0e-6,true
3-26,model,R1,2,0.0,normalized,1.0e-6,true
3-25,physics,R1,2,0.38762921346327134,normalized,1.0e-6,false
WMM-replay,physics,R1,2,0.008201205580121496,K,0.0001,false
3-52,model,R1,2,6.038503030936227e-17,MW,3.0e-6,true
3-52-unrelaxed,physics,R1,2,6.038503030936227e-17,MW,3.0e-6,true
3-39:40,model,R1,3,0.0,K,0.0001,true
3-41,model,1,3,0.0,K,0.0001,true
3-41,model,1,3,0.0,K,0.0001,true
3-23-kappa,model,1,3,0.0,kPa,0.001,true
3-22,model,R1,3,0.0,normalized,1.0e-6,true
3-26,model,R1,3,0.0,normalized,1.0e-6,true
3-25,physics,R1,3,0.3876879632077851,normalized,1.0e-6,false
WMM-replay,physics,R1,3,0.00260027944631247,K,0.0001,false
3-52,model,R1,3,6.423195308968843e-17,MW,3.0e-6,true
3-52-unrelaxed,physics,R1,3,6.423195308968843e-17,MW,3.0e-6,true
3-39:40,model,R1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-23-kappa,model,1,4,0.0,kPa,0.001,true
3-22,model,R1,4,0.0,normalized,1.0e-6,true
3-26,model,R1,4,0.0,normalized,1.0e-6,true
3-25,physics,R1,4,0.38773158549742676,normalized,1.0e-6,false
WMM-replay,physics,R1,4,0.0036202628460273445,K,0.0001,false
3-52,model,R1,4,2.5704438577633935e-16,MW,3.0e-6,true
3-52-unrelaxed,physics,R1,4,2.5704438577633935e-16,MW,3.0e-6,true
3-46-project,model,0,0,0.0,MWh,1.0840000000000001e-6,true
3-45,model,0,0,0.0,MWh,1.0840000000000001e-6,true
3-45,model,0,1,0.0,MWh,1.0840000000000001e-6,true
3-44,model,0,1,3.9898639947466563e-16,MWh,1.0840000000000001e-6,true
energy-temperature-consistency,physics,0,1,4.753142324176451e-16,MWh,1.0840000000000001e-6,true
3-45,model,0,2,0.0,MWh,1.0840000000000001e-6,true
3-44,model,0,2,6.418476861114186e-16,MWh,1.0840000000000001e-6,true
energy-temperature-consistency,physics,0,2,1.0269562977782698e-15,MWh,1.0840000000000001e-6,true
3-45,model,0,3,0.0,MWh,1.0840000000000001e-6,true
3-44,model,0,3,4.848552115355176e-16,MWh,1.0840000000000001e-6,true
energy-temperature-consistency,physics,0,3,1.6861512186494565e-15,MWh,1.0840000000000001e-6,true
3-45,model,0,4,0.0,MWh,1.0840000000000001e-6,true
3-44,model,0,4,2.424276057677588e-16,MWh,1.0840000000000001e-6,true
energy-temperature-consistency,physics,0,4,1.7416623698807143e-15,MWh,1.0840000000000001e-6,true
3-1,model,0,0,0.0,currency,7.740484828367062e-5,true
