stage,run_id,block,formula,rows,maximum_normalized,raw_residual,tolerance,unit,all_pass
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,R9-RL2,1,1.2241450206052423e-10,8.881784197001252e-16,7.255499999999932e-6,MWh,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,R9-RW1-off,36,0.0,0.0,1.0e-6,1,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,R9-RW1-on,36,0.0,0.0,1.0e-6,1,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,R9-RW1-state,36,0.0,0.0,1.0e-6,1,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,binary-a_off,47,0.0,0.0,1.0e-6,1,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,binary-a_on,47,0.0,0.0,1.0e-6,1,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,binary-beta,44,0.0,0.0,1.0e-6,1,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,binary-z,47,0.0,0.0,1.0e-6,1,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,forest-edges,1,0.0,0.0,1.0e-6,1,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,forest-independent,1,0.0,0.0,1.0e-6,1,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,inactive-charge,128,0.0,0.0,2.7877279102384292e-5,MW,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,inactive-discharge,128,0.0,0.0,2.7877279102384292e-5,MW,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,inactive-energy,136,0.0,0.0,1.1278250000000002e-5,MWh,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,integer-a_off,47,0.0,0.0,1.0e-6,1,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,integer-a_on,47,0.0,0.0,1.0e-6,1,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,integer-beta,44,0.0,0.0,1.0e-6,1,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,integer-z,47,0.0,0.0,1.0e-6,1,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,load-port,608,0.0,0.0,6.271428571428571e-5,kg/s,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,off-action,47,0.0,0.0,1.0e-6,1,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,on-action,47,0.0,0.0,1.0e-6,1,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,one-root-per-component,1,0.0,0.0,1.0e-6,1,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,root-eligible,44,0.0,0.0,1.0e-6,1,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,root-supply,44,0.0,0.0,1.0e-6,1,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,source-port,608,0.0,0.0,6.271428571428571e-5,kg/s,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,virtual-arc,47,0.0,0.0,1.0e-6,1,true
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,model,virtual-node,44,0.0,0.0,1.0e-6,1,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,6-11,128,3.186029800247475e-11,8.881784197001252e-16,2.7877279102384292e-5,MW,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,6-19,704,8.920883440692929e-10,2.4868995751603507e-14,2.7877279102384292e-5,MW,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,6-20,704,1.8319671351422979e-10,5.10702591327572e-15,2.7877279102384292e-5,Mvar,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,6-22,704,0.0,0.0,1.0e-6,pu,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,6-24:25-P_line,752,3.9825372503093435e-12,1.1102230246251565e-16,2.7877279102384292e-5,MW,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,6-24:25-Q_line,752,0.0,0.0,2.7877279102384292e-5,Mvar,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,6-3/9,128,0.0,0.0,2.7877279102384292e-5,Mvar,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,6-4/57,32,0.0,0.0,2.7877279102384292e-5,MW,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,6-5/58,32,0.0,0.0,2.7877279102384292e-5,MW,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,6-51-P,16,0.0,0.0,2.7877279102384292e-5,MW,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,6-51-Q,16,0.0,0.0,2.7877279102384292e-5,Mvar,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,6-54,704,3.783410387793876e-10,1.0547118733938987e-14,2.7877279102384292e-5,MW,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,6-55,608,0.0,0.0,2.7877279102384292e-5,MW,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,6-63,1,0.0,0.0,1.0e-6,1,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,6-72,592,0.0,0.0,6.271428571428571e-5,kg/s,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,6-74,592,0.0,0.0,6.271428571428571e-5,kg/s,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,6-8/56/60,128,3.2656805452536615e-10,9.103828801926284e-15,2.7877279102384292e-5,MW,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,6-80:82,34,0.0,0.0,1.1278250000000002e-5,MWh,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,6-81:82-temperature,34,0.0,0.0,0.0001,K,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,6-83,608,6.37205960049495e-11,1.7763568394002505e-15,2.7877279102384292e-5,MW,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,6-84,608,0.0,0.0,2.7877279102384292e-5,MW,true
