equation,scope,entity,t,residual,unit,tolerance,pass
3-37,model,2,1,0.0,K,0.0001,true
3-41,model,2,1,0.0,K,0.0001,true
3-41,model,2,1,0.0,K,0.0001,true
3-24,model,2,1,0.0,kPa,0.001,true
3-41,model,2,1,0.0,K,0.0001,true
3-41,model,2,1,0.0,K,0.0001,true
3-24,model,2,1,0.0,kPa,0.001,true
3-24-order,model,2,1,0.0,normalized,1.0e-6,true
3-21,model,2,2,0.0,kg/s,4.0e-6,true
3-43,model,2,2,0.0,kg/s,4.0e-6,true
3-17,model,2,2,8.326672684688674e-17,MW,3.0e-6,true
3-17-original,physics,2,2,8.326672684688674e-17,MW,3.0e-6,true
3-19:20,model,2,2,1.1351225515099372e-11,MW,3.0e-6,true
3-37,model,2,2,0.0,K,0.0001,true
3-41,model,2,2,0.0,K,0.0001,true
3-41,model,2,2,0.0,K,0.0001,true
3-24,model,2,2,0.0,kPa,0.001,true
3-41,model,2,2,0.0,K,0.0001,true
3-41,model,2,2,0.0,K,0.0001,true
3-24,model,2,2,0.0,kPa,0.001,true
3-24-order,model,2,2,0.0,normalized,1.0e-6,true
3-21,model,2,3,0.0,kg/s,4.0e-6,true
3-43,model,2,3,0.0,kg/s,4.0e-6,true
3-17,model,2,3,1.3877787807814457e-16,MW,3.0e-6,true
3-17-original,physics,2,3,1.3877787807814457e-16,MW,3.0e-6,true
3-19:20,model,2,3,6.087741422078352e-12,MW,3.0e-6,true
3-37,model,2,3,0.0,K,0.0001,true
3-41,model,2,3,0.0,K,0.0001,true
3-41,model,2,3,0.0,K,0.0001,true
3-24,model,2,3,0.0,kPa,0.001,true
3-41,model,2,3,0.0,K,0.0001,true
3-41,model,2,3,0.0,K,0.0001,true
3-24,model,2,3,0.0,kPa,0.001,true
3-24-order,model,2,3,0.0,normalized,1.0e-6,true
3-21,model,2,4,0.0,kg/s,4.0e-6,true
3-43,model,2,4,0.0,kg/s,4.0e-6,true
3-17,model,2,4,2.7755575615628914e-17,MW,3.0e-6,true
3-17-original,physics,2,4,2.7755575615628914e-17,MW,3.0e-6,true
3-19:20,model,2,4,3.882477672689788e-11,MW,3.0e-6,true
3-37,model,2,4,0.0,K,0.0001,true
3-41,model,2,4,0.0,K,0.0001,true
3-41,model,2,4,0.0,K,0.0001,true
3-24,model,2,4,0.0,kPa,0.001,true
3-41,model,2,4,0.0,K,0.0001,true
3-41,model,2,4,0.0,K,0.0001,true
3-24,model,2,4,0.0,kPa,0.001,true
3-24-order,model,2,4,0.0,normalized,1.0e-6,true
3-21,model,3,1,0.0,kg/s,4.0e-6,true
3-43,model,3,1,0.0,kg/s,4.0e-6,true
3-17,model,3,1,5.551115123125783e-17,MW,3.0e-6,true
3-17-original,physics,3,1,5.551115123125783e-17,MW,3.0e-6,true
3-19:20,model,3,1,0.0,MW,3.0e-6,true
