run_id,node,t,source_temperature_K,heat_MW
literal_gurobi,15,20,343.1500000005679,0.17547769895664891
literal_gurobi,15,21,345.9713583973562,0.1938070633102453
literal_gurobi,15,22,361.79998268795066,0.8803116007011339
literal_gurobi,15,23,363.16693853828536,0.5959029053260758
literal_gurobi,15,24,363.1437656723075,0.6460871604621515
roundoff_band_clarabel,1,1,343.2090529595772,3.3999999744828204
roundoff_band_clarabel,1,2,343.95781771058864,3.400000026757846
roundoff_band_clarabel,1,3,348.5644507865771,4.2604124761921645
roundoff_band_clarabel,1,4,347.61574111191027,4.379653672867827
roundoff_band_clarabel,1,5,343.15000003162,4.389907233038985
roundoff_band_clarabel,1,6,353.96224085190585,6.799999986518218
roundoff_band_clarabel,1,7,352.250128279153,6.800000022540698
roundoff_band_clarabel,1,8,349.0950040671519,6.800000012278163
roundoff_band_clarabel,1,9,349.84084657677465,6.799999999318983
roundoff_band_clarabel,1,10,355.24771893803387,6.799999997052801
roundoff_band_clarabel,1,11,362.4322954705214,6.800000034526235
roundoff_band_clarabel,1,12,368.14968908306366,6.800000201878087
roundoff_band_clarabel,1,13,372.7870046317406,6.800000148175055
roundoff_band_clarabel,1,14,373.1499999908725,6.584453505112502
roundoff_band_clarabel,1,15,373.1499999688651,6.269847225317798
roundoff_band_clarabel,1,16,373.1499999469556,6.590777882331732
roundoff_band_clarabel,1,17,373.1499999131319,6.799999953758137
roundoff_band_clarabel,1,18,373.1499999310352,6.799999985929127
roundoff_band_clarabel,1,19,373.14999997464605,6.799999998746943
roundoff_band_clarabel,1,20,365.8520203626653,6.799999911091286
roundoff_band_clarabel,1,21,362.92396074060275,6.8000001062443065
roundoff_band_clarabel,1,22,363.2403781386838,4.397950838012482
roundoff_band_clarabel,1,23,363.1396485595075,5.534691904614752
roundoff_band_clarabel,1,24,363.1499999961096,5.502501297548963
roundoff_band_clarabel,15,1,373.1499999900428,1.0880185585954267
roundoff_band_clarabel,15,2,373.1499999911815,1.1496907036379682
roundoff_band_clarabel,15,3,373.14999998967085,1.200000001717304
roundoff_band_clarabel,15,4,372.0766498737044,1.1999999769542373
roundoff_band_clarabel,15,5,366.70808265303646,1.1999999859572807
roundoff_band_clarabel,15,6,343.1500000119109,0.29703049577665297
roundoff_band_clarabel,15,7,343.1500000100667,0.32516653453412614
roundoff_band_clarabel,15,8,343.1500000095581,0.3659946728095812
roundoff_band_clarabel,15,9,343.1500000036199,0.3414797846679853
roundoff_band_clarabel,15,10,343.15000000352575,0.31813417843765185
roundoff_band_clarabel,15,11,343.1500000034222,0.27809482781641554
roundoff_band_clarabel,15,12,343.15000000330207,0.2324558443609282
roundoff_band_clarabel,15,13,343.1500000063979,0.18722227982139855
roundoff_band_clarabel,15,14,343.1500000063449,0.14816351196797167
roundoff_band_clarabel,15,15,343.1500000063866,0.13822909305115003
roundoff_band_clarabel,15,16,343.1500000061561,0.16446530195882852
roundoff_band_clarabel,15,17,343.1500000055942,0.17189397334590226
roundoff_band_clarabel,15,18,343.1500000024647,0.18490999610335251
roundoff_band_clarabel,15,19,343.1500000019596,0.18664373557618522
