record_id,run_id,parameter,t,total_USD_per_MW,recourse_USD_per_MW,day_ahead_USD_per_MW,capacity_budget_USD_per_MW
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,R_down_MW,3,-1.0,-0.0,-1.0,-0.0
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,R_down_MW,4,-1.0,-0.0,-1.0,-0.0
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,R_up_MW,1,-2.0,0.0,-2.0,-0.0
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,R_up_MW,2,-2.0,0.0,-2.0,-0.0
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,R_up_MW,3,-2.0,0.0,-2.0,-0.0
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,R_up_MW,4,-2.0,0.0,-2.0,-0.0
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,P_DA_MW,1,-79.99999999997533,-129.99999999997533,50.0,0.0
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,P_DA_MW,2,-79.99999999997883,-129.99999999997883,50.0,0.0
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,P_DA_MW,3,-79.99999999997914,-129.99999999997914,50.0,0.0
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,P_DA_MW,4,-79.99999999997914,-129.99999999997914,50.0,0.0
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,R_down_MW,1,-1.0,-0.0,-1.0,-0.0
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,R_down_MW,2,-1.0,-0.0,-1.0,-0.0
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,R_down_MW,3,-1.0,-0.0,-1.0,-0.0
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,R_down_MW,4,-1.0,-0.0,-1.0,-0.0
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,R_up_MW,1,-2.0,0.0,-2.0,-0.0
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,R_up_MW,2,-2.0,0.0,-2.0,-0.0
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,R_up_MW,3,-2.0,0.0,-2.0,-0.0
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,R_up_MW,4,-2.0,0.0,-2.0,-0.0
market_up_10percent--highs,r5-dispatch-ed168f7f-62a3-4e6c-81dc-f9bd03caec78,P_DA_MW,1,-80.0,-130.0,50.0,0.0
market_up_10percent--highs,r5-dispatch-ed168f7f-62a3-4e6c-81dc-f9bd03caec78,P_DA_MW,2,-80.0,-130.0,50.0,0.0
market_up_10percent--highs,r5-dispatch-ed168f7f-62a3-4e6c-81dc-f9bd03caec78,P_DA_MW,3,-80.0,-130.0,50.0,0.0
market_up_10percent--highs,r5-dispatch-ed168f7f-62a3-4e6c-81dc-f9bd03caec78,P_DA_MW,4,-80.0,-130.0,50.0,0.0
market_up_10percent--highs,r5-dispatch-ed168f7f-62a3-4e6c-81dc-f9bd03caec78,R_down_MW,1,-1.0,-0.0,-1.0,-0.0
market_up_10percent--highs,r5-dispatch-ed168f7f-62a3-4e6c-81dc-f9bd03caec78,R_down_MW,2,-1.0,-0.0,-1.0,-0.0
market_up_10percent--highs,r5-dispatch-ed168f7f-62a3-4e6c-81dc-f9bd03caec78,R_down_MW,3,-1.0,-0.0,-1.0,-0.0
market_up_10percent--highs,r5-dispatch-ed168f7f-62a3-4e6c-81dc-f9bd03caec78,R_down_MW,4,-1.0,-0.0,-1.0,-0.0
market_up_10percent--highs,r5-dispatch-ed168f7f-62a3-4e6c-81dc-f9bd03caec78,R_up_MW,1,1.0,3.0,-2.0,-0.0
market_up_10percent--highs,r5-dispatch-ed168f7f-62a3-4e6c-81dc-f9bd03caec78,R_up_MW,2,1.0,3.0,-2.0,-0.0
market_up_10percent--highs,r5-dispatch-ed168f7f-62a3-4e6c-81dc-f9bd03caec78,R_up_MW,3,1.0,3.0,-2.0,-0.0
market_up_10percent--highs,r5-dispatch-ed168f7f-62a3-4e6c-81dc-f9bd03caec78,R_up_MW,4,1.0,3.0,-2.0,-0.0
market_up_10percent--clarabel,r5-dispatch-3447300e-f2fb-4ddf-84bb-a12cd35ed29c,P_DA_MW,1,-80.00000000001856,-130.00000000001856,50.0,0.0
market_up_10percent--clarabel,r5-dispatch-3447300e-f2fb-4ddf-84bb-a12cd35ed29c,P_DA_MW,2,-80.00000000001296,-130.00000000001296,50.0,0.0
market_up_10percent--clarabel,r5-dispatch-3447300e-f2fb-4ddf-84bb-a12cd35ed29c,P_DA_MW,3,-80.00000000001228,-130.00000000001228,50.0,0.0
market_up_10percent--clarabel,r5-dispatch-3447300e-f2fb-4ddf-84bb-a12cd35ed29c,P_DA_MW,4,-80.0000000000123,-130.0000000000123,50.0,0.0
market_up_10percent--clarabel,r5-dispatch-3447300e-f2fb-4ddf-84bb-a12cd35ed29c,R_down_MW,1,-1.0,-0.0,-1.0,-0.0
market_up_10percent--clarabel,r5-dispatch-3447300e-f2fb-4ddf-84bb-a12cd35ed29c,R_down_MW,2,-1.0,-0.0,-1.0,-0.0
market_up_10percent--clarabel,r5-dispatch-3447300e-f2fb-4ddf-84bb-a12cd35ed29c,R_down_MW,3,-1.0,-0.0,-1.0,-0.0
market_up_10percent--clarabel,r5-dispatch-3447300e-f2fb-4ddf-84bb-a12cd35ed29c,R_down_MW,4,-1.0,-0.0,-1.0,-0.0
market_up_10percent--clarabel,r5-dispatch-3447300e-f2fb-4ddf-84bb-a12cd35ed29c,R_up_MW,1,1.0000000000018874,3.0000000000018874,-2.0,-0.0
market_up_10percent--clarabel,r5-dispatch-3447300e-f2fb-4ddf-84bb-a12cd35ed29c,R_up_MW,2,1.0000000000012963,3.0000000000012963,-2.0,-0.0
market_up_10percent--clarabel,r5-dispatch-3447300e-f2fb-4ddf-84bb-a12cd35ed29c,R_up_MW,3,1.000000000001228,3.000000000001228,-2.0,-0.0
market_up_10percent--clarabel,r5-dispatch-3447300e-f2fb-4ddf-84bb-a12cd35ed29c,R_up_MW,4,1.000000000001228,3.000000000001228,-2.0,-0.0
quarter--highs,r5-dispatch-feed6868-b587-4b9e-939e-b1f67d77fe81,P_DA_MW,1,25.0,-0.0,25.0,0.0
quarter--highs,r5-dispatch-feed6868-b587-4b9e-939e-b1f67d77fe81,R_down_MW,1,-0.5,0.0,-0.5,-0.0
quarter--highs,r5-dispatch-feed6868-b587-4b9e-939e-b1f67d77fe81,R_up_MW,1,-1.25,-0.0,-1.25,-0.0
quarter--clarabel,r5-dispatch-6836763f-0c46-478f-8bc9-ee95d0d5f3e5,P_DA_MW,1,-0.3601752380257359,-25.360175238025736,25.0,0.0
quarter--clarabel,r5-dispatch-6836763f-0c46-478f-8bc9-ee95d0d5f3e5,R_down_MW,1,-0.5,-0.0,-0.5,-0.0
quarter--clarabel,r5-dispatch-6836763f-0c46-478f-8bc9-ee95d0d5f3e5,R_up_MW,1,-1.25,0.0,-1.25,-0.0
up--highs,r5-dispatch-59d34f08-3543-4444-a236-b9d7815fb4e6,P_DA_MW,1,100.0,-0.0,100.0,0.0
up--highs,r5-dispatch-59d34f08-3543-4444-a236-b9d7815fb4e6,R_down_MW,1,-2.0,0.0,-2.0,-0.0
up--highs,r5-dispatch-59d34f08-3543-4444-a236-b9d7815fb4e6,R_up_MW,1,-105.0,-100.0,-5.0,-0.0
up--clarabel,r5-dispatch-81982829-6582-43bb-99ad-37d7d63792fe,P_DA_MW,1,-9.15954884465853,-109.15954884465853,100.0,0.0
up--clarabel,r5-dispatch-81982829-6582-43bb-99ad-37d7d63792fe,R_down_MW,1,-2.0,-0.0,-2.0,-0.0
up--clarabel,r5-dispatch-81982829-6582-43bb-99ad-37d7d63792fe,R_up_MW,1,4.159548844658502,9.159548844658502,-5.0,-0.0
hand--gurobi,r5-dispatch-1032daaa-bdba-475d-b72a-af0a009af098,P_DA_MW,1,100.0,0.0,100.0,0.0
hand--gurobi,r5-dispatch-1032daaa-bdba-475d-b72a-af0a009af098,R_down_MW,1,-2.0,0.0,-2.0,0.0
hand--gurobi,r5-dispatch-1032daaa-bdba-475d-b72a-af0a009af098,R_up_MW,1,-5.0,0.0,-5.0,0.0
four_period--gurobi,r5-dispatch-9a2b24c1-b2ae-400a-9d11-ae7460419f32,P_DA_MW,1,75.7414543192375,-4.25854568076249,80.0,0.0
four_period--gurobi,r5-dispatch-9a2b24c1-b2ae-400a-9d11-ae7460419f32,P_DA_MW,2,95.0,-5.0,100.0,0.0
four_period--gurobi,r5-dispatch-9a2b24c1-b2ae-400a-9d11-ae7460419f32,P_DA_MW,3,135.75594930380217,-4.244050696197837,140.0,0.0
four_period--gurobi,r5-dispatch-9a2b24c1-b2ae-400a-9d11-ae7460419f32,P_DA_MW,4,95.0,-5.0,100.0,0.0
four_period--gurobi,r5-dispatch-9a2b24c1-b2ae-400a-9d11-ae7460419f32,R_down_MW,1,-2.0,0.0,-2.0,0.0
four_period--gurobi,r5-dispatch-9a2b24c1-b2ae-400a-9d11-ae7460419f32,R_down_MW,2,-2.0,0.0,-2.0,0.0
four_period--gurobi,r5-dispatch-9a2b24c1-b2ae-400a-9d11-ae7460419f32,R_down_MW,3,143.75594930380217,145.75594930380217,-2.0,0.0
four_period--gurobi,r5-dispatch-9a2b24c1-b2ae-400a-9d11-ae7460419f32,R_down_MW,4,-2.0,0.0,-2.0,0.0
four_period--gurobi,r5-dispatch-9a2b24c1-b2ae-400a-9d11-ae7460419f32,R_up_MW,1,-5.0,0.0,-5.0,0.0
four_period--gurobi,r5-dispatch-9a2b24c1-b2ae-400a-9d11-ae7460419f32,R_up_MW,2,-120.0,-115.0,-5.0,0.0
four_period--gurobi,r5-dispatch-9a2b24c1-b2ae-400a-9d11-ae7460419f32,R_up_MW,3,-5.0,0.0,-5.0,0.0
four_period--gurobi,r5-dispatch-9a2b24c1-b2ae-400a-9d11-ae7460419f32,R_up_MW,4,-52.5,-47.5,-5.0,0.0
