run_id,purpose,actor,carrier,t,peer_export_MW
import_flexible--p2--agnb--clarabel,agnb,2,H,2,4.297680050058261e-6
import_flexible--p2--agnb--clarabel,agnb,2,P,3,4.48146946041561e-6
import_flexible--p2--agnb--clarabel,agnb,2,H,3,4.3256369828270635e-6
import_flexible--p2--agnb--clarabel,agnb,2,P,4,-1.0311216946945478e-6
import_flexible--p2--agnb--clarabel,agnb,2,H,4,4.285970835127273e-6
import_flexible--p2--agnb--clarabel,agnb,3,P,1,1.0671291157393625e-6
import_flexible--p2--agnb--clarabel,agnb,3,H,1,-4.284474147908668e-6
import_flexible--p2--agnb--clarabel,agnb,3,P,2,1.0647328316792937e-6
import_flexible--p2--agnb--clarabel,agnb,3,H,2,-4.297344251114055e-6
import_flexible--p2--agnb--clarabel,agnb,3,P,3,-4.3717821149869e-6
import_flexible--p2--agnb--clarabel,agnb,3,H,3,-4.3253005976851e-6
import_flexible--p2--agnb--clarabel,agnb,3,P,4,1.0750983641116818e-6
import_flexible--p2--agnb--clarabel,agnb,3,H,4,-4.285637750456317e-6
import_fixed--p1--swm--clarabel,swm,2,P,1,-1.744417943427834e-9
import_fixed--p1--swm--clarabel,swm,2,H,1,-1.808384908486005e-8
import_fixed--p1--swm--clarabel,swm,2,P,2,1.825411999334392e-8
import_fixed--p1--swm--clarabel,swm,2,H,2,-1.7132606444647536e-8
import_fixed--p1--swm--clarabel,swm,2,P,3,1.4555162408669275e-8
import_fixed--p1--swm--clarabel,swm,2,H,3,-1.8145104974109927e-8
import_fixed--p1--swm--clarabel,swm,2,P,4,8.2962685610255e-9
import_fixed--p1--swm--clarabel,swm,2,H,4,-1.8106703691955772e-8
import_fixed--p1--swm--clarabel,swm,3,P,1,1.7454944156725105e-9
import_fixed--p1--swm--clarabel,swm,3,H,1,1.808413685466803e-8
import_fixed--p1--swm--clarabel,swm,3,P,2,-1.8253047073812922e-8
import_fixed--p1--swm--clarabel,swm,3,H,2,1.7132901319882876e-8
import_fixed--p1--swm--clarabel,swm,3,P,3,-1.4554100147279314e-8
import_fixed--p1--swm--clarabel,swm,3,H,3,1.814538919120423e-8
import_fixed--p1--swm--clarabel,swm,3,P,4,-8.295206299635538e-9
import_fixed--p1--swm--clarabel,swm,3,H,4,1.8106995014477434e-8
import_fixed--p1--agnb--clarabel,agnb,2,P,1,-6.247674058101893e-7
import_fixed--p1--agnb--clarabel,agnb,2,H,1,1.3736096288852195e-5
import_fixed--p1--agnb--clarabel,agnb,2,P,2,-7.433297781744841e-7
import_fixed--p1--agnb--clarabel,agnb,2,H,2,1.3979123927754245e-5
import_fixed--p1--agnb--clarabel,agnb,2,P,3,6.090236976064034e-6
import_fixed--p1--agnb--clarabel,agnb,2,H,3,1.3985907891367333e-5
import_fixed--p1--agnb--clarabel,agnb,2,P,4,-6.42988876364825e-7
import_fixed--p1--agnb--clarabel,agnb,2,H,4,1.3772190893490688e-5
