run_id,purpose,equation,scope,entity,t,residual,tolerance,unit,pass
open_flexible--p1--swm--clarabel,swm,battery_mode,model,2,4,0.0,1.0e-6,1,true
open_flexible--p1--swm--clarabel,swm,binary,model,2,4,4.4525228430725636e-13,1.0e-6,1,true
open_flexible--p1--swm--clarabel,swm,charge_exclusive,model,2,4,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,discharge_exclusive,model,2,4,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,energy,model,2,1,0.0,1.2e-6,MWh,true
open_flexible--p1--swm--clarabel,swm,energy,model,2,2,0.0,1.2e-6,MWh,true
open_flexible--p1--swm--clarabel,swm,energy,model,2,3,0.0,1.2e-6,MWh,true
open_flexible--p1--swm--clarabel,swm,energy,model,2,4,0.0,1.2e-6,MWh,true
open_flexible--p1--swm--clarabel,swm,energy,model,2,5,0.0,1.2e-6,MWh,true
open_flexible--p1--swm--clarabel,swm,initial,model,2,0,0.0,1.2e-6,MWh,true
open_flexible--p1--swm--clarabel,swm,terminal,model,2,4,0.0,1.2e-6,MWh,true
open_flexible--p1--swm--clarabel,swm,devices,model,3,1,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,3,1,7.355110759135861e-17,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,3,1,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,3,1,9.298058395682318e-18,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,3,1,1.5050623297283174e-17,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,PV,model,3,1,1.9992116039165842e-17,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,demand,model,3,1,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,dissatisfaction_epigraph,model,3,1,0.0,1.0e-6,MW²,true
open_flexible--p1--swm--clarabel,swm,demand,model,3,1,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,dissatisfaction_epigraph,model,3,1,0.0,1.0e-6,MW²,true
open_flexible--p1--swm--clarabel,swm,heat_conversion,model,3,1,1.3877787807814457e-17,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,R4-P2,model,3,1,1.2933501603138228e-17,1.2e-6,MWh,true
open_flexible--p1--swm--clarabel,swm,devices,model,3,2,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,3,2,7.304311265477437e-17,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,3,2,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,3,2,2.568081789843722e-18,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,3,2,8.340006716895922e-18,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,PV,model,3,2,2.611209861829561e-17,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,demand,model,3,2,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,dissatisfaction_epigraph,model,3,2,0.0,1.0e-6,MW²,true
open_flexible--p1--swm--clarabel,swm,demand,model,3,2,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,dissatisfaction_epigraph,model,3,2,0.0,1.0e-6,MW²,true
open_flexible--p1--swm--clarabel,swm,heat_conversion,model,3,2,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,R4-P2,model,3,2,1.6330754973921856e-17,1.2e-6,MWh,true
open_flexible--p1--swm--clarabel,swm,devices,model,3,3,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,3,3,7.325591766237862e-17,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,3,3,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,3,3,5.317980577693297e-18,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,3,3,1.0703745557056195e-17,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,PV,model,3,3,2.0057909524079393e-17,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,demand,model,3,3,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,dissatisfaction_epigraph,model,3,3,0.0,1.0e-6,MW²,true
open_flexible--p1--swm--clarabel,swm,demand,model,3,3,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,dissatisfaction_epigraph,model,3,3,0.0,1.0e-6,MW²,true
open_flexible--p1--swm--clarabel,swm,heat_conversion,model,3,3,2.7755575615628914e-17,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,R4-P2,model,3,3,1.3522984800340252e-17,1.2e-6,MWh,true
open_flexible--p1--swm--clarabel,swm,devices,model,3,4,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,3,4,8.40624253321893e-17,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,3,4,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,3,4,7.793909420668405e-18,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,devices,model,3,4,1.295274892278706e-17,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,PV,model,3,4,1.574044607489188e-17,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,demand,model,3,4,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,dissatisfaction_epigraph,model,3,4,0.0,1.0e-6,MW²,true
open_flexible--p1--swm--clarabel,swm,demand,model,3,4,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,dissatisfaction_epigraph,model,3,4,0.0,1.0e-6,MW²,true
open_flexible--p1--swm--clarabel,swm,heat_conversion,model,3,4,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,R4-P2,model,3,4,8.766924261523387e-18,1.2e-6,MWh,true
open_flexible--p1--swm--clarabel,swm,energy,model,3,1,1.293220596119816e-17,1.2e-6,MWh,true
open_flexible--p1--swm--clarabel,swm,energy,model,3,2,1.18979072287695e-18,1.2e-6,MWh,true
open_flexible--p1--swm--clarabel,swm,energy,model,3,3,6.301913557609459e-18,1.2e-6,MWh,true
open_flexible--p1--swm--clarabel,swm,energy,model,3,4,3.505716222766135e-18,1.2e-6,MWh,true
open_flexible--p1--swm--clarabel,swm,energy,model,3,5,8.766046015647631e-18,1.2e-6,MWh,true
open_flexible--p1--swm--clarabel,swm,initial,model,3,0,1.293220596119816e-17,1.2e-6,MWh,true
open_flexible--p1--swm--clarabel,swm,terminal,model,3,4,8.766046015647631e-18,1.2e-6,MWh,true
