record_id,run_id,id,group,entity,t,residual,unit,tolerance,normalized,pass
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,R5-D-delivery,delivery,PCC,4,0.0,MW,0.000101,0.0,true
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,5-3-epigraph,delivery,PCC,4,0.0,MW,0.000101,0.0,true
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,5-3-exact,auxiliary,PCC,4,0.0,MW,0.000101,0.0,true
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,5-4,delivery,window,0,0.0,MWh,0.000401,0.0,true
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,5-5-cost,cost,total,0,0.0,USD,0.00590184,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,PCC-bound,electric,PCC,1,0.0,MW,0.000101,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,QCC-bound,electric,PCC,1,0.0,Mvar,0.000101,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-9-P,electric,EB,1,0.0,MW,0.000101,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-9-Q,electric,EB,1,5.32181376201607e-19,Mvar,0.000101,5.269122536649575e-15,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-9-P,electric,GT,1,0.0,MW,0.000101,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-9-Q,electric,GT,1,5.32181376201607e-19,Mvar,0.000101,5.269122536649575e-15,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-10,electric,GT,1,0.0,MW,0.000101,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-14,electric,1,1,3.197442310920451e-14,MW,0.000101,3.165784466257872e-10,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-15,electric,1,1,0.0,Mvar,0.000101,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-17,electric,1,1,0.0,pu,1.0e-6,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-14,electric,2,1,2.1380235262945195e-14,MW,0.000101,2.116854976529227e-10,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-15,electric,2,1,1.734723475976807e-17,Mvar,0.000101,1.7175479960166406e-13,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-17,electric,2,1,0.0,pu,1.0e-6,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,root-voltage,electric,1,1,0.0,pu,1.0e-6,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-16,electric,e12,1,2.905661822261152e-17,pu,1.0e-6,2.905661822261152e-11,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,P-line-bound,electric,e12,1,0.0,MW,0.000101,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,Q-line-bound,electric,e12,1,0.0,Mvar,0.000101,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,mass,heat,1,1,0.0,kg/s,2.0e-6,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-20,heat,1,1,0.0,K,0.0001,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-21,heat,1,1,5.684341886080802e-14,K,0.0001,5.684341886080801e-10,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-24-S,heat,1,1,0.0,K,0.0001,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-24-R,heat,1,1,0.0,K,0.0001,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,mass,heat,2,1,0.0,kg/s,2.0e-6,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-20,heat,2,1,0.0,K,0.0001,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-21,heat,2,1,0.0,K,0.0001,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-24-S,heat,2,1,0.0,K,0.0001,0.0,true
