mode,run_id,device,time_h,commitment
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP1,20.5,0.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP1,20.75,-0.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP1,21.0,0.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP1,21.25,0.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP1,21.5,0.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP1,21.75,0.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP1,22.0,-0.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP1,22.25,-0.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP1,22.5,-0.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP1,22.75,0.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP1,23.0,0.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP1,23.25,0.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP1,23.5,0.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP1,23.75,0.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,0.0,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,0.25,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,0.5,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,0.75,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,1.0,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,1.25,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,1.5,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,1.75,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,2.0,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,2.25,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,2.5,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,2.75,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,3.0,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,3.25,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,3.5,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,3.75,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,4.0,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,4.25,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,4.5,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,4.75,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,5.0,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,5.25,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,5.5,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,5.75,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,6.0,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,6.25,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,6.5,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,6.75,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,7.0,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,7.25,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,7.5,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,7.75,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,8.0,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,8.25,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,8.5,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,8.75,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,9.0,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,9.25,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,9.5,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,9.75,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,10.0,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,10.25,1.0
