run_id,case,method,pattern,equation,scope,entity,t,residual,tolerance,unit,pass
open_flexible--distributed,open_flexible,distributed,10,battery_mode,model,2,3,0.0,1.0e-6,1,true
open_flexible--distributed,open_flexible,distributed,10,binary,model,2,3,9.698892926709994e-14,1.0e-6,1,true
open_flexible--distributed,open_flexible,distributed,10,charge_exclusive,model,2,3,2.9218001567418256e-15,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,discharge_exclusive,model,2,3,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,2,4,1.984746445865066e-15,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,2,4,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,2,4,5.9975592744025315e-15,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,2,4,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,2,4,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,PV,model,2,4,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,demand,model,2,4,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,dissatisfaction_epigraph,model,2,4,0.0,1.0e-6,MW²,true
open_flexible--distributed,open_flexible,distributed,10,demand,model,2,4,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,dissatisfaction_epigraph,model,2,4,0.0,1.0e-6,MW²,true
open_flexible--distributed,open_flexible,distributed,10,heat_conversion,model,2,4,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,R4-P2,model,2,4,0.0,1.2e-6,MWh,true
open_flexible--distributed,open_flexible,distributed,10,battery_mode,model,2,4,0.0,1.0e-6,1,true
open_flexible--distributed,open_flexible,distributed,10,binary,model,2,4,9.625633623500107e-14,1.0e-6,1,true
open_flexible--distributed,open_flexible,distributed,10,charge_exclusive,model,2,4,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,discharge_exclusive,model,2,4,1.0302448649885702e-14,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,energy,model,2,1,0.0,1.2e-6,MWh,true
open_flexible--distributed,open_flexible,distributed,10,energy,model,2,2,0.0,1.2e-6,MWh,true
open_flexible--distributed,open_flexible,distributed,10,energy,model,2,3,0.0,1.2e-6,MWh,true
open_flexible--distributed,open_flexible,distributed,10,energy,model,2,4,0.0,1.2e-6,MWh,true
open_flexible--distributed,open_flexible,distributed,10,energy,model,2,5,0.0,1.2e-6,MWh,true
open_flexible--distributed,open_flexible,distributed,10,initial,model,2,0,0.0,1.2e-6,MWh,true
open_flexible--distributed,open_flexible,distributed,10,terminal,model,2,4,0.0,1.2e-6,MWh,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,3,1,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,3,1,5.070701178250904e-17,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,3,1,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,3,1,4.234001692060449e-18,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,3,1,9.720037363093902e-18,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,PV,model,3,1,3.3530775097527276e-17,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,demand,model,3,1,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,dissatisfaction_epigraph,model,3,1,0.0,1.0e-6,MW²,true
open_flexible--distributed,open_flexible,distributed,10,demand,model,3,1,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,dissatisfaction_epigraph,model,3,1,0.0,1.0e-6,MW²,true
open_flexible--distributed,open_flexible,distributed,10,heat_conversion,model,3,1,3.469446951953614e-18,3.0e-6,MW,true
