run_id,case,method,pattern,mode,status,raw_A1,model_A1,electric_original_A1,cost,central_cost,bound,gap,iterations,elapsed_sec
open_flexible--central_enumeration,open_flexible,central_enumeration,14,1011,solver_optimal,true,true,true,165.04932975070813,165.04932975070813,165.0493296405378,7.139617505953807e-10,0,0.012000083923339844
open_flexible--central_enumeration,open_flexible,central_enumeration,15,0111,solver_optimal,true,true,true,167.9174713587435,167.9174713587435,167.9174713359214,1.4697386515619133e-10,0,0.01100015640258789
open_flexible--central_enumeration,open_flexible,central_enumeration,16,1111,solver_optimal,true,true,true,167.91747136051907,167.91747136051907,167.91747134750855,8.448155371203171e-11,0,0.009999990463256836
open_fixed--distributed,open_fixed,distributed,1,0000,consensus_converged,true,true,true,182.59295244678918,182.5918311850308,NaN,NaN,300,4.158999919891357
open_fixed--distributed,open_fixed,distributed,2,1000,consensus_converged,true,true,true,181.00561003226056,181.00494869079338,NaN,NaN,301,3.9030001163482666
open_fixed--distributed,open_fixed,distributed,3,0100,consensus_converged,true,true,true,182.59231867956723,182.5918311905128,NaN,NaN,300,4.0920000076293945
open_fixed--distributed,open_fixed,distributed,4,1100,consensus_converged,true,true,true,182.59291013429072,182.59183118927353,NaN,NaN,292,4.0
open_fixed--distributed,open_fixed,distributed,5,0010,consensus_converged,true,true,true,181.90231383544517,181.90103368593674,NaN,NaN,839,11.28600001335144
open_fixed--distributed,open_fixed,distributed,6,1010,consensus_converged,true,true,true,180.93087202303184,180.93046795964213,NaN,NaN,204,2.6510000228881836
open_fixed--distributed,open_fixed,distributed,7,0110,consensus_converged,true,true,true,182.59205923712744,182.59183118980224,NaN,NaN,240,3.365000009536743
open_fixed--distributed,open_fixed,distributed,8,1110,consensus_converged,true,true,true,182.59206944092344,182.59183118943218,NaN,NaN,238,3.185999870300293
open_fixed--distributed,open_fixed,distributed,9,0001,consensus_converged,true,true,true,180.00505875094507,180.00466254756975,NaN,NaN,300,4.163000106811523
open_fixed--distributed,open_fixed,distributed,10,1001,consensus_converged,true,true,true,179.72828665231216,179.72661771492213,NaN,NaN,296,4.125
open_fixed--distributed,open_fixed,distributed,11,0101,consensus_converged,true,true,true,182.5929921226155,182.59183118871377,NaN,NaN,255,3.500999927520752
open_fixed--distributed,open_fixed,distributed,12,1101,consensus_converged,true,true,true,182.59316271239533,182.59183118741458,NaN,NaN,248,3.9710001945495605
