run_id,case,method,pattern,actor,t,CHP_MW,PV_MW,HP_MW,EB_MW,charge_MW,discharge_MW,electric_load_MW,heat_load_MW,energy_MWh
open_flexible--central_exact,open_flexible,central_exact,0,1,3,0.0014999999999999274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
open_flexible--central_exact,open_flexible,central_exact,0,1,4,0.0014999999999999274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
open_flexible--central_exact,open_flexible,central_exact,0,2,1,0.0,0.0,0.1,0.0,0.0108060785682004,0.0,0.21190332451774177,0.10511219357598706,0.1
open_flexible--central_exact,open_flexible,central_exact,0,2,2,0.0,0.2699999999444186,0.035792473866174436,0.0,0.0,0.1,0.2621191605786654,0.1277083949382271,0.11026577463979038
open_flexible--central_exact,open_flexible,central_exact,0,2,3,0.0,0.45,0.07058323169845844,0.0,0.0,3.0214886063035717e-9,0.2100207176718449,0.10667484815813222,0.005002616745053532
open_flexible--central_exact,open_flexible,central_exact,0,2,4,0.0,0.09000000000000001,0.1,0.0,0.09999724887943243,0.0,0.2119034591035119,0.1051120806298677,0.00500261356453921
open_flexible--central_exact,open_flexible,central_exact,0,3,1,0.01835365592027534,0.0,0.0,0.0,0.0,0.0,0.26686032008350713,0.21511219356526512,0.0
open_flexible--central_exact,open_flexible,central_exact,0,3,2,0.15,0.0,0.0,0.0,0.0,0.0,0.3170722507657327,0.2707083949346314,0.0
open_flexible--central_exact,open_flexible,central_exact,0,3,3,0.09450000099939669,0.0,0.0,0.0,0.0,0.0,0.2649842092479475,0.21667484815306265,0.0
open_flexible--central_exact,open_flexible,central_exact,0,3,4,0.018353467707511145,0.0,0.0,0.0,0.0,0.0,0.26686045605474046,0.21511208061914566,0.0
open_fixed--distributed,open_fixed,distributed,10,1,1,0.001500016272417691,2.4936497431658117e-18,7.655350564174548e-16,1.3677107521983721e-8,2.665328156697681e-16,-2.80781226445911e-16,-5.565789018370176e-20,1.087116111977633e-15,5.661302013057097e-16
open_fixed--distributed,open_fixed,distributed,10,1,2,0.0678318452322681,1.1297840154836214e-16,-1.1441635534488805e-16,1.7061465438128076e-9,1.7813262741681327e-15,-1.8868013536665533e-15,-1.6312451071008903e-18,1.1203699936503918e-15,1.7108220896146782e-15
open_fixed--distributed,open_fixed,distributed,10,1,3,0.0015000098570165947,3.412775410432242e-14,-3.899658998333578e-14,4.152042795300228e-9,-2.312563174874414e-14,2.0842336371600047e-14,-4.866906522106792e-16,1.3405504308391508e-15,9.587174769834932e-15
open_fixed--distributed,open_fixed,distributed,10,1,4,0.0015000176978139136,2.9023673670727264e-18,7.771579786672321e-16,1.2106996410091851e-8,1.5561934091323977e-15,-1.6384968656586226e-15,-6.149984012553808e-20,1.0872851094368246e-15,-9.940029033727962e-15
open_fixed--distributed,open_fixed,distributed,10,2,1,-7.296234061470769e-19,-1.6610431265923125e-18,0.0999997362404582,1.306297343084956e-18,0.032207917327037566,1.2966413860162536e-17,0.2,0.1,0.1
open_fixed--distributed,open_fixed,distributed,10,2,2,-8.076216501161182e-19,0.26999997140418697,0.03740062382956291,1.5994397174575989e-18,1.445958231546948e-17,0.09999991285387176,0.25,0.12,0.13059752146068565
open_fixed--distributed,open_fixed,distributed,10,2,3,-6.713386802950532e-20,0.44999998666919977,0.07232811015390089,1.3390804629618039e-18,1.4065280552123087e-17,0.0005585608678319757,0.2,0.1,0.025334455298715437
open_fixed--distributed,open_fixed,distributed,10,2,4,-5.085465748888122e-19,0.08999999745083057,0.09999968902852065,1.123995889595773e-18,0.07921421422055658,1.3064157884872036e-17,0.2,0.1,0.02474649649047126
open_fixed--distributed,open_fixed,distributed,10,3,1,0.001500375899535064,1.3202395735911808e-14,4.235403343212281e-14,2.432789372523151e-7,-1.0867553663612154e-14,1.0480058915401463e-14,0.2499999999999997,0.20000000000000004,8.93717925501866e-15
open_fixed--distributed,open_fixed,distributed,10,3,2,0.14999990998615348,-2.205532561674309e-16,-8.934315963477528e-16,2.1598472987387452e-8,7.368010990326821e-16,-7.824741910379817e-16,0.3000000000000001,0.25000000000000006,-3.4805630427053256e-15
open_fixed--distributed,open_fixed,distributed,10,3,3,0.07067924205989144,-1.6170535431435025e-16,3.49690814591101e-16,5.817123375034081e-8,6.88041624811457e-16,-7.354119555016416e-16,0.25000000000000006,0.20000000000000004,1.9308001663608387e-17
open_fixed--distributed,open_fixed,distributed,10,3,4,0.0015005889507018965,1.3194782637095839e-14,4.2344082068417316e-14,2.4475163684559603e-7,-1.085958388182332e-14,1.0472152587116967e-14,0.2499999999999997,0.20000000000000004,3.461937850445304e-15
open_fixed--central_enumeration,open_fixed,central_enumeration,14,1,1,0.0014999995538378253,1.2643200912107455e-11,8.126456267035647e-12,5.343250671236059e-10,2.063096513830942e-13,-5.911446152591577e-12,-3.876025006790415e-13,8.793810977550252e-13,-4.95776206105651e-14
open_fixed--central_enumeration,open_fixed,central_enumeration,14,1,2,0.0678316698054031,1.47523104575518e-11,1.9542384760822414e-14,-1.2533374256685983e-11,-8.059527863510984e-12,2.343282942410494e-12,-5.950187398607971e-13,9.537913211823988e-13,6.316804476604482e-12
open_fixed--central_enumeration,open_fixed,central_enumeration,14,1,3,0.001499999984439776,1.3734151913352128e-11,6.823744893548055e-12,-5.00479507835564e-12,-3.6117747460243103e-12,-3.0568771896470767e-12,-4.752891151369949e-13,9.099437386873863e-13,-3.879698104118469e-12
open_fixed--central_enumeration,open_fixed,central_enumeration,14,1,4,0.0014999995538755668,1.264177538327878e-11,8.125015687168288e-12,5.342791744400621e-10,-1.0019503399996808e-12,-4.941805830416999e-12,-3.875882393716e-13,8.794114222570505e-13,-4.155789292481142e-12
open_fixed--central_enumeration,open_fixed,central_enumeration,14,2,1,-1.466346263938189e-13,1.2610320158252443e-11,0.10000000000316271,-9.077861931077217e-12,0.01080372823628961,-5.7372708063910784e-12,0.20000000000055798,0.10000000000025201,0.1
open_fixed--central_enumeration,open_fixed,central_enumeration,14,2,2,9.016518283968123e-12,0.2700000000138272,0.037400665418371906,-1.3619143825909848e-11,-1.0769499200640983e-11,0.09999999998479737,0.25000000000056516,0.12000000000038126,0.11026354183051436
