owner,id,run_id,status,model_pass,kkt_pass,cost_complete,comfort_outcome,peak_excess_K,net_cost_CNY,called_energy_MWh,mismatch_MWh,trained_label,day_ahead_cost_CNY,device_cost_CNY,real_time_settlement_CNY,delivery_penalty_CNY,physical_max_normalized,lp_kkt_max_normalized,lp_gap_normalized,elapsed_sec,budget_overrun_sec
3B,test_000288,r9-day-9f38f9fc-70dc-4fe8-99f3-c352f989c330,solver_optimal,true,true,true,pass,0.0,384176.87522848253,1.018402709505168e-12,4.696326675008112e-14,0,292050.3464153371,92126.52881314536,-6.713776201650033e-11,9.392653350016224e-11,1.2391865311656147e-7,1.670564177004061e-6,1.1056902708792099e-11,1.3919999599456787,0.0
3B,test_000289,r9-day-7b1d5b85-fce5-4544-8b8d-d0cd1836fc10,solver_optimal,true,true,true,pass,0.0,386649.99776838836,1.02327102686094e-12,7.626946097621727e-14,0,292050.3464153371,94599.65135305082,2.3601955945196103e-10,1.5253892195243454e-10,1.9522976131899768e-7,4.962095549269444e-6,3.9225708870582647e-10,1.559000015258789,0.0
3B,test_000290,r9-day-b25205de-050c-44f6-92a8-e90a8ca283f2,solver_optimal,true,true,true,pass,0.0,385180.1870739282,7.774334034350015e-13,1.138845844353734e-13,0,292050.3464153371,93129.84065859088,-3.3705305213516115e-11,2.2776916887074678e-10,1.630837687116582e-6,2.1917217999980796e-5,1.2031562221736564e-10,1.503000020980835,0.0
3B,test_000291,r9-day-05917373-a1c2-42ee-93e8-528c9c6abb19,solver_optimal,true,true,true,pass,0.0,385836.2904064419,1.164570617383207e-12,5.886369848153802e-14,0,292050.3464153371,93785.94399110426,4.1388688032384386e-10,1.1772739696307603e-10,3.5351685149359327e-7,5.13475505500981e-6,1.0969878457939465e-9,1.4539999961853027,0.0
3B,test_000292,r9-day-b354304a-409c-43a0-a1c6-d589cf9d2260,solver_optimal,true,true,true,pass,0.0,385805.85897328035,1.2871655574034393e-12,6.733479958924338e-14,0,292050.3464153371,93755.51255794297,1.5528058838754077e-10,1.3466959917848675e-10,9.777068044058979e-8,1.3176537264333007e-6,1.8625356309846616e-10,1.562999963760376,0.0
3B,test_000293,r9-day-3eaab9ad-69d2-4b3e-b6d6-54d0207bbe10,solver_optimal,true,true,true,pass,0.0,384137.67977303796,1.0030381347158368e-12,8.087558653186962e-14,0,292050.3464153371,92087.33335770066,-4.187938884570025e-12,1.6175117306373924e-10,1.1596057447604835e-7,1.5587955817997503e-6,2.1649148841593048e-10,1.4070000648498535,0.0
3B,test_000294,r9-day-75b5c79d-aa7d-4315-9215-42a72210b514,solver_optimal,true,true,true,pass,0.0,386885.39343362156,1.1722564430694396e-12,7.981292173913259e-14,0,292050.3464153371,94835.04701828459,-3.2906939395616075e-10,1.5962584347826519e-10,1.8189894035458565e-7,2.4443523353954694e-6,3.3757787346522545e-11,1.5399999618530273,0.0
3B,test_000295,r9-day-90e6290c-07c2-45c9-80ce-f80f4b4c33dc,solver_optimal,true,true,true,pass,0.0,386009.242064577,1.1104028348233603e-12,6.325838029904494e-14,0,292050.3464153371,93958.89564924006,-2.903078666349757e-10,1.2651676059808988e-10,2.9945113055873662e-6,4.025304632703172e-5,1.4418893478894516e-9,1.625,0.0
3B,test_000296,r9-day-7b4fe94c-d909-4438-bc17-925f94383004,solver_optimal,true,true,true,pass,0.0,384607.13041731965,7.727621424649563e-13,1.2214032614336597e-13,0,292050.3464153371,92556.78400198244,-9.788863053472598e-11,2.442806522867319e-10,2.1316282072803006e-7,2.8687405240704166e-6,2.2168229690821323e-10,1.4470000267028809,0.0
3B,test_000297,r9-day-f320bffc-10b8-4bb6-a4d0-7f5cfcb9ac86,solver_optimal,true,true,true,pass,0.0,385803.78358285106,1.273949855752214e-12,3.2508210380087723e-14,0,292050.3464153371,93753.43716751381,4.687308319262229e-11,6.501642076017544e-11,8.29913915367797e-8,1.1228127740207566e-6,9.312884306758525e-11,1.3940000534057617,0.0
3B,test_000298,r9-day-87f953f2-0e9a-4e2f-9806-38b48c7d563e,solver_optimal,true,true,true,pass,0.0,385832.8535720319,1.2411929614080368e-12,5.1030624015699146e-14,0,292050.3464153371,93782.50715669498,-2.94764390673663e-10,1.020612480313983e-10,3.410605131648481e-7,4.5785952374175416e-6,1.691316225148212e-10,1.4479999542236328,0.0
3B,test_000299,r9-day-8db240e9-a288-497d-8c6f-d22bc3b7b685,solver_optimal,true,true,true,pass,0.0,383910.441447932,1.0285455840043133e-12,4.3739777191711685e-14,0,292050.3464153371,91860.09503259487,-1.2876881783085993e-10,8.747955438342337e-11,1.8189894035458565e-7,2.436407309207548e-6,3.326691744519426e-11,1.5989999771118164,0.0
3B,test_000300,r9-day-685660dd-cb1f-4f3c-9928-c5157c896847,solver_optimal,true,true,true,pass,0.0,385391.9600795986,9.80461833360525e-13,8.585944260712728e-14,0,292050.3464153371,93341.61366426162,-2.7254856149738773e-10,1.7171888521425456e-10,1.3415046851150692e-7,1.799923576971884e-6,6.235981855084811e-11,1.4830000400543213,0.0
3B,test_000301,r9-day-efe7f157-e430-476b-8050-9ee393acd3dd,solver_optimal,true,true,true,pass,0.0,383723.76315911865,1.2026289311566444e-12,9.302898820427841e-14,0,292050.3464153371,91673.41674378184,-4.837815481550934e-10,1.8605797640855683e-10,5.064748620497994e-7,6.8114045023007206e-6,7.619350906422834e-11,1.5079998970031738,0.0
3B,test_000302,r9-day-aa29301c-643a-4e62-8556-023c91c97075,solver_optimal,true,true,true,pass,0.0,389107.2638169745,1.236377816420606e-12,4.191506854310438e-14,0,292050.3464153371,97056.91740163734,-4.6165382627805234e-11,8.383013708620877e-11,5.144329406903125e-7,6.910437969979506e-6,2.1590174600470375e-10,1.315000057220459,0.0
3B,test_000303,r9-day-6c979893-b5ab-438f-b871-8f354204b979,solver_optimal,true,true,true,pass,0.0,384081.03026872745,1.5130584897480634e-12,4.746892181109675e-14,0,292050.3464153371,92030.68385339086,-6.161712917673868e-10,9.493784362219351e-11,5.326228347257711e-7,7.1566741312082455e-6,1.5021424255600868e-10,1.4850001335144043,0.0
3B,test_000304,r9-day-c03d9b8c-bb81-46ef-a594-03c0887a5e4c,solver_optimal,true,true,true,pass,0.0,387721.40161017,1.2403856916407285e-12,7.306331486754648e-14,0,292050.3464153371,95671.05519483238,3.493525468911684e-10,1.4612662973509295e-10,1.0203393685515039e-6,1.3712499118265612e-5,3.9242737746258524e-10,1.4900000095367432,0.0
3B,test_000305,r9-day-8b0b7515-a20b-432a-a0db-65d6e8d61d69,solver_optimal,true,true,true,pass,0.0,386228.82501711714,1.324531290531941e-12,2.525953372438371e-14,0,292050.3464153371,94178.47860177956,4.3106069824716543e-10,5.051906744876742e-11,1.887201506178826e-7,2.5386874620805075e-6,2.9048675488810254e-10,1.4479999542236328,0.0
3B,test_000306,r9-day-05a366f9-5574-443e-bcea-2d7d98f4f4c0,solver_optimal,true,true,true,pass,0.0,384519.1593433778,1.3385011055238683e-12,6.145580724867986e-14,0,292050.3464153371,92468.81292804005,5.288157467475685e-10,1.2291161449735972e-10,5.201172825763933e-7,6.990940505399011e-6,1.2432313843323471e-10,1.5300002098083496,0.0
3B,test_000307,r9-day-0f593d1a-2774-4bee-93bb-ffd485ab744c,solver_optimal,true,true,true,pass,0.0,385654.80719256756,1.0552664839144942e-12,8.182527027196445e-14,0,292050.3464153371,93604.4607772301,1.4741203813173344e-10,1.636505405439289e-10,3.183231456205249e-7,4.27330111287027e-6,4.197467811934434e-11,1.5469999313354492,0.0
3B,test_000308,r9-day-815d65d3-c85e-444b-9a2a-e46e305324be,solver_optimal,true,true,true,pass,0.0,384799.30516702717,8.777337603297572e-13,6.403028565869759e-14,0,292050.3464153371,92748.95875168999,-3.3882940897456147e-11,1.280605713173952e-10,1.6160583982127719e-6,2.1722355843799258e-5,8.393921346350162e-10,1.4649999141693115,0.0
3B,test_000309,r9-day-2c916708-476f-4c7a-b4f9-1719aedcd89b,solver_optimal,true,true,true,pass,0.0,383671.6480302094,8.693759963937579e-13,9.87642599882366e-14,0,292050.3464153371,91621.30161487237,-2.200891913162195e-10,1.975285199764732e-10,1.1539214028744027e-7,1.5487381305287943e-6,5.797177037148125e-10,1.63100004196167,0.0
3B,test_000310,r9-day-5e000990-7267-4864-beb2-0f721aff7c34,solver_optimal,true,true,true,pass,0.0,385368.87664464203,1.0149744602019804e-12,7.991697023790312e-14,0,292050.3464153371,93318.530229305,-2.0572343828462183e-10,1.5983394047580624e-10,9.549694368615746e-8,1.2804872465398215e-6,1.9336325635257838e-10,1.5810000896453857,0.0
3B,test_000311,r9-day-76bf7800-19ef-415f-9419-11560df78f20,solver_optimal,true,true,true,pass,0.0,387053.6674307461,1.2490837956364926e-12,6.610789966198023e-14,0,292050.3464153371,95003.32101540882,5.1490189889591436e-11,1.3221579932396045e-10,1.4267698134062812e-7,1.9095326999272552e-6,2.2669559661487333e-10,1.566999912261963,0.0
3B,test_000312,r9-day-4cf69cc0-e40f-4ef0-9539-aab8a46a63a4,solver_optimal,true,true,true,pass,0.0,386349.0966615898,8.601455437071061e-13,9.825806028323918e-14,0,292050.3464153371,94298.75024625228,2.481129968145979e-10,1.9651612056647835e-10,1.1368683772161603e-7,1.53243331181764e-6,1.0184932489180892e-10,1.4279999732971191,0.0
3B,test_000313,r9-day-01be7b65-1684-4bdf-9d7d-bde021a0e820,solver_optimal,true,true,true,pass,0.0,384762.37756832916,1.0821378779525823e-12,8.578626649643169e-14,0,292050.3464153371,92712.0311529921,-2.1503439029402217e-10,1.7157253299286339e-10,3.581135388230905e-7,4.807642690945871e-6,1.600973827058146e-10,1.3050000667572021,0.0
3B,test_000314,r9-day-6556d09c-4656-4af5-8f23-42684d707efe,solver_optimal,true,true,true,pass,0.0,384708.56371664244,1.0995472923350792e-12,5.993912202656739e-14,0,292050.3464153371,92658.21730130567,-4.5035761786493825e-10,1.1987824405313477e-10,9.060840966412798e-7,1.2238941951243215e-5,1.8531826393373745e-10,1.3550000190734863,0.0
3B,test_000315,r9-day-aa5b37a6-727b-4145-b410-464295149191,solver_optimal,true,true,true,pass,0.0,384411.101511643,1.092391478966591e-12,6.067639985859396e-14,0,292050.3464153371,92360.75509630611,-3.2899833968258464e-10,1.2135279971718792e-10,3.2457592169521376e-7,4.358044115289953e-6,4.0964346333354707e-10,1.317000150680542,0.0
3B,test_000316,r9-day-4d67f054-eb1a-43f8-bf5d-d27b387d2088,solver_optimal,true,true,true,pass,0.0,383776.88700298866,1.3496035242738748e-12,1.89160697401131e-14,0,292050.3464153371,91726.54058765185,-3.358906042194576e-10,3.78321394802262e-11,3.183231456205249e-7,4.281635898657582e-6,5.552559049211604e-11,1.441999912261963,0.0
3B,test_000317,r9-day-07c3ee68-b76f-41cc-98f4-aa1f09c92bfd,solver_optimal,true,true,true,pass,0.0,387898.7741902988,8.880083465011827e-13,4.841209194736854e-14,0,292050.3464153371,95848.42777496134,2.2452724124377713e-10,9.682418389473707e-11,3.0451019483734854e-6,4.0932209966516586e-5,7.742930101984653e-10,1.373000144958496,0.0
3B,test_000318,r9-day-6a25582b-1994-4a12-b487-18e19b821210,solver_optimal,true,true,true,pass,0.0,390647.02746902977,1.1006797424112247e-12,5.129148749115932e-14,0,292050.3464153371,98596.68105369242,1.271445171369123e-10,1.0258297498231864e-10,9.424638847121969e-7,1.2661157178333338e-5,1.7120476556115356e-10,1.3659999370574951,0.0
3B,test_000319,r9-day-615255e0-be84-4dae-8d76-338c68e29f3c,solver_optimal,true,true,true,pass,0.0,383758.1736414141,1.1563608825347196e-12,5.205135238180787e-14,0,292050.3464153371,91707.82722607692,-7.576943517051406e-11,1.0410270476361574e-10,6.417621989385225e-7,8.618169705105652e-6,6.029722820875034e-11,1.5130000114440918,0.0
3B,test_000320,r9-day-b1b3ad69-b7a9-443f-883d-787aa8683376,solver_optimal,true,true,true,pass,0.0,385092.7091443762,1.0815222241476218e-12,9.115305356150575e-14,0,292050.3464153371,93042.36272903859,3.2946729788818625e-10,1.823061071230115e-10,2.0975221559638157e-7,2.822895594090994e-6,1.548369544100868e-10,1.4690001010894775,0.0
3B,test_000321,r9-day-99896ab0-39f3-49e7-8e3e-91bc050b554d,solver_optimal,true,true,true,pass,0.0,385202.6327357243,1.156439763878473e-12,9.585532102970492e-14,0,292050.3464153371,93152.28632038728,-2.463082182657672e-10,1.9171064205940984e-10,2.631850293255411e-7,3.535673435250115e-6,4.3584376820881055e-10,1.566999912261963,0.0
3B,test_000322,r9-day-43921121-6e92-49ec-bcc6-00ee26b51133,solver_optimal,true,true,true,pass,0.0,385994.1165410558,1.1694967722221136e-12,6.527713236942017e-14,0,292050.3464153371,93943.77012571876,-1.77564629666449e-10,1.3055426473884034e-10,3.865352482534945e-7,5.192076786551651e-6,1.5025326056880857e-10,1.4830000400543213,0.0
3B,test_000323,r9-day-16504d36-4a6b-4bab-89b8-8ceebce236d8,solver_optimal,true,true,true,pass,0.0,384056.06572666817,9.483262952769436e-13,5.599581357280558e-14,0,292050.3464153371,92005.71931133095,-2.372644303250129e-11,1.1199162714561117e-10,1.7905676941154525e-7,2.4040830566748154e-6,2.578059494538052e-10,1.5400002002716064,0.0
