record_id,run_id,phase,iteration,scenario,group,count,failures,worst_id,residual,tolerance,normalized,pass
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,cost_physical,1,none,comfort,4,0,building-energy,1.1102230246251565e-16,2.0e-6,5.551115123125783e-11,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,cost_physical,1,none,cost,1,0,5-5-cost,0.0,1.0e-6,0.0,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,cost_physical,1,none,delivery,3,0,5-3-epigraph,0.0,2.0e-6,0.0,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,cost_physical,1,none,electric,18,0,5-16,1.1817803680091998e-17,1.0e-6,1.1817803680091998e-11,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,cost_physical,1,none,heat,19,0,5-19,1.1102230246251565e-16,2.0e-6,5.551115123125783e-11,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,cost_physical,1,up,auxiliary,1,0,5-3-exact,0.0,2.0e-6,0.0,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,cost_physical,1,up,comfort,4,0,building-energy,1.1102230246251565e-16,2.0e-6,5.551115123125783e-11,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,cost_physical,1,up,cost,1,0,5-5-cost,0.0,4.0600000000000035e-6,0.0,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,cost_physical,1,up,delivery,3,0,5-3-epigraph,0.0,2.0e-6,0.0,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,cost_physical,1,up,electric,18,0,5-16,1.1018204577883939e-17,1.0e-6,1.1018204577883939e-11,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,cost_physical,1,up,heat,19,0,5-19,1.1102230246251565e-16,2.0e-6,5.551115123125783e-11,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,diagnostic_KKT,1,down,complementarity,196,0,5-10-down/GT/1,0.0,1.0e-6,0.0,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,diagnostic_KKT,1,down,gap,1,0,primal-dual,6.938893903907228e-18,0.0001,6.938893903907228e-14,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,diagnostic_KKT,1,down,objective,1,0,objective,0.0,1.0e-6,0.0,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,diagnostic_KKT,1,down,primal,196,0,5-16/e12/1,8.431219806239052e-18,1.0e-8,8.431219806239052e-10,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,diagnostic_KKT,1,down,sign,196,0,5-10-down/GT/1,0.0,1.0e-6,0.0,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,diagnostic_KKT,1,down,stationarity,64,0,H_D/1/1,0.0,1.0e-6,0.0,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,master,1,shared,binary,3,0,z/1,0.0,1.0e-6,0.0,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,master,1,shared,cost_floor,3,0,floor/1,0.0,1.0e-6,0.0,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,master,1,shared,first_stage,8,0,PCC-down/1,0.0,1.0e-6,0.0,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,master,1,shared,objective,1,0,master/objective,0.0,1.0e-6,0.0,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,master,1,shared,risk,1,0,risk/budget,0.0,1.0e-8,0.0,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,master,1,shared,transport,4,0,cost/rows,0.0,1.0e-6,0.0,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_joint,2,shared,branch,1,0,z-binary,0.0,1.0e-6,0.0,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_joint,2,shared,comfort_link,3,0,down/1/1,0.0,0.0001,0.0,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_joint,2,shared,cost,2,0,model-objective,0.0,2.1750000000368086e-6,0.0,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_joint,2,shared,embedded,4,0,risk/dual-rows,8.906861301122584e-13,1.0e-8,8.906861301122584e-5,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_joint,2,shared,first_stage,4,0,R_down_MW/1,2.914335439641036e-16,2.0e-6,1.457167719820518e-10,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_joint,2,shared,risk,3,0,actual-risk,4.74279467309549e-13,1.0e-8,4.74279467309549e-5,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,2,down,auxiliary,1,0,5-3-exact,1.3877787807814457e-17,2.0e-6,6.938893903907228e-12,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,2,down,comfort,4,0,building-energy,1.1102230246251565e-16,2.0e-6,5.551115123125783e-11,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,2,down,cost,1,0,5-5-cost,1.4654943925052066e-14,1.5999999999999902e-6,9.159339953157598e-9,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,2,down,delivery,3,0,5-3-epigraph,1.3877787807814457e-17,2.0e-6,6.938893903907228e-12,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,2,down,electric,18,0,5-16,3.447762908503904e-17,1.0e-6,3.447762908503904e-11,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,2,down,heat,19,0,5-19,1.1102230246251565e-16,2.0e-6,5.551115123125783e-11,true
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,2,none,auxiliary,1,0,5-3-exact,0.0,2.0e-6,0.0,true
