run_id,trial,update,accepted,physical_pass,pipe,time_h,flow_kg_s,supply_out_K,replay_out_K,heat_MW,grid_MW
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,3,3,true,false,2,12.0,2.0,352.4884584018382,352.4884584018383,0.3317030505754416,0.17527487804330485
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,3,3,true,false,1,13.0,1.0,352.4879120834421,352.4879120834421,0.1683592296722894,0.17527422421799932
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,3,3,true,false,2,13.0,2.0,352.4884584018382,352.4884584018383,0.3317030505754416,0.17527422421799932
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,3,3,true,false,1,14.0,1.0,352.4879120834421,352.4879120834421,0.16835922967228967,0.17527453562586054
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,3,3,true,false,2,14.0,2.0,352.4884584018382,352.4884584018383,0.3317030505754416,0.17527453562586054
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,4,4,true,true,1,1.0,1.2376557750952615,352.53688761444295,352.5368876144429,0.08701340705078485,0.20049809434560495
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,4,4,true,true,2,1.0,1.7398612165408052,352.41734106925173,352.41734106925134,0.29999999999999855,0.20049809434560495
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,4,4,true,true,1,2.0,0.9856668594236324,352.53317733164346,352.53317733162606,0.1380453109569909,1.7516338218451377e-5
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,4,4,true,true,2,2.0,1.7377945138850093,352.42297304539704,352.4229730452682,0.3199999999999982,1.7516338218451377e-5
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,4,4,true,true,1,3.0,1.0528435347953808,352.4970030758416,352.4970016005576,0.13514584752423117,1.790173326613328e-5
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,4,4,true,true,2,3.0,1.748675393361892,352.41517411180763,352.4151741217342,0.3399999999999981,1.790173326613328e-5
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,4,4,true,true,1,4.0,1.0087483378244368,352.50292493205274,352.5029211756472,0.16736218048451318,0.0007573326677503544
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,4,4,true,true,2,4.0,1.9775683528354924,352.4587666742921,352.4587668100144,0.3199999999999987,0.0007573326677503544
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,4,4,true,true,1,5.0,1.0,352.49012542752354,352.49012315462767,0.1673874713955874,0.17476841776034688
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,4,4,true,true,2,5.0,2.0,352.4884584015373,352.4884583563529,0.33170305057531135,0.17476841776034688
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,4,4,true,true,1,6.0,1.0,352.4879120834347,352.4879120834407,0.16835922967228942,0.1755837654004304
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,4,4,true,true,2,6.0,2.0,352.48873388664225,352.4887338866584,0.3317030505754398,0.1755837654004304
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,4,4,true,true,1,7.0,1.0,352.4879120834414,352.4879120834414,0.1683592296722899,0.17527487809944664
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,4,4,true,true,2,7.0,2.0,352.48845840183566,352.48845840183566,0.33170305057544147,0.17527487809944664
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,4,4,true,true,1,8.0,1.0,352.4879120834421,352.4879120834421,0.16835922967228975,0.17527685639520496
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,4,4,true,true,2,8.0,2.0,352.48845840183816,352.48845840183816,0.33170305057544147,0.17527685639520496
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,4,4,true,true,1,9.0,1.0,352.4879120834421,352.4879120834421,0.16835922967228975,0.1752760829730271
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,4,4,true,true,2,9.0,2.0,352.4884584018382,352.4884584018383,0.3317030505754414,0.1752760829730271
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,4,4,true,true,1,10.0,1.0,352.4879120834421,352.4879120834421,0.1683592296722895,0.1752764498268473
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,4,4,true,true,2,10.0,2.0,352.4884584018382,352.4884584018383,0.3317030505754414,0.1752764498268473
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,4,4,true,true,1,11.0,1.0,352.4879120834421,352.4879120834421,0.16835922967228978,0.1752763377585884
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,4,4,true,true,2,11.0,2.0,352.4884584018382,352.4884584018383,0.3317030505754414,0.1752763377585884
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,4,4,true,true,1,12.0,1.0,352.4879120834421,352.4879120834421,0.16835922967228978,0.1752765752532376
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,4,4,true,true,2,12.0,2.0,352.4884584018382,352.4884584018383,0.3317030505754414,0.1752765752532376
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,4,4,true,true,1,13.0,1.0,352.4879120834421,352.4879120834421,0.16835922967228947,0.17527653158567696
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,4,4,true,true,2,13.0,2.0,352.4884584018382,352.4884584018383,0.3317030505754414,0.17527653158567696
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,4,4,true,true,1,14.0,1.0,352.4879120834421,352.4879120834421,0.16835922967228983,0.17527672773737005
r3-v3-20260917T115348-b8a7a604/two-source-VF_CT-pg,4,4,true,true,2,14.0,2.0,352.4884584018382,352.4884584018383,0.3317030505754414,0.17527672773737005
