coordinate,free_column,numerator,denominator,approximate
27,31,0,1,0.0
27,32,0,1,0.0
27,33,0,1,0.0
27,34,0,1,0.0
27,35,0,1,0.0
27,36,0,1,0.0
27,37,0,1,0.0
27,38,0,1,0.0
28,1,0,1,0.0
28,2,0,1,0.0
28,25,0,1,0.0
28,26,0,1,0.0
28,27,0,1,0.0
28,28,1,1,1.0
28,29,0,1,0.0
28,30,0,1,0.0
28,31,0,1,0.0
28,32,0,1,0.0
28,33,0,1,0.0
28,34,0,1,0.0
28,35,0,1,0.0
28,36,0,1,0.0
28,37,0,1,0.0
28,38,0,1,0.0
29,1,0,1,0.0
29,2,0,1,0.0
29,25,0,1,0.0
29,26,0,1,0.0
29,27,0,1,0.0
29,28,0,1,0.0
29,29,1,1,1.0
29,30,0,1,0.0
29,31,0,1,0.0
29,32,0,1,0.0
29,33,0,1,0.0
29,34,0,1,0.0
29,35,0,1,0.0
29,36,0,1,0.0
29,37,0,1,0.0
29,38,0,1,0.0
30,1,0,1,0.0
30,2,0,1,0.0
30,25,0,1,0.0
30,26,0,1,0.0
30,27,0,1,0.0
30,28,0,1,0.0
30,29,0,1,0.0
30,30,1,1,1.0
30,31,0,1,0.0
30,32,0,1,0.0
30,33,0,1,0.0
30,34,0,1,0.0
30,35,0,1,0.0
30,36,0,1,0.0
30,37,0,1,0.0
30,38,0,1,0.0
31,1,0,1,0.0
31,2,0,1,0.0
31,25,0,1,0.0
31,26,0,1,0.0
31,27,0,1,0.0
31,28,0,1,0.0
31,29,0,1,0.0
31,30,0,1,0.0
31,31,1,1,1.0
31,32,0,1,0.0
31,33,0,1,0.0
31,34,0,1,0.0
31,35,0,1,0.0
31,36,0,1,0.0
31,37,0,1,0.0
31,38,0,1,0.0
32,1,0,1,0.0
32,2,0,1,0.0
32,25,0,1,0.0
32,26,0,1,0.0
32,27,0,1,0.0
32,28,0,1,0.0
32,29,0,1,0.0
32,30,0,1,0.0
32,31,0,1,0.0
32,32,1,1,1.0
32,33,0,1,0.0
32,34,0,1,0.0
32,35,0,1,0.0
32,36,0,1,0.0
32,37,0,1,0.0
32,38,0,1,0.0
33,1,0,1,0.0
33,2,0,1,0.0
33,25,0,1,0.0
33,26,0,1,0.0
33,27,0,1,0.0
33,28,0,1,0.0
33,29,0,1,0.0
33,30,0,1,0.0
33,31,0,1,0.0
33,32,0,1,0.0
33,33,1,1,1.0
33,34,0,1,0.0
33,35,0,1,0.0
33,36,0,1,0.0
33,37,0,1,0.0
33,38,0,1,0.0
34,1,0,1,0.0
34,2,0,1,0.0
34,25,0,1,0.0
34,26,0,1,0.0
34,27,0,1,0.0
34,28,0,1,0.0
34,29,0,1,0.0
34,30,0,1,0.0
34,31,0,1,0.0
34,32,0,1,0.0
34,33,0,1,0.0
34,34,1,1,1.0
34,35,0,1,0.0
34,36,0,1,0.0
34,37,0,1,0.0
34,38,0,1,0.0
