equation,scope,entity,t,residual,unit,tolerance,pass
3-35:36,model,S3,2,0.0,K,0.0001,true
mix-original,physics,S3,2,0.0,K,0.0001,true
3-35:36,model,S3,3,0.0,K,0.0001,true
mix-original,physics,S3,3,0.0,K,0.0001,true
3-35:36,model,S3,4,0.0,K,0.0001,true
mix-original,physics,S3,4,0.0,K,0.0001,true
3-35:36,model,R1,1,0.0,K,0.0001,true
mix-original,physics,R1,1,0.0,K,0.0001,true
3-35:36,model,R1,2,0.0,K,0.0001,true
mix-original,physics,R1,2,0.0,K,0.0001,true
3-35:36,model,R1,3,0.0,K,0.0001,true
mix-original,physics,R1,3,0.0,K,0.0001,true
3-35:36,model,R1,4,0.0,K,0.0001,true
mix-original,physics,R1,4,0.0,K,0.0001,true
3-35:36,model,R2,1,0.0,K,0.0001,true
mix-original,physics,R2,1,0.0,K,0.0001,true
3-35:36,model,R2,2,0.0,K,0.0001,true
mix-original,physics,R2,2,0.0,K,0.0001,true
3-35:36,model,R2,3,5.684341886080802e-14,K,0.0001,true
mix-original,physics,R2,3,5.684341886080802e-14,K,0.0001,true
3-35:36,model,R2,4,0.0,K,0.0001,true
mix-original,physics,R2,4,0.0,K,0.0001,true
3-35:36,model,R3,1,0.0,K,0.0001,true
mix-original,physics,R3,1,0.0,K,0.0001,true
3-35:36,model,R3,2,0.0,K,0.0001,true
mix-original,physics,R3,2,0.0,K,0.0001,true
3-35:36,model,R3,3,0.0,K,0.0001,true
mix-original,physics,R3,3,0.0,K,0.0001,true
3-35:36,model,R3,4,0.0,K,0.0001,true
mix-original,physics,R3,4,0.0,K,0.0001,true
3-23,model,1,1,0.0,kg/s,4.0e-6,true
3-27,model,1,1,3.6637359812630166e-15,kg/s,4.0e-6,true
3-30,model,1,1,0.0,kg/s,4.0e-6,true
3-32,model,1,1,0.0,1,1.0e-6,true
3-28,model,1,1,8.608258963396483e-11,1,1.0e-6,true
3-29:32,model,1,1,0.0,1,1.0e-6,true
3-31,model,1,1,0.0,1,1.0e-6,true
