equation,scope,entity,t,residual,unit,tolerance,pass
3-19:20,model,1,3,9.507838960587378e-12,MW,3.0e-6,true
3-37,model,1,3,0.0,K,0.0001,true
3-41,model,1,3,0.0,K,0.0001,true
3-41,model,1,3,0.0,K,0.0001,true
3-24,model,1,3,0.0,kPa,0.001,true
3-41,model,1,3,0.0,K,0.0001,true
3-41,model,1,3,0.0,K,0.0001,true
3-24,model,1,3,0.0,kPa,0.001,true
3-24-order,model,1,3,0.0,normalized,1.0e-6,true
3-21,model,1,4,0.0,kg/s,4.0e-6,true
3-43,model,1,4,0.0,kg/s,4.0e-6,true
3-17,physics,1,4,0.028826143625257317,MW,3.0e-6,false
3-17-original,physics,1,4,0.028826143625257317,MW,3.0e-6,false
3-42,model,1,4,0.0,MW,3.0e-6,true
3-19:20,model,1,4,3.13540859941952e-11,MW,3.0e-6,true
3-37,model,1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-24,model,1,4,0.0,kPa,0.001,true
3-41,model,1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-24,model,1,4,0.0,kPa,0.001,true
3-24-order,model,1,4,0.0,normalized,1.0e-6,true
3-21,model,2,1,3.994582442601313e-13,kg/s,4.0e-6,true
3-43,model,2,1,0.0,kg/s,4.0e-6,true
3-17,physics,2,1,3.6593372776394517e-10,MW,3.0e-6,true
3-17-original,physics,2,1,3.6593372776394517e-10,MW,3.0e-6,true
3-42,model,2,1,0.0,MW,3.0e-6,true
3-19:20,model,2,1,3.3184663350560584e-11,MW,3.0e-6,true
3-37,model,2,1,0.0,K,0.0001,true
3-41,model,2,1,0.0,K,0.0001,true
3-41,model,2,1,0.0,K,0.0001,true
3-24,model,2,1,0.0,kPa,0.001,true
3-41,model,2,1,0.0,K,0.0001,true
3-41,model,2,1,0.0,K,0.0001,true
3-24,model,2,1,0.0,kPa,0.001,true
