record_id,run_id,iteration,source_id,scenario,branch,kind,source_value,guard,lower_cost,deactivation_M,productive,arithmetic,unit,certificate_scope
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,9,r5-benders-sub-b23d94ee-2a3f-40d5-a164-e9a4883e60aa,3,1,cost,29.107445262581106,1.646226874907481e-13,-450.000000081343,575.9867976060575,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,10,r5-benders-sub-71a45226-2c47-4fd5-b8b7-0ad7c7f8faeb,1,0,cost,12.404939690988304,8.611309872663212e-14,-450.00000008135,473.5642642514106,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,10,r5-benders-sub-5c514abb-16ae-4b78-a2db-e4a9b3cc2cfb,2,0,cost,18.21444866058937,1.3427511282150496e-13,-450.000000081336,507.2836236647651,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,10,r5-benders-sub-a1ae9d06-6229-456f-9d3a-f24c475b657a,3,1,cost,16.67307797954447,1.2769570150445392e-13,-450.000000081343,515.4181263335074,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,11,r5-benders-sub-1d16e2fd-96a9-475c-af66-481d9c0322b5,1,0,cost,11.8215289568363,1.6618650899857812e-15,-450.00000008135,473.20000008135,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,11,r5-benders-sub-0116e801-e833-465a-b9a7-57eca90dcb16,3,1,cost,13.995267745128839,8.326672684688674e-16,-450.000000081343,484.290000081343,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,12,r5-benders-sub-8876fccb-886e-4f72-b79b-edbb0811954d,1,0,cost,12.771610644725808,6.995777404269504e-14,-450.00000008135,475.58353178654875,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,12,r5-benders-sub-2ceca8d7-51f5-4d99-9288-a3fa014ace14,2,1,cost,21.03070672728624,1.3361425256609682e-13,-450.000000081336,507.11755959354895,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,12,r5-benders-sub-2b8adc19-aef4-4bf1-b029-3109c23e6bc7,3,0,cost,18.395730565649473,1.9396379137680118e-13,-450.000000081343,513.4641963675851,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,13,r5-benders-sub-1a73490e-82d8-4584-9e0b-b9e7c45663d2,1,0,cost,8.663447942301715,3.4382219293860317e-15,-450.00000008135,482.80000008135,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,13,r5-benders-sub-de684c60-e0f2-408f-8e6d-b160aebcec85,2,1,cost,15.78265009389051,1.3924429624245417e-13,-450.000000081336,506.2671975324174,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,13,r5-benders-sub-cd992954-712c-4c46-9498-de04d3275cfb,3,0,cost,6.3434479423017205,2.8171909249863347e-15,-450.000000081343,480.480000081343,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,14,r5-benders-sub-8e8ef86e-5adc-473c-b46e-e8a07c8e7c2a,1,0,cost,9.243610517048772,5.516420653606247e-16,-450.00000008135,484.00000008135,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,14,r5-benders-sub-7ab00902-70c5-47ab-819c-8add25e19a67,2,0,cost,15.968921626299483,1.3954379422587338e-13,-450.000000081336,508.54553261571226,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,14,r5-benders-sub-e8e0b679-c77f-4fbe-97be-8d4d9874da26,3,1,cost,6.5140434931076605,3.469446951953614e-16,-450.000000081343,487.750000081343,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,15,r5-benders-sub-13fe5cb9-b41c-4f85-ad67-df99d17d2570,1,0,cost,14.297325527433717,1.6618650899857812e-15,-450.00000008135,473.20000008135,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,15,r5-benders-sub-b9788a49-078f-4e98-a993-1c20f68720e4,3,1,cost,12.818299652535892,2.8171909249863347e-15,-450.000000081343,480.480000081343,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,16,r5-benders-sub-06e357fa-166d-4023-80fe-59ae15bdb2a0,1,0,cost,6.614446913066752,1.0996471677734895e-13,-450.00000008135,470.4954181499063,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,16,r5-benders-sub-c4feead7-bc65-452a-8fb9-b6fbc4032a99,3,0,cost,7.601607114015412,1.2772513060506496e-13,-450.000000081343,489.2847258251026,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,17,r5-benders-sub-18033a4b-010b-45a8-99bd-72fc0e826ae3,1,0,cost,10.350308248616347,6.737650551044155e-14,-450.00000008135,474.7835317865488,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,17,r5-benders-sub-d233e85d-ded9-42ca-a399-fbe71868b823,2,1,cost,17.71872355100823,1.7253951579683957e-13,-450.000000081336,506.43246042949096,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,17,r5-benders-sub-918df1fe-e58d-45f7-b65c-7af17784d1e4,3,0,cost,9.580338972191278,1.096345236817342e-15,-450.000000081343,484.430000081343,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,18,r5-benders-sub-fba0ba79-5812-42e9-8c8e-152a23cb0854,3,1,cost,9.350000000000016,2.8171909249863347e-15,-450.000000081343,485.280000081343,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,19,r5-benders-sub-1dd90154-3cbf-4c47-a809-4645f74d7f61,3,0,cost,8.797792958996345,2.8171909249863347e-15,-450.000000081343,485.280000081343,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
future_e030_r005--critical--gurobi--dr0,r5-benders-034f5f1c-880d-4f03-bbce-f450f827bea6,20,r5-benders-sub-8461024b-4c7c-4bce-a603-575ef441a980,3,0,cost,5.3829722594562694,1.096345236817342e-15,-450.000000081343,479.63000008134304,true,rational_box,synthetic_USD,exact_rational_minorant_of_encoded_bounded_LP_outward_float_coefficients
