record_id,run_id,phase,iteration,scenario,group,id,entity,t,residual,tolerance,normalized,pass,unit
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_joint,3,shared,first_stage,PCC/1,"",0,0.0,2.0e-6,0.0,true,MW
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_joint,3,shared,first_stage,P_DA_MW/1,"",0,0.0,2.0e-6,0.0,true,MW
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_joint,3,shared,first_stage,R_down_MW/1,"",0,0.0,2.0e-6,0.0,true,MW
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_joint,3,shared,first_stage,R_up_MW/1,"",0,0.0,2.0e-6,0.0,true,MW
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_joint,3,shared,risk,actual-risk,"",0,4.74279467309549e-13,1.0e-8,4.74279467309549e-5,true,1
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_joint,3,shared,risk,risk-upper,"",0,4.74279467309549e-13,1.0e-8,4.74279467309549e-5,true,1
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_joint,3,shared,risk,selected-risk,"",0,4.74279467309549e-13,1.0e-8,4.74279467309549e-5,true,1
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,3,down,auxiliary,5-3-exact,PCC,1,1.3877787807814457e-17,2.0e-6,6.938893903907228e-12,true,MW
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,3,down,comfort,5-28,building,1,0.0,0.0001,0.0,true,K
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,3,down,comfort,R5-D-building,building,1,0.0,0.0001,0.0,true,K
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,3,down,comfort,building-energy,building,1,1.1102230246251565e-16,2.0e-6,5.551115123125783e-11,true,MWh
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,3,down,comfort,terminal,building,1,0.0,0.0001,0.0,true,K
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,3,down,cost,5-5-cost,total,0,1.4654943925052066e-14,1.2399999999999856e-6,1.1818503165364707e-8,true,USD
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,3,down,delivery,5-3-epigraph,PCC,1,1.3877787807814457e-17,2.0e-6,6.938893903907228e-12,true,MW
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,3,down,delivery,5-4,window,0,0.0,2.0e-6,0.0,true,MWh
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,3,down,delivery,R5-D-delivery,PCC,1,1.3877787807814457e-17,2.0e-6,6.938893903907228e-12,true,MW
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,3,down,electric,5-10,GT,1,0.0,2.0e-6,0.0,true,MW
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,3,down,electric,5-14,1,1,0.0,2.0e-6,0.0,true,MW
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,3,down,electric,5-14,2,1,2.7755575615628914e-17,2.0e-6,1.3877787807814457e-11,true,MW
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,3,down,electric,5-15,1,1,0.0,2.0e-6,0.0,true,Mvar
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,3,down,electric,5-15,2,1,0.0,2.0e-6,0.0,true,Mvar
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,3,down,electric,5-16,e12,1,3.447762908503904e-17,1.0e-6,3.447762908503904e-11,true,pu
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,3,down,electric,5-17,1,1,0.0,1.0e-6,0.0,true,pu
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,3,down,electric,5-17,2,1,0.0,1.0e-6,0.0,true,pu
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,3,down,electric,5-31,building,1,0.0,2.0e-6,0.0,true,MW
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,3,down,electric,5-9-P,EB,1,0.0,2.0e-6,0.0,true,MW
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,3,down,electric,5-9-P,GT,1,0.0,2.0e-6,0.0,true,MW
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,3,down,electric,5-9-Q,EB,1,0.0,2.0e-6,0.0,true,Mvar
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,3,down,electric,5-9-Q,GT,1,0.0,2.0e-6,0.0,true,Mvar
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,3,down,electric,P-line-bound,e12,1,0.0,2.0e-6,0.0,true,MW
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,3,down,electric,PCC-bound,PCC,1,0.0,2.0e-6,0.0,true,MW
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,3,down,electric,Q-line-bound,e12,1,0.0,2.0e-6,0.0,true,Mvar
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,3,down,electric,QCC-bound,PCC,1,0.0,2.0e-6,0.0,true,Mvar
hard_zero--critical--gurobi--dr0,r5-benders-088f6ff8-ff71-4a86-a062-c822f9e6f766,candidate_physical,3,down,electric,root-voltage,1,1,0.0,1.0e-6,0.0,true,pu
