accepted_updates,algorithm,boundary,case_group,core_cost,core_periods,core_sha256,cost_optimization_complete,elapsed_sec,epsilon_0.0001_first_update,epsilon_0.01_first_update,epsilon_1.0e-6_first_update,first_feasible_iteration,geometry,group,id,initial_diagnostic,initial_displacement,initial_flow_sha256,initial_label,initial_model_pass,input_sha256,iterations,method,model_cost,outer_converged,outer_status,periods,physical_cost,physical_pass,run_id,selected_stage,strict_redispatch_success,tail_cost,terminal_required
7,r3_paper_structure_v1,original,single-source,77.99109722424805,4,465d414dca7b6ee533c04187bf2869195483db71c3ae7c3afeaea3860379c735,false,2.4578249000187498,-1,-1,-1,1,physical_euclidean,step,single-source-schpd-step100,0.0021278183145210477,1.0,606a2ee87c1656b559b9e3e2170ddbb74c60a5032772579cf78b7dfd8b66d430,schpd,false,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,8,baseline,77.99109722424805,false,line_search_stalled,4,77.99109722424805,true,single-source-schpd-step100,122,true,0.0,false
2,r3_paper_structure_v1,original,two-source,179.4094280900252,4,c6211d121c90a0d89221e2be9cf83b2842ee04116b8d4d5d76e78b9d001dd45b,false,0.9220821000053547,-1,-1,-1,1,physical_euclidean,initialization,two-source-schpd-physical,0.007753055026080744,0.1,4fa9df0f03d5e576a005a793c75398a92afce5e11364ed52914b2a86be10427c,schpd,false,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,3,baseline,179.4094280900252,false,line_search_stalled,4,179.4094280900252,true,two-source-schpd-physical,8,true,0.0,false
2,r3_paper_structure_v1,original,two-source,180.0356520558546,4,c6211d121c90a0d89221e2be9cf83b2842ee04116b8d4d5d76e78b9d001dd45b,false,0.8022825999942143,-1,-1,-1,1,normalized_euclidean,initialization,two-source-schpd-normalized,0.007753055026080744,0.1,4fa9df0f03d5e576a005a793c75398a92afce5e11364ed52914b2a86be10427c,schpd,false,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,3,baseline,180.0356520558546,false,line_search_stalled,4,180.0356520558546,true,two-source-schpd-normalized,8,true,0.0,false
7,r3_paper_structure_v1,original,two-source,180.1229248285656,4,c6211d121c90a0d89221e2be9cf83b2842ee04116b8d4d5d76e78b9d001dd45b,true,3.5666171000048053,-1,5,-1,0,physical_euclidean,initialization,two-source-case_fixed-physical,NaN,0.1,bb1eec4ae015180a027e8af6e6cf0979150a04aa18c836f2875334ff869f9bf7,case_fixed,true,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,8,baseline,180.122924828581,false,line_search_stalled,4,180.1229248285656,true,two-source-case_fixed-physical,149,true,0.0,false
6,r3_paper_structure_v1,original,two-source,180.22756725963177,4,c6211d121c90a0d89221e2be9cf83b2842ee04116b8d4d5d76e78b9d001dd45b,false,3.116396400000667,-1,5,-1,0,normalized_euclidean,initialization,two-source-case_fixed-normalized,NaN,0.1,bb1eec4ae015180a027e8af6e6cf0979150a04aa18c836f2875334ff869f9bf7,case_fixed,true,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,7,baseline,180.22756725963177,false,line_search_stalled,4,180.22756725963177,true,two-source-case_fixed-normalized,96,true,0.0,false
6,r3_paper_structure_v1,original,two-source,183.19062309913284,4,c6211d121c90a0d89221e2be9cf83b2842ee04116b8d4d5d76e78b9d001dd45b,false,3.0202650999999605,-1,6,-1,1,physical_euclidean,initialization,two-source-box25-physical,0.05451826995477988,0.1,f6841d1ad487eb4eaadb58e5d347cc04008261d07cdc8c6df105948c7874e4e8,box25,false,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,7,baseline,183.19062309913284,false,line_search_stalled,4,183.19062309913284,true,two-source-box25-physical,96,true,0.0,false
6,r3_paper_structure_v1,original,two-source,183.1942052448302,4,c6211d121c90a0d89221e2be9cf83b2842ee04116b8d4d5d76e78b9d001dd45b,false,2.9734508999972604,-1,6,-1,1,normalized_euclidean,initialization,two-source-box25-normalized,0.05451826995477988,0.1,f6841d1ad487eb4eaadb58e5d347cc04008261d07cdc8c6df105948c7874e4e8,box25,false,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,7,baseline,183.1942052448302,false,line_search_stalled,4,183.1942052448302,true,two-source-box25-normalized,96,true,0.0,false
7,r3_paper_structure_v1,original,two-source,180.12292488433872,4,c6211d121c90a0d89221e2be9cf83b2842ee04116b8d4d5d76e78b9d001dd45b,true,3.6206732999999076,-1,5,-1,0,physical_euclidean,initialization,two-source-box50-physical,NaN,0.1,caf1b83c30d4087e2e638dc545e2ef52fe39c74920ad777098e55ec0133dd896,box50,true,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,8,baseline,180.12292488465545,false,line_search_stalled,4,180.12292488433872,true,two-source-box50-physical,149,true,0.0,false
6,r3_paper_structure_v1,original,two-source,180.22756731487175,4,c6211d121c90a0d89221e2be9cf83b2842ee04116b8d4d5d76e78b9d001dd45b,false,3.0833989000238944,-1,5,-1,0,normalized_euclidean,initialization,two-source-box50-normalized,NaN,0.1,caf1b83c30d4087e2e638dc545e2ef52fe39c74920ad777098e55ec0133dd896,box50,true,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,7,baseline,180.22756731487175,false,line_search_stalled,4,180.22756731487175,true,two-source-box50-normalized,96,true,0.0,false
8,r3_paper_structure_v1,original,two-source,186.22759401005044,4,c6211d121c90a0d89221e2be9cf83b2842ee04116b8d4d5d76e78b9d001dd45b,false,2.9914379000256304,-1,7,-1,2,physical_euclidean,initialization,two-source-box75-physical,0.0332634166534314,0.1,f327ba50caa05ea61fa6e71a1bee5c554634ba7a9db4da2c15a601c3ace32950,box75,false,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,9,baseline,186.22759401005044,false,untrusted_sensitivity,4,186.22759401005044,true,two-source-box75-physical,112,true,0.0,false
8,r3_paper_structure_v1,original,two-source,186.23784827883344,4,c6211d121c90a0d89221e2be9cf83b2842ee04116b8d4d5d76e78b9d001dd45b,false,3.5095603999798186,-1,7,-1,2,normalized_euclidean,initialization,two-source-box75-normalized,0.0332634166534314,0.1,f327ba50caa05ea61fa6e71a1bee5c554634ba7a9db4da2c15a601c3ace32950,box75,false,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,9,baseline,186.23784827883344,false,line_search_stalled,4,186.23784827883344,true,two-source-box75-normalized,114,true,0.0,false
1,r3_paper_structure_v1,legacy_tail,two-source,NaN,4,dbf4eab56cd6f6aae67b1fa579104e37092eabc77621df9e3bf7c66de47cd415,false,2.1473356000205968,-1,-1,-1,-1,physical_euclidean,boundary,two-source-legacy_tail-physical,0.0012767299145820547,0.1,27c97ad5b12a5fbb2856ce86c3fe1d99a855f3137673fe8a47bd0cdc57fcfcb3,historical-VF_CT,false,a31cb0ad4684049b587f1358ff4921299dd148344353c871305e1d3e9b43e186,2,baseline,NaN,false,line_search_stalled,14,NaN,false,two-source-legacy_tail-physical,0,false,NaN,true
1,r3_paper_structure_v1,legacy_tail,two-source,NaN,4,dbf4eab56cd6f6aae67b1fa579104e37092eabc77621df9e3bf7c66de47cd415,false,2.334984400018584,-1,-1,-1,-1,normalized_euclidean,boundary,two-source-legacy_tail-normalized,0.0012767299145820547,0.1,27c97ad5b12a5fbb2856ce86c3fe1d99a855f3137673fe8a47bd0cdc57fcfcb3,historical-VF_CT,false,a31cb0ad4684049b587f1358ff4921299dd148344353c871305e1d3e9b43e186,2,baseline,NaN,false,line_search_stalled,14,NaN,false,two-source-legacy_tail-normalized,0,false,NaN,true
0,r3_cost_reference_v1,legacy_tail,two-source,66.27247902212137,4,dbf4eab56cd6f6aae67b1fa579104e37092eabc77621df9e3bf7c66de47cd415,true,10.735843400005251,-1,-1,-1,-1,reference,reference,two-source-legacy_tail-reference,NaN,NaN,not_applicable,none,false,a31cb0ad4684049b587f1358ff4921299dd148344353c871305e1d3e9b43e186,0,reference,NaN,false,not_applicable_direct_reference,14,455.1820048578451,true,two-source-legacy_tail-reference,1,true,388.9095258357238,true
2,r3_paper_structure_v1,bounded_return_tail,two-source,67.23872158767215,4,dbf4eab56cd6f6aae67b1fa579104e37092eabc77621df9e3bf7c66de47cd415,true,2.0331761999987066,-1,-1,-1,1,physical_euclidean,boundary,two-source-bounded_return_tail-physical,0.0011302592108561795,0.1,27c97ad5b12a5fbb2856ce86c3fe1d99a855f3137673fe8a47bd0cdc57fcfcb3,historical-VF_CT,false,a31cb0ad4684049b587f1358ff4921299dd148344353c871305e1d3e9b43e186,3,baseline,456.1556674830411,false,line_search_stalled,14,456.1556666641667,true,two-source-bounded_return_tail-physical,36,true,388.9169450764946,true
2,r3_paper_structure_v1,bounded_return_tail,two-source,67.39205658039847,4,dbf4eab56cd6f6aae67b1fa579104e37092eabc77621df9e3bf7c66de47cd415,true,2.0566363999969326,-1,-1,-1,1,normalized_euclidean,boundary,two-source-bounded_return_tail-normalized,0.0011302592108561795,0.1,27c97ad5b12a5fbb2856ce86c3fe1d99a855f3137673fe8a47bd0cdc57fcfcb3,historical-VF_CT,false,a31cb0ad4684049b587f1358ff4921299dd148344353c871305e1d3e9b43e186,3,baseline,456.32475614697097,false,line_search_stalled,14,456.32475523137447,true,two-source-bounded_return_tail-normalized,36,true,388.932698650976,true
0,r3_cost_reference_v1,bounded_return_tail,two-source,65.87441581320566,4,dbf4eab56cd6f6aae67b1fa579104e37092eabc77621df9e3bf7c66de47cd415,true,57.70796759999939,-1,-1,-1,-1,reference,reference,two-source-bounded_return_tail-reference,NaN,NaN,not_applicable,none,false,a31cb0ad4684049b587f1358ff4921299dd148344353c871305e1d3e9b43e186,0,reference,NaN,false,not_applicable_direct_reference,14,454.6382016537924,true,two-source-bounded_return_tail-reference,1,true,388.7637858405868,true
2,r3_paper_structure_v1,core_only,two-source,67.1191028829449,4,dbf4eab56cd6f6aae67b1fa579104e37092eabc77621df9e3bf7c66de47cd415,false,0.8166612999921199,-1,-1,-1,1,physical_euclidean,boundary,two-source-core_only-physical,0.0011302592022971781,0.1,3b29e6595314143a3eb5e0bb4f809efc99e488b6934670f8dc24359d28c7b57e,historical-VF_CT,false,dff2a67b939c460b4d677519715a3d0b5b6ee7e228022ff7eaaf831881290feb,3,baseline,67.1191028829449,false,line_search_stalled,4,67.1191028829449,true,two-source-core_only-physical,8,true,0.0,false
2,r3_paper_structure_v1,core_only,two-source,67.27249876548973,4,dbf4eab56cd6f6aae67b1fa579104e37092eabc77621df9e3bf7c66de47cd415,true,0.9074652000272181,-1,-1,-1,1,normalized_euclidean,boundary,two-source-core_only-normalized,0.0011302592022971781,0.1,3b29e6595314143a3eb5e0bb4f809efc99e488b6934670f8dc24359d28c7b57e,historical-VF_CT,false,dff2a67b939c460b4d677519715a3d0b5b6ee7e228022ff7eaaf831881290feb,3,baseline,67.27249885549818,false,line_search_stalled,4,67.27249876548973,true,two-source-core_only-normalized,36,true,0.0,false
0,r3_cost_reference_v1,core_only,two-source,65.78852553944331,4,dbf4eab56cd6f6aae67b1fa579104e37092eabc77621df9e3bf7c66de47cd415,true,111.32267320001847,-1,-1,-1,-1,reference,reference,two-source-core_only-reference,NaN,NaN,not_applicable,none,false,dff2a67b939c460b4d677519715a3d0b5b6ee7e228022ff7eaaf831881290feb,0,reference,NaN,false,not_applicable_direct_reference,4,65.78852553944331,true,two-source-core_only-reference,1,true,0.0,false
12,r3_paper_structure_v1,original,two-source,181.2399792522778,4,c6211d121c90a0d89221e2be9cf83b2842ee04116b8d4d5d76e78b9d001dd45b,false,1.8124855000060052,-1,-1,-1,3,physical_euclidean,step,two-source-schpd-step001,0.007753055026080744,0.01,4fa9df0f03d5e576a005a793c75398a92afce5e11364ed52914b2a86be10427c,schpd,false,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,13,baseline,181.2399792522778,false,line_search_stalled,4,181.2399792522778,true,two-source-schpd-step001,48,true,0.0,false
2,r3_paper_structure_v1,original,two-source,179.98667355613685,4,c6211d121c90a0d89221e2be9cf83b2842ee04116b8d4d5d76e78b9d001dd45b,false,1.0226580000016838,-1,-1,-1,2,physical_euclidean,step,two-source-schpd-step100,0.007753055026080744,1.0,4fa9df0f03d5e576a005a793c75398a92afce5e11364ed52914b2a86be10427c,schpd,false,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,3,baseline,179.98667355613685,false,line_search_stalled,4,179.98667355613685,true,two-source-schpd-step100,18,true,0.0,false
