cost,iteration,local_direction_norm,local_kkt_reason,local_kkt_trusted,local_status,local_trust_binding,mode,old_local_stop,old_pg_stop,original_outer_status,predicted_improvement,projected_gradient_norm,small_accepted_after,small_accepted_before,smooth,trusted_sensitivity
,85,0.0047145505904762075,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.404392345481782e-7,0.0012057085760862618,0,0,true,true
,86,0.004686900556323925,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.418949395793588e-7,0.0012034320090524853,0,0,true,true
,87,0.004657690493737654,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.431000574559497e-7,0.0012011237654170337,0,0,true,true
,88,0.00462696705394916,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.440534632947206e-7,0.0011987867441469735,0,0,true,true
,89,0.004594783732761787,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.447551569005897e-7,0.0011964232242538397,0,0,true,true
,90,0.004561198831618984,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.452060634554783e-7,0.00119403596624168,0,0,true,true
,91,0.004526275381454559,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.454080315657577e-7,0.0011916267682064996,0,0,true,true
,92,0.004490080645489725,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.453638158175142e-7,0.0011891978859012164,0,0,true,true
,93,0.004452685632214015,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.450770679892497e-7,0.0011867508736005394,0,0,true,true
,94,0.004414164472562376,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.445281274494734e-7,0.0011835715624300969,0,0,true,true
,95,0.004374593920218217,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.437708683036218e-7,0.0011811027920793915,0,0,true,true
,96,0.004334052740827543,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.427865897831103e-7,0.0011786131921530663,0,0,true,true
,97,0.004292621137490293,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.415819344888064e-7,0.001176103866100453,0,0,true,true
,98,0.004250380217314831,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.401642248158588e-7,0.001173577559728023,0,0,true,true
,99,0.004207411384206328,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.38541178633966e-7,0.0011710335558231533,0,0,true,true
,100,0.004163795867653253,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.367211687832487e-7,0.001168476422578335,0,0,true,true
,101,0.004119614114649117,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.347127707277559e-7,0.001165903997476736,0,0,true,true
,102,0.004074945401618901,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.325250143029148e-7,0.0011633236723171958,0,0,true,true
,103,0.004029867195213477,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.301670601398077e-7,0.001160735262014878,0,0,true,true
,104,0.003984454635457713,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.276482712590913e-7,0.0011581436079242113,0,0,true,true
,105,0.003938780995559998,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.249781802997006e-7,0.0011555542194454649,0,0,true,true
,106,0.00389291634056943,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.221503826552947e-7,0.001152651677768679,0,0,true,true
,107,0.0038469274689736377,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.19208605798363e-7,0.0011501418537775976,0,0,true,true
,108,0.003800877528883806,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.161442420433097e-7,0.0011476728942003689,0,0,true,true
,109,0.0037548256422279547,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.129664290861924e-7,0.0011452621607213054,0,0,true,true
,110,0.003708826415946387,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.096839807908274e-7,0.0011429326755261204,0,0,true,true
,111,0.003662929499373302,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.062981178555637e-7,0.0011404499433300685,0,0,true,true
,112,0.0036171794688393266,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,6.028397261875702e-7,0.0011388015435846999,0,0,true,true
,113,0.0035716171033701727,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,5.99287123296561e-7,0.0011367060768890935,0,0,true,true
,114,0.003526292425420463,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,5.95661058103466e-7,0.0011347739360131337,0,0,true,true
,115,0.0034813438429444066,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,5.919840185999643e-7,0.001132960663687177,0,0,true,true
,116,0.0034376429285694066,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,5.882810254106187e-7,0.001130504124310483,0,0,true,true
,117,,,,,,diagnostic,false,false,untrusted_dual_local_stalled,,0.0011282023927734475,0,0,true,true
,118,,,,,,diagnostic,false,false,untrusted_dual_local_stalled,,0.00024439185453895007,0,0,true,true
,119,0.003409439207818332,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,5.778515345917209e-7,0.000556533497450773,0,0,true,true
,120,0.0033517390353823284,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,5.812065018480826e-7,0.0011258061928078877,0,0,true,true
,121,0.003308696535102129,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,5.773566950724449e-7,0.0011233500429319587,0,0,true,true
,122,0.0032660438440013095,checked,true,local_checked,false,diagnostic,false,false,untrusted_dual_local_stalled,5.734828225176759e-7,0.0011207592543155398,0,0,true,true
457.90286018018503,123,0.024999999797454153,not_recorded,false,local_unresolved,true,dispatch,false,false,untrusted_dual_local_stalled,,,0,0,false,false
