run_id,trial,update,accepted,physical_pass,equation,scope,entity,t,residual,unit,tolerance,pass
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-19:20,model,1,1,0.0,MW,3.0e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-37,model,1,1,0.0,K,0.0001,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-41,model,1,1,0.0,K,0.0001,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-41,model,1,1,0.0,K,0.0001,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-24,model,1,1,0.0,kPa,0.001,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-41,model,1,1,0.0,K,0.0001,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-41,model,1,1,0.0,K,0.0001,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-24,model,1,1,0.0,kPa,0.001,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-24-order,model,1,1,0.0,normalized,1.0e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-21,model,1,2,1.1102230246251565e-16,kg/s,2.4999999999999998e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-43,model,1,2,0.0,kg/s,2.4999999999999998e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-17,model,1,2,1.624031642777357e-7,MW,3.0e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-17-original,physics,1,2,1.624031642777357e-7,MW,3.0e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-19:20,model,1,2,2.7755575615628914e-17,MW,3.0e-6,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-37,model,1,2,0.0,K,0.0001,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-41,model,1,2,0.0,K,0.0001,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-41,model,1,2,0.0,K,0.0001,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-24,model,1,2,0.0,kPa,0.001,true
r3-v3-20260917T115348-b8a7a604/single-loose-electric,1,1,true,false,3-41,model,1,2,0.0,K,0.0001,true
