run_id,policy,actor,utility,system_cost,cash_balance
heat_bottleneck--central_socp,alternative,DSO,146.28594465608404,166.97439778132238,8.526512829121202e-14
heat_bottleneck--central_socp,alternative,A,-62.669392156584344,166.97439778132238,8.526512829121202e-14
heat_bottleneck--central_socp,alternative,B,-250.590950280822,166.97439778132238,8.526512829121202e-14
heat_bottleneck--central_socp,no_p2p,DSO,224.85006590208357,166.97439778132238,0.0
heat_bottleneck--central_socp,no_p2p,A,-109.17508915497565,166.97439778132238,0.0
heat_bottleneck--central_socp,no_p2p,B,-282.6493745284303,166.97439778132238,0.0
heat_bottleneck--central_exact,teaching,DSO,146.2846524375805,166.9743409109513,2.842170943040401e-14
heat_bottleneck--central_exact,teaching,A,-71.49579516268332,166.9743409109513,2.842170943040401e-14
heat_bottleneck--central_exact,teaching,B,-241.76319818584847,166.9743409109513,2.842170943040401e-14
heat_bottleneck--central_exact,alternative,DSO,146.2846524375805,166.9743409109513,2.842170943040401e-14
heat_bottleneck--central_exact,alternative,A,-62.66935832204519,166.9743409109513,2.842170943040401e-14
heat_bottleneck--central_exact,alternative,B,-250.58963502648658,166.9743409109513,2.842170943040401e-14
heat_bottleneck--central_exact,no_p2p,DSO,224.84765626284522,166.9743409109513,5.684341886080802e-14
heat_bottleneck--central_exact,no_p2p,A,-109.17439891363176,166.9743409109513,5.684341886080802e-14
heat_bottleneck--central_exact,no_p2p,B,-282.6475982601647,166.9743409109513,5.684341886080802e-14
no_p2p--central_socp,teaching,DSO,247.8848999303001,165.04933316162712,0.0
no_p2p--central_socp,teaching,A,-111.43988932614332,165.04933316162712,0.0
no_p2p--central_socp,teaching,B,-301.4943437657839,165.04933316162712,0.0
no_p2p--central_socp,alternative,DSO,247.8848999303001,165.04933316162712,0.0
no_p2p--central_socp,alternative,A,-111.43988932614332,165.04933316162712,0.0
no_p2p--central_socp,alternative,B,-301.4943437657839,165.04933316162712,0.0
no_p2p--central_socp,no_p2p,DSO,247.8848999303001,165.04933316162712,0.0
no_p2p--central_socp,no_p2p,A,-111.43988932614332,165.04933316162712,0.0
no_p2p--central_socp,no_p2p,B,-301.4943437657839,165.04933316162712,0.0
no_p2p--central_exact,teaching,DSO,247.88540774331278,165.04932978588795,0.0
no_p2p--central_exact,teaching,A,-111.44025216272067,165.04932978588795,0.0
no_p2p--central_exact,teaching,B,-301.4944853664801,165.04932978588795,0.0
no_p2p--central_exact,alternative,DSO,247.88540774331278,165.04932978588795,0.0
no_p2p--central_exact,alternative,A,-111.44025216272067,165.04932978588795,0.0
no_p2p--central_exact,alternative,B,-301.4944853664801,165.04932978588795,0.0
no_p2p--central_exact,no_p2p,DSO,247.88540774331278,165.04932978588795,0.0
no_p2p--central_exact,no_p2p,A,-111.44025216272067,165.04932978588795,0.0
no_p2p--central_exact,no_p2p,B,-301.4944853664801,165.04932978588795,0.0
fixed_load--central_socp,teaching,DSO,150.51524675820357,145.38165307527834,-5.684341886080802e-14
fixed_load--central_socp,teaching,A,-55.26312545983067,145.38165307527834,-5.684341886080802e-14
fixed_load--central_socp,teaching,B,-240.63377437365128,145.38165307527834,-5.684341886080802e-14
fixed_load--central_socp,alternative,DSO,150.51524675820357,145.38165307527834,-8.526512829121202e-14
fixed_load--central_socp,alternative,A,-44.94347649125742,145.38165307527834,-8.526512829121202e-14
fixed_load--central_socp,alternative,B,-250.95342334222454,145.38165307527834,-8.526512829121202e-14
fixed_load--central_socp,no_p2p,DSO,244.44988149631118,145.38165307527834,-5.684341886080802e-14
fixed_load--central_socp,no_p2p,A,-100.3016181762276,145.38165307527834,-5.684341886080802e-14
fixed_load--central_socp,no_p2p,B,-289.52991639536197,145.38165307527834,-5.684341886080802e-14
fixed_load--central_exact,teaching,DSO,150.51459505771024,145.38161770327315,0.0
fixed_load--central_exact,teaching,A,-55.263346967109776,145.38161770327315,0.0
fixed_load--central_exact,teaching,B,-240.63286579387363,145.38161770327315,0.0
fixed_load--central_exact,alternative,DSO,150.51459505771024,145.38161770327315,0.0
fixed_load--central_exact,alternative,A,-44.943729137642165,145.38161770327315,0.0
fixed_load--central_exact,alternative,B,-250.95248362334124,145.38161770327315,0.0
fixed_load--central_exact,no_p2p,DSO,244.44875912548034,145.38161770327315,5.684341886080802e-14
fixed_load--central_exact,no_p2p,A,-100.30161509549913,145.38161770327315,5.684341886080802e-14
fixed_load--central_exact,no_p2p,B,-289.5287617332543,145.38161770327315,5.684341886080802e-14
base--clarabel_enumeration,teaching,DSO,158.99819327075704,165.04932979908904,2.842170943040401e-14
base--clarabel_enumeration,teaching,A,-68.82398320703672,165.04932979908904,2.842170943040401e-14
base--clarabel_enumeration,teaching,B,-255.22353986280933,165.04932979908904,2.842170943040401e-14
base--clarabel_enumeration,alternative,DSO,158.99819327075704,165.04932979908904,-2.842170943040401e-14
base--clarabel_enumeration,alternative,A,-59.09978924681947,165.04932979908904,-2.842170943040401e-14
base--clarabel_enumeration,alternative,B,-264.9477338230266,165.04932979908904,-2.842170943040401e-14
base--clarabel_enumeration,no_p2p,DSO,247.8854042423731,165.04932979908904,0.0
base--clarabel_enumeration,no_p2p,A,-111.44025124412946,165.04932979908904,0.0
base--clarabel_enumeration,no_p2p,B,-301.4944827973327,165.04932979908904,0.0
