run_id,equation,scope,entity,t,residual,tolerance,unit,pass
base--central_socp,R4-P2,model,3,4,0.0,1.2e-6,MWh,true
base--central_socp,energy,model,3,1,0.0,1.2e-6,MWh,true
base--central_socp,energy,model,3,2,0.0,1.2e-6,MWh,true
base--central_socp,energy,model,3,3,0.0,1.2e-6,MWh,true
base--central_socp,energy,model,3,4,0.0,1.2e-6,MWh,true
base--central_socp,energy,model,3,5,0.0,1.2e-6,MWh,true
base--central_socp,initial,model,3,0,0.0,1.2e-6,MWh,true
base--central_socp,terminal,model,3,4,0.0,1.2e-6,MWh,true
base--central_socp,grid,model,1,1,0.0,3.0e-6,MW,true
base--central_socp,reactive_grid,model,1,1,0.0,3.0e-6,Mvar,true
base--central_socp,root_voltage,model,1,1,0.0,1.0e-6,pu²,true
base--central_socp,P_branch,model,1,1,0.0,3.0e-6,MW,true
base--central_socp,Q_branch,model,1,1,0.0,3.0e-6,Mvar,true
base--central_socp,ell,model,1,1,0.0,1.0e-6,pu²,true
base--central_socp,voltage_drop,model,1,1,2.3689001335622933e-12,1.0e-6,pu²,true
base--central_socp,branch_socp,model,1,1,0.0,1.0e-6,pu⁴,true
base--central_socp,branch_equality,electric_original,1,1,2.4306769028092923e-7,1.0e-6,pu⁴,true
base--central_socp,P_branch,model,2,1,0.0,3.0e-6,MW,true
base--central_socp,Q_branch,model,2,1,0.0,3.0e-6,Mvar,true
base--central_socp,ell,model,2,1,0.0,1.0e-6,pu²,true
base--central_socp,voltage_drop,model,2,1,3.617338904544215e-17,1.0e-6,pu²,true
base--central_socp,branch_socp,model,2,1,0.0,1.0e-6,pu⁴,true
base--central_socp,branch_equality,electric_original,2,1,1.0921204150922403e-7,1.0e-6,pu⁴,true
base--central_socp,voltage,model,1,1,0.0,1.0e-6,pu²,true
base--central_socp,electric_balance,model,1,1,0.0,3.0e-6,MW,true
base--central_socp,reactive_balance,model,1,1,0.0,3.0e-6,Mvar,true
base--central_socp,mass_balance,heat,1,1,0.0,1.1e-5,kg/s,true
base--central_socp,heat_balance,heat,1,1,0.0,3.0e-6,MW,true
base--central_socp,port_mass,heat,1,1,0.0,1.1e-5,kg/s,true
base--central_socp,port_heat,heat,1,1,0.0,3.0e-6,MW,true
base--central_socp,port_mass,heat,1,1,0.0,1.1e-5,kg/s,true
base--central_socp,port_heat,heat,1,1,0.0,3.0e-6,MW,true
base--central_socp,voltage,model,2,1,0.0,1.0e-6,pu²,true
base--central_socp,electric_balance,model,2,1,2.9885538488372276e-12,3.0e-6,MW,true
base--central_socp,reactive_balance,model,2,1,2.7602919949742954e-14,3.0e-6,Mvar,true
base--central_socp,mass_balance,heat,2,1,0.0,1.1e-5,kg/s,true
base--central_socp,heat_balance,heat,2,1,2.358585549089298e-12,3.0e-6,MW,true
base--central_socp,port_mass,heat,2,1,0.0,1.1e-5,kg/s,true
base--central_socp,port_heat,heat,2,1,0.0,3.0e-6,MW,true
base--central_socp,port_mass,heat,2,1,0.0,1.1e-5,kg/s,true
base--central_socp,port_heat,heat,2,1,0.0,3.0e-6,MW,true
base--central_socp,voltage,model,3,1,0.0,1.0e-6,pu²,true
base--central_socp,electric_balance,model,3,1,6.389333506717776e-14,3.0e-6,MW,true
base--central_socp,reactive_balance,model,3,1,3.176625629208729e-14,3.0e-6,Mvar,true
base--central_socp,mass_balance,heat,3,1,0.0,1.1e-5,kg/s,true
base--central_socp,heat_balance,heat,3,1,0.0,3.0e-6,MW,true
base--central_socp,port_mass,heat,3,1,0.0,1.1e-5,kg/s,true
base--central_socp,port_heat,heat,3,1,0.0,3.0e-6,MW,true
base--central_socp,port_mass,heat,3,1,0.0,1.1e-5,kg/s,true
