method,side,edge,from,to,t,on,action,initial
equipment-fixed-central-socp,electric,8,1,7,23,1.0,0.0,1
equipment-fixed-central-socp,electric,8,1,7,24,1.0,0.0,1
equipment-fixed-central-socp,electric,9,7,8,1,1.0,0.0,1
equipment-fixed-central-socp,electric,9,7,8,2,1.0,0.0,1
equipment-fixed-central-socp,electric,9,7,8,3,1.0,0.0,1
equipment-fixed-central-socp,electric,9,7,8,4,1.0,0.0,1
equipment-fixed-central-socp,electric,9,7,8,5,1.0,0.0,1
equipment-fixed-central-socp,electric,9,7,8,6,1.0,0.0,1
equipment-fixed-central-socp,electric,9,7,8,7,1.0,0.0,1
equipment-fixed-central-socp,electric,9,7,8,8,1.0,0.0,1
equipment-fixed-central-socp,electric,9,7,8,9,1.0,0.0,1
equipment-fixed-central-socp,electric,9,7,8,10,1.0,0.0,1
equipment-fixed-central-socp,electric,9,7,8,11,1.0,0.0,1
equipment-fixed-central-socp,electric,9,7,8,12,1.0,0.0,1
equipment-fixed-central-socp,electric,9,7,8,13,1.0,0.0,1
equipment-fixed-central-socp,electric,9,7,8,14,1.0,0.0,1
equipment-fixed-central-socp,electric,9,7,8,15,1.0,0.0,1
equipment-fixed-central-socp,electric,9,7,8,16,1.0,0.0,1
equipment-fixed-central-socp,electric,9,7,8,17,1.0,0.0,1
equipment-fixed-central-socp,electric,9,7,8,18,1.0,0.0,1
equipment-fixed-central-socp,electric,9,7,8,19,1.0,0.0,1
equipment-fixed-central-socp,electric,9,7,8,20,1.0,0.0,1
equipment-fixed-central-socp,electric,9,7,8,21,1.0,0.0,1
equipment-fixed-central-socp,electric,9,7,8,22,1.0,0.0,1
equipment-fixed-central-socp,electric,9,7,8,23,1.0,0.0,1
equipment-fixed-central-socp,electric,9,7,8,24,1.0,0.0,1
equipment-fixed-central-socp,electric,10,8,9,1,1.0,0.0,1
equipment-fixed-central-socp,electric,10,8,9,2,1.0,0.0,1
equipment-fixed-central-socp,electric,10,8,9,3,1.0,0.0,1
equipment-fixed-central-socp,electric,10,8,9,4,1.0,0.0,1
equipment-fixed-central-socp,electric,10,8,9,5,1.0,0.0,1
equipment-fixed-central-socp,electric,10,8,9,6,1.0,0.0,1
equipment-fixed-central-socp,electric,10,8,9,7,1.0,0.0,1
equipment-fixed-central-socp,electric,10,8,9,8,1.0,0.0,1
equipment-fixed-central-socp,electric,10,8,9,9,1.0,0.0,1
equipment-fixed-central-socp,electric,10,8,9,10,1.0,0.0,1
equipment-fixed-central-socp,electric,10,8,9,11,1.0,0.0,1
equipment-fixed-central-socp,electric,10,8,9,12,1.0,0.0,1
equipment-fixed-central-socp,electric,10,8,9,13,1.0,0.0,1
equipment-fixed-central-socp,electric,10,8,9,14,1.0,0.0,1
equipment-fixed-central-socp,electric,10,8,9,15,1.0,0.0,1
equipment-fixed-central-socp,electric,10,8,9,16,1.0,0.0,1
equipment-fixed-central-socp,electric,10,8,9,17,1.0,0.0,1
equipment-fixed-central-socp,electric,10,8,9,18,1.0,0.0,1
equipment-fixed-central-socp,electric,10,8,9,19,1.0,0.0,1
equipment-fixed-central-socp,electric,10,8,9,20,1.0,0.0,1
equipment-fixed-central-socp,electric,10,8,9,21,1.0,0.0,1
equipment-fixed-central-socp,electric,10,8,9,22,1.0,0.0,1
equipment-fixed-central-socp,electric,10,8,9,23,1.0,0.0,1
equipment-fixed-central-socp,electric,10,8,9,24,1.0,0.0,1
equipment-fixed-central-socp,electric,11,9,12,1,1.0,0.0,1
equipment-fixed-central-socp,electric,11,9,12,2,1.0,0.0,1
equipment-fixed-central-socp,electric,11,9,12,3,1.0,0.0,1
equipment-fixed-central-socp,electric,11,9,12,4,1.0,0.0,1
equipment-fixed-central-socp,electric,11,9,12,5,1.0,0.0,1
equipment-fixed-central-socp,electric,11,9,12,6,1.0,0.0,1
equipment-fixed-central-socp,electric,11,9,12,7,1.0,0.0,1
equipment-fixed-central-socp,electric,11,9,12,8,1.0,0.0,1
equipment-fixed-central-socp,electric,11,9,12,9,1.0,0.0,1
equipment-fixed-central-socp,electric,11,9,12,10,1.0,0.0,1
equipment-fixed-central-socp,electric,11,9,12,11,1.0,0.0,1
equipment-fixed-central-socp,electric,11,9,12,12,1.0,0.0,1
equipment-fixed-central-socp,electric,11,9,12,13,1.0,0.0,1
equipment-fixed-central-socp,electric,11,9,12,14,1.0,0.0,1
equipment-fixed-central-socp,electric,11,9,12,15,1.0,0.0,1
equipment-fixed-central-socp,electric,11,9,12,16,1.0,0.0,1
equipment-fixed-central-socp,electric,11,9,12,17,1.0,0.0,1
equipment-fixed-central-socp,electric,11,9,12,18,1.0,0.0,1
equipment-fixed-central-socp,electric,11,9,12,19,1.0,0.0,1
equipment-fixed-central-socp,electric,11,9,12,20,1.0,0.0,1
equipment-fixed-central-socp,electric,11,9,12,21,1.0,0.0,1
equipment-fixed-central-socp,electric,11,9,12,22,1.0,0.0,1
equipment-fixed-central-socp,electric,11,9,12,23,1.0,0.0,1
equipment-fixed-central-socp,electric,11,9,12,24,1.0,0.0,1
equipment-fixed-central-socp,electric,12,12,25,1,1.0,0.0,1
equipment-fixed-central-socp,electric,12,12,25,2,1.0,0.0,1
equipment-fixed-central-socp,electric,12,12,25,3,1.0,0.0,1
equipment-fixed-central-socp,electric,12,12,25,4,1.0,0.0,1
equipment-fixed-central-socp,electric,12,12,25,5,1.0,0.0,1
equipment-fixed-central-socp,electric,12,12,25,6,1.0,0.0,1
equipment-fixed-central-socp,electric,12,12,25,7,1.0,0.0,1
equipment-fixed-central-socp,electric,12,12,25,8,1.0,0.0,1
equipment-fixed-central-socp,electric,12,12,25,9,1.0,0.0,1
equipment-fixed-central-socp,electric,12,12,25,10,1.0,0.0,1
