candidate,method,day_id,run_id,t,time_end_h,dt_h,trained_label,representative,device,kind,P_MW,Q_Mvar
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,22,22.0,1.0,0,training_mean_zero_call,GT,GT,0.09304546707095322,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,22,22.0,1.0,0,training_mean_zero_call,CHP,CHP,0.02472677998263273,0.03
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,22,22.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,23,23.0,1.0,0,training_mean_zero_call,EB,EB,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,23,23.0,1.0,0,training_mean_zero_call,GT,GT,0.08,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,23,23.0,1.0,0,training_mean_zero_call,CHP,CHP,0.0,0.03
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,23,23.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,24,24.0,1.0,0,training_mean_zero_call,EB,EB,0.0,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,24,24.0,1.0,0,training_mean_zero_call,GT,GT,0.015479015274532479,0.0
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,24,24.0,1.0,0,training_mean_zero_call,CHP,CHP,0.06452098472546752,0.03
D,D,zero_pv_sustained_up,r6-support-day-6de1b053-4212-4989-b5df-499f1c3cc8fc,24,24.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,1,1.0,1.0,0,training_mean_zero_call,EB,EB,0.009999999999999981,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,1,1.0,1.0,0,training_mean_zero_call,GT,GT,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,1,1.0,1.0,0,training_mean_zero_call,CHP,CHP,0.0,0.03
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,1,1.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,2,2.0,1.0,0,training_mean_zero_call,EB,EB,0.020526315789474725,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,2,2.0,1.0,0,training_mean_zero_call,GT,GT,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,2,2.0,1.0,0,training_mean_zero_call,CHP,CHP,0.0,0.03
