run_id,mode,method,time_h,recovery,chp_MW,pv_MW,source_heat_MW,heat_loss_MW,net_heat_MWh
r3-v2-20260917T090750-c52e2f8d/single-source-CF_CT-reference,CF_CT,reference,2.0,false,0.03965803611601963,0.264,0.15796028833224507,0.002960288332245045,0.0029246153752286357
r3-v2-20260917T090750-c52e2f8d/single-source-CF_CT-reference,CF_CT,reference,3.0,false,0.0,0.3767124636822684,0.1678749403461519,0.0028749403461518904,-0.002075384624771354
r3-v2-20260917T090750-c52e2f8d/single-source-CF_CT-reference,CF_CT,reference,4.0,false,0.1119166268974346,0.08800000000000001,0.1678749403461519,0.00287494034615213,0.002924615375228426
r3-v2-20260917T090750-c52e2f8d/single-source-CF_CT-reference,CF_CT,reference,5.0,true,0.11054484579700427,0.0,0.16581726871118962,0.0028926533359613016,-4.5102810375396984e-17
r3-v2-20260917T090750-c52e2f8d/single-source-CF_CT-reference,CF_CT,reference,6.0,true,0.11247794871159608,0.0,0.16871692308318087,0.002867692332724016,1.431146867680866e-17
r3-v2-20260917T090750-c52e2f8d/single-source-CF_CT-reference,CF_CT,reference,7.0,true,0.11247794871159608,0.0,0.16871692308318087,0.002867692332724016,7.37257477290143e-17
r3-v2-20260917T090750-c52e2f8d/single-source-CF_CT-reference,CF_CT,reference,8.0,true,0.11247794871159608,0.0,0.16871692308318087,0.002867692332724016,1.3314002678121994e-16
r3-v2-20260917T090750-c52e2f8d/single-source-CF_CT-reference,CF_CT,reference,9.0,true,0.11247794871159608,0.0,0.16871692308318087,0.002867692332724016,1.9255430583342559e-16
r3-v2-20260917T090750-c52e2f8d/single-source-CF_CT-reference,CF_CT,reference,10.0,true,0.11247794871159608,0.0,0.16871692308318087,0.002867692332724016,2.5196858488563123e-16
r3-v2-20260917T090750-c52e2f8d/single-source-CF_VT-pg,CF_VT,pg,1.0,false,0.12835893908141638,1.2249166675297043e-12,0.19253840862189828,0.00320340863590236,0.03933499998599592
r3-v2-20260917T090750-c52e2f8d/single-source-CF_VT-pg,CF_VT,pg,2.0,false,0.01830230792364692,0.2640000000003203,0.10563875425963606,0.003049138868362763,-0.018075384622730784
r3-v2-20260917T090750-c52e2f8d/single-source-CF_VT-pg,CF_VT,pg,3.0,false,-1.8084375221494902e-13,0.40404325186882095,0.19383918907210326,0.002739236642299022,0.003024567807073445
r3-v2-20260917T090750-c52e2f8d/single-source-CF_VT-pg,CF_VT,pg,4.0,false,0.11200200015814012,0.08800000000100729,0.16800300023671452,0.0029623414941787017,0.008065226549609263
r3-v2-20260917T090750-c52e2f8d/single-source-CF_VT-pg,CF_VT,pg,5.0,true,0.10714702107907895,1.2175978462645692e-12,0.16072053161784516,0.0029365274170640985,-6.646592998205136e-14
r3-v2-20260917T090750-c52e2f8d/single-source-CF_VT-pg,CF_VT,pg,6.0,true,0.11247794872266599,1.2139435972523567e-12,0.1687169230832102,0.0028676923327242546,-3.730739675522621e-14
r3-v2-20260917T090750-c52e2f8d/single-source-CF_VT-pg,CF_VT,pg,7.0,true,0.1124779487226625,1.2139436126920837e-12,0.16871692308321012,0.0028676923327242546,-8.232130255247938e-15
r3-v2-20260917T090750-c52e2f8d/single-source-CF_VT-pg,CF_VT,pg,8.0,true,0.11247794872266355,1.213943603610756e-12,0.16871692308321098,0.0028676923327242546,2.1703559088814828e-14
r3-v2-20260917T090750-c52e2f8d/single-source-CF_VT-pg,CF_VT,pg,9.0,true,0.11247794872266599,1.2139436079499669e-12,0.16871692308321098,0.0028676923327242546,5.1639248432877594e-14
r3-v2-20260917T090750-c52e2f8d/single-source-CF_VT-pg,CF_VT,pg,10.0,true,0.11247794872265975,1.213943611296045e-12,0.16871692308321026,0.0028676923327242546,8.085329281093401e-14
r3-v2-20260917T090750-c52e2f8d/single-source-CF_VT-reference,CF_VT,reference,1.0,false,0.1283589390838431,0.0,0.19253840862576466,0.003203408635934113,0.039334999989830546
r3-v2-20260917T090750-c52e2f8d/single-source-CF_VT-reference,CF_VT,reference,2.0,false,0.01830230792072533,0.264,0.10563875425377378,0.0030491388683763715,-0.018075384624772046
r3-v2-20260917T090750-c52e2f8d/single-source-CF_VT-reference,CF_VT,reference,3.0,false,0.0,0.4040432518123952,0.1938391890697726,0.002739236642242679,0.0030245678027578625
r3-v2-20260917T090750-c52e2f8d/single-source-CF_VT-reference,CF_VT,reference,4.0,false,0.1120020001600032,0.08800000000000001,0.16800300024000503,0.0029623414941319084,0.00806522654863098
r3-v2-20260917T090750-c52e2f8d/single-source-CF_VT-reference,CF_VT,reference,5.0,true,0.10714702107925363,0.0,0.16072053161888045,0.0029365274170550263,-3.95516952522712e-16
r3-v2-20260917T090750-c52e2f8d/single-source-CF_VT-reference,CF_VT,reference,6.0,true,0.11247794871159608,0.0,0.16871692308318087,0.002867692332724016,-3.3610267347050637e-16
r3-v2-20260917T090750-c52e2f8d/single-source-CF_VT-reference,CF_VT,reference,7.0,true,0.11247794871159608,0.0,0.16871692308318087,0.002867692332724016,-2.7668839441830073e-16
r3-v2-20260917T090750-c52e2f8d/single-source-CF_VT-reference,CF_VT,reference,8.0,true,0.11247794871159608,0.0,0.16871692308318087,0.002867692332724016,-2.172741153660951e-16
r3-v2-20260917T090750-c52e2f8d/single-source-CF_VT-reference,CF_VT,reference,9.0,true,0.11247794871159608,0.0,0.16871692308318087,0.002867692332724016,-1.5785983631388945e-16
r3-v2-20260917T090750-c52e2f8d/single-source-CF_VT-reference,CF_VT,reference,10.0,true,0.11247794871159608,0.0,0.16871692308318087,0.002867692332724016,-9.84455572616838e-17
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-pg,VF_CT,pg,1.0,false,0.11626758404200711,5.607456205523002e-12,0.17440137606247771,0.0034013760883727373,0.020999999974104983
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-pg,VF_CT,pg,2.0,false,0.02434117305187153,0.2640000000001384,0.1204339738093863,0.0024339737891146433,-0.021000000005623368
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-pg,VF_CT,pg,3.0,false,1.0645145581032671e-13,0.40196154925875804,0.19186157160817194,0.003066434476448461,-0.0022048628738999022
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-pg,VF_CT,pg,4.0,false,0.11200200013617037,0.08799999999482566,0.16800300021754777,0.002873333649901925,0.002924803693745941
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-pg,VF_CT,pg,5.0,true,0.11054472132164705,2.75704536144103e-9,0.16581708198285663,0.0028926549429294356,-1.6783654327445774e-11
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-pg,VF_CT,pg,6.0,true,0.11247794872227188,6.02584774250637e-10,0.16871692308318148,0.0028676923327242546,-1.6783222814981125e-11
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-pg,VF_CT,pg,7.0,true,0.11247794872227188,6.025847774821932e-10,0.16871692308318148,0.0028676923327242546,-1.6782791302516475e-11
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-pg,VF_CT,pg,8.0,true,0.11247794872227193,6.025847873622215e-10,0.1687169230831815,0.0028676923327242546,-1.678233203447621e-11
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-pg,VF_CT,pg,9.0,true,0.11247794872227193,6.025847868834671e-10,0.1687169230831815,0.0028676923327242546,-1.6781872766435946e-11
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-pg,VF_CT,pg,10.0,true,0.1124779487222719,6.025847790069401e-10,0.16871692308318148,0.0028676923327242546,-1.6781441253971296e-11
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,VF_CT,reference,1.0,false,0.11626758393155014,0.0,0.17440137594962232,0.0034013760829116526,0.020999999866710674
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,VF_CT,reference,2.0,false,0.024341173215349163,0.2639999998270945,0.12043397408722259,0.002433973791377007,-0.020999999837443745
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,VF_CT,reference,3.0,false,0.0,0.4019615493391486,0.1918615719068049,0.0030664344899176874,-0.0022048624205565533
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,VF_CT,reference,4.0,false,0.11200199979291454,0.08799999993287021,0.1680029997531962,0.002873333645593982,0.0029248036870456757
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,VF_CT,reference,5.0,true,0.11054472130285728,0.0,0.16581708200657497,0.002892654943164598,-7.494005416219807e-16
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,VF_CT,reference,6.0,true,0.11247794872212069,0.0,0.1687169230831811,0.0028676923327242546,-7.064661355915547e-16
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,VF_CT,reference,7.0,true,0.11247794872212069,0.0,0.1687169230831811,0.0028676923327242546,-6.635317295611287e-16
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,VF_CT,reference,8.0,true,0.11247794872212069,0.0,0.1687169230831811,0.0028676923327242546,-6.205973235307027e-16
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,VF_CT,reference,9.0,true,0.11247794872212069,0.0,0.1687169230831811,0.0028676923327242546,-5.776629175002768e-16
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,VF_CT,reference,10.0,true,0.11247794872212069,0.0,0.1687169230831811,0.0028676923327242546,-5.347285114698508e-16
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-pg,VF_VT,pg,1.0,false,0.13019283271287682,1.9302376006754296e-12,0.19528924906831657,0.0032892490806972017,0.04199999998761938
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-pg,VF_VT,pg,2.0,false,0.007293296748799085,0.26400000000051493,0.07866667688038946,0.0026666768461337076,-0.041999999978124876
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-pg,VF_VT,pg,3.0,false,-3.0385615307253687e-13,0.4160383514733932,0.20523453367844596,0.0028867624572315956,-0.00965222875691052
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-pg,VF_VT,pg,4.0,false,0.11200200015787674,0.08800000000134733,0.16800300023629308,0.0026212039379724227,-0.004270432458589863
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-pg,VF_VT,pg,5.0,true,0.11540442402606925,1.943455903815735e-12,0.17310663603815835,0.0029869728199242557,9.18743206512751e-12
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-pg,VF_VT,pg,6.0,true,0.11247794872253375,1.979777616552274e-12,0.1687169230831952,0.0028676923327242546,9.20157483194628e-12
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-pg,VF_VT,pg,7.0,true,0.11247794872253264,1.979777549526102e-12,0.16871692308319522,0.0028676923327242546,9.215745354340665e-12
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-pg,VF_VT,pg,8.0,true,0.1124779487225343,1.979777569778758e-12,0.16871692308319486,0.0028676923327242546,9.229555054252048e-12
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-pg,VF_VT,pg,9.0,true,0.1124779487225349,1.9797777716443534e-12,0.1687169230831952,0.0028676923327242546,9.243697821070818e-12
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-pg,VF_VT,pg,10.0,true,0.11247794872253439,1.9797777495744226e-12,0.1687169230831948,0.0028676923327242546,9.257452009830969e-12
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,VF_VT,reference,1.0,false,0.13019283268337345,0.0,0.19528924903398473,0.0032892490801519725,0.041999999953832766
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,VF_VT,reference,2.0,false,0.007293296785141123,0.26399999997049994,0.07866667694798418,0.002666676846060729,-0.041999999944243784
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,VF_VT,reference,3.0,false,0.0,0.39808100912696986,0.18817505855045874,0.0026497962322385546,-0.02647473762602361
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,VF_VT,reference,4.0,false,0.11200200009658158,0.08799999998856012,0.1680030001557409,0.002255717327292535,-0.02072745479757524
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,VF_VT,reference,5.0,true,0.1264034491806167,0.0,0.18960517377984965,0.0030284882318184258,-8.153200337090993e-16
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,VF_VT,reference,6.0,true,0.11247794872212069,0.0,0.1687169230831811,0.0028676923327242546,-7.723856276786734e-16
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,VF_VT,reference,7.0,true,0.11247794872212069,0.0,0.1687169230831811,0.0028676923327242546,-7.294512216482474e-16
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,VF_VT,reference,8.0,true,0.11247794872212069,0.0,0.1687169230831811,0.0028676923327242546,-6.865168156178214e-16
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,VF_VT,reference,9.0,true,0.11247794872212069,0.0,0.1687169230831811,0.0028676923327242546,-6.435824095873954e-16
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,VF_VT,reference,10.0,true,0.11247794872212069,0.0,0.1687169230831811,0.0028676923327242546,-6.006480035569695e-16
