core_cost,cost,diagnostic,id,mode,stage,tail_cost,update
180.30923811881325,180.30923811881325,NaN,two-source-case_fixed-normalized,dispatch,15,0.0,2
180.2477043509212,180.2477043509212,NaN,two-source-case_fixed-normalized,dispatch,29,0.0,3
180.23235957606983,180.23235957606983,NaN,two-source-case_fixed-normalized,dispatch,47,0.0,4
180.22852574747532,180.22852574747532,NaN,two-source-case_fixed-normalized,dispatch,69,0.0,5
180.22756725963177,180.22756725963177,NaN,two-source-case_fixed-normalized,dispatch,95,0.0,6
NaN,NaN,0.05451826995477988,two-source-box25-physical,diagnostic,2,NaN,0
184.14377267645108,184.14377267645108,NaN,two-source-box25-physical,dispatch,3,0.0,1
183.3353170958893,183.3353170958893,NaN,two-source-box25-physical,dispatch,13,0.0,2
183.23464172508005,183.23464172508005,NaN,two-source-box25-physical,dispatch,29,0.0,3
183.20948607713925,183.20948607713925,NaN,two-source-box25-physical,dispatch,49,0.0,4
183.19691039315524,183.19691039315524,NaN,two-source-box25-physical,dispatch,71,0.0,5
183.19062309913284,183.19062309913284,NaN,two-source-box25-physical,dispatch,95,0.0,6
NaN,NaN,0.05451826995477988,two-source-box25-normalized,diagnostic,2,NaN,0
184.14215977379746,184.14215977379746,NaN,two-source-box25-normalized,dispatch,3,0.0,1
183.33811413414696,183.33811413414696,NaN,two-source-box25-normalized,dispatch,13,0.0,2
183.23798402995692,183.23798402995692,NaN,two-source-box25-normalized,dispatch,29,0.0,3
183.21296498359123,183.21296498359123,NaN,two-source-box25-normalized,dispatch,49,0.0,4
183.20045778320628,183.20045778320628,NaN,two-source-box25-normalized,dispatch,71,0.0,5
183.1942052448302,183.1942052448302,NaN,two-source-box25-normalized,dispatch,95,0.0,6
181.6353979901378,181.6353979901378,NaN,two-source-box50-physical,dispatch,1,0.0,0
180.47807837490717,180.47807837490717,NaN,two-source-box50-physical,dispatch,5,0.0,1
180.21205515240945,180.21205515240945,NaN,two-source-box50-physical,dispatch,15,0.0,2
180.14643258103615,180.14643258103615,NaN,two-source-box50-physical,dispatch,29,0.0,3
180.1300754832723,180.1300754832723,NaN,two-source-box50-physical,dispatch,47,0.0,4
180.12598917413482,180.12598917413482,NaN,two-source-box50-physical,dispatch,69,0.0,5
180.12394630153673,180.12394630153673,NaN,two-source-box50-physical,dispatch,93,0.0,6
180.12292488465545,180.12292488465545,NaN,two-source-box50-physical,dispatch,119,0.0,7
181.6353979901378,181.6353979901378,NaN,two-source-box50-normalized,dispatch,1,0.0,0
180.55824907689498,180.55824907689498,NaN,two-source-box50-normalized,dispatch,5,0.0,1
180.30923817556499,180.30923817556499,NaN,two-source-box50-normalized,dispatch,15,0.0,2
180.24770440902586,180.24770440902586,NaN,two-source-box50-normalized,dispatch,29,0.0,3
180.2323596364994,180.2323596364994,NaN,two-source-box50-normalized,dispatch,47,0.0,4
180.2285258061942,180.2285258061942,NaN,two-source-box50-normalized,dispatch,69,0.0,5
