id,run_id,stage,event,fault,pipe,time,flow_kg_s
ua10_all_faults_heat_limit_prescribed_highs,r7-flow-planning-c452c23b-85c8-4c02-945f-70634d0bfa3f,normal,0,none,1,1,5.0
ua10_all_faults_heat_limit_prescribed_highs,r7-flow-planning-c452c23b-85c8-4c02-945f-70634d0bfa3f,normal,0,none,1,2,5.0
ua10_all_faults_heat_limit_prescribed_highs,r7-flow-planning-c452c23b-85c8-4c02-945f-70634d0bfa3f,normal,0,none,1,3,5.0
ua10_all_faults_heat_limit_prescribed_highs,r7-flow-planning-c452c23b-85c8-4c02-945f-70634d0bfa3f,normal,0,none,1,4,5.0
ua10_all_faults_heat_limit_prescribed_highs,r7-flow-planning-c452c23b-85c8-4c02-945f-70634d0bfa3f,recovery,1,0,1,2,5.0
ua10_all_faults_heat_limit_prescribed_highs,r7-flow-planning-c452c23b-85c8-4c02-945f-70634d0bfa3f,recovery,1,1,1,2,0.0
ua10_all_faults_heat_limit_prescribed_highs,r7-flow-planning-c452c23b-85c8-4c02-945f-70634d0bfa3f,recovery,2,0,1,3,5.0
ua10_all_faults_heat_limit_prescribed_highs,r7-flow-planning-c452c23b-85c8-4c02-945f-70634d0bfa3f,recovery,2,1,1,3,0.0
ua10_all_faults_heat_limit_prescribed_gurobi,r7-flow-planning-312ad926-1a9c-43d9-bdb6-28ea24589b2e,normal,0,none,1,1,5.0
ua10_all_faults_heat_limit_prescribed_gurobi,r7-flow-planning-312ad926-1a9c-43d9-bdb6-28ea24589b2e,normal,0,none,1,2,5.0
ua10_all_faults_heat_limit_prescribed_gurobi,r7-flow-planning-312ad926-1a9c-43d9-bdb6-28ea24589b2e,normal,0,none,1,3,5.0
ua10_all_faults_heat_limit_prescribed_gurobi,r7-flow-planning-312ad926-1a9c-43d9-bdb6-28ea24589b2e,normal,0,none,1,4,5.0
ua10_all_faults_heat_limit_prescribed_gurobi,r7-flow-planning-312ad926-1a9c-43d9-bdb6-28ea24589b2e,recovery,1,0,1,2,5.0
ua10_all_faults_heat_limit_prescribed_gurobi,r7-flow-planning-312ad926-1a9c-43d9-bdb6-28ea24589b2e,recovery,1,1,1,2,0.0
ua10_all_faults_heat_limit_prescribed_gurobi,r7-flow-planning-312ad926-1a9c-43d9-bdb6-28ea24589b2e,recovery,2,0,1,3,5.0
ua10_all_faults_heat_limit_prescribed_gurobi,r7-flow-planning-312ad926-1a9c-43d9-bdb6-28ea24589b2e,recovery,2,1,1,3,0.0
ua10_all_faults_heat_limit_recovery_continuous_gurobi,r7-flow-planning-d0adbbcf-9589-4976-b3e9-617ec1d8b442,normal,0,none,1,1,5.0
ua10_all_faults_heat_limit_recovery_continuous_gurobi,r7-flow-planning-d0adbbcf-9589-4976-b3e9-617ec1d8b442,normal,0,none,1,2,5.0
ua10_all_faults_heat_limit_recovery_continuous_gurobi,r7-flow-planning-d0adbbcf-9589-4976-b3e9-617ec1d8b442,normal,0,none,1,3,5.0
ua10_all_faults_heat_limit_recovery_continuous_gurobi,r7-flow-planning-d0adbbcf-9589-4976-b3e9-617ec1d8b442,normal,0,none,1,4,5.0
ua10_all_faults_heat_limit_recovery_continuous_gurobi,r7-flow-planning-d0adbbcf-9589-4976-b3e9-617ec1d8b442,recovery,1,0,1,2,5.0
ua10_all_faults_heat_limit_recovery_continuous_gurobi,r7-flow-planning-d0adbbcf-9589-4976-b3e9-617ec1d8b442,recovery,1,1,1,2,0.0
ua10_all_faults_heat_limit_recovery_continuous_gurobi,r7-flow-planning-d0adbbcf-9589-4976-b3e9-617ec1d8b442,recovery,2,0,1,3,5.0
ua10_all_faults_heat_limit_recovery_continuous_gurobi,r7-flow-planning-d0adbbcf-9589-4976-b3e9-617ec1d8b442,recovery,2,1,1,3,0.0
ua10_all_faults_heat_limit_joint_continuous_gurobi,r7-flow-planning-92a0c734-b060-4806-bf2d-f19b78b0fd5e,normal,0,none,1,1,5.0
ua10_all_faults_heat_limit_joint_continuous_gurobi,r7-flow-planning-92a0c734-b060-4806-bf2d-f19b78b0fd5e,normal,0,none,1,2,3.178176593096543
ua10_all_faults_heat_limit_joint_continuous_gurobi,r7-flow-planning-92a0c734-b060-4806-bf2d-f19b78b0fd5e,normal,0,none,1,3,3.1791871961214944
ua10_all_faults_heat_limit_joint_continuous_gurobi,r7-flow-planning-92a0c734-b060-4806-bf2d-f19b78b0fd5e,normal,0,none,1,4,5.000061282189206
ua10_all_faults_heat_limit_joint_continuous_gurobi,r7-flow-planning-92a0c734-b060-4806-bf2d-f19b78b0fd5e,recovery,1,0,1,2,0.0
ua10_all_faults_heat_limit_joint_continuous_gurobi,r7-flow-planning-92a0c734-b060-4806-bf2d-f19b78b0fd5e,recovery,1,1,1,2,0.0
ua10_all_faults_heat_limit_joint_continuous_gurobi,r7-flow-planning-92a0c734-b060-4806-bf2d-f19b78b0fd5e,recovery,2,0,1,3,0.0
ua10_all_faults_heat_limit_joint_continuous_gurobi,r7-flow-planning-92a0c734-b060-4806-bf2d-f19b78b0fd5e,recovery,2,1,1,3,0.0
