record_id,run_id,scenario,building,t,dt_h,room_K,heat_MW,import_MW,delivered_MW,requested_MW
competitive_future_e030_r005-saved_independent,r5-delivery-996a5b1a-08b5-4253-b86f-1b6774a197b9,none,building,4,1.0,293.15,0.006999999999999306,0.0,0.0,0.0
competitive_future_e030_r005-saved_independent,r5-delivery-996a5b1a-08b5-4253-b86f-1b6774a197b9,up,building,1,1.0,295.15,0.07899999999999932,0.0,0.0,0.0
competitive_future_e030_r005-saved_independent,r5-delivery-996a5b1a-08b5-4253-b86f-1b6774a197b9,up,building,2,1.0,295.15,0.04199999999999858,0.0,0.0,0.0
competitive_future_e030_r005-saved_independent,r5-delivery-996a5b1a-08b5-4253-b86f-1b6774a197b9,up,building,3,1.0,294.65,0.027500000000000066,0.0,0.0,0.0
competitive_future_e030_r005-saved_independent,r5-delivery-996a5b1a-08b5-4253-b86f-1b6774a197b9,up,building,4,1.0,293.15,0.0,0.0,0.0,0.0
competitive_future_e030_r005-saved_independent,r5-delivery-996a5b1a-08b5-4253-b86f-1b6774a197b9,down,building,1,1.0,294.15,0.049999999999999885,0.0,0.0,0.0
competitive_future_e030_r005-saved_independent,r5-delivery-996a5b1a-08b5-4253-b86f-1b6774a197b9,down,building,2,1.0,294.15,0.03299999999999929,0.0,0.0,0.0
competitive_future_e030_r005-saved_independent,r5-delivery-996a5b1a-08b5-4253-b86f-1b6774a197b9,down,building,3,1.0,294.15,0.029999999999999416,0.0,0.0,0.0
competitive_future_e030_r005-saved_independent,r5-delivery-996a5b1a-08b5-4253-b86f-1b6774a197b9,down,building,4,1.0,293.15,0.003999999999999844,0.0,0.0,0.0
competitive_future_e030_r005-minimum_norm,r5-delivery-bca1dcad-e72a-4d40-931b-e3bfb0f0c202,none,building,1,1.0,294.15,0.0529999999999996,0.0,3.6177299597186066e-12,0.0
competitive_future_e030_r005-minimum_norm,r5-delivery-bca1dcad-e72a-4d40-931b-e3bfb0f0c202,none,building,2,1.0,294.15,0.03599999999999965,0.0,3.57268434864496e-12,0.0
competitive_future_e030_r005-minimum_norm,r5-delivery-bca1dcad-e72a-4d40-931b-e3bfb0f0c202,none,building,3,1.0,294.15,0.03299999999999869,0.0,3.557609709513497e-12,0.0
competitive_future_e030_r005-minimum_norm,r5-delivery-bca1dcad-e72a-4d40-931b-e3bfb0f0c202,none,building,4,1.0,293.15,0.0069999999999993175,0.0,3.554513188133658e-12,0.0
competitive_future_e030_r005-minimum_norm,r5-delivery-bca1dcad-e72a-4d40-931b-e3bfb0f0c202,up,building,1,1.0,295.15,0.07899999999999943,0.0,3.6177299597186066e-12,1.7376306223506402e-12
competitive_future_e030_r005-minimum_norm,r5-delivery-bca1dcad-e72a-4d40-931b-e3bfb0f0c202,up,building,2,1.0,295.15,0.04199999999999857,0.0,3.57268434864496e-12,1.6990682738210364e-12
competitive_future_e030_r005-minimum_norm,r5-delivery-bca1dcad-e72a-4d40-931b-e3bfb0f0c202,up,building,3,1.0,294.65,0.0275,0.0,3.557609709513497e-12,1.6924611118842554e-12
competitive_future_e030_r005-minimum_norm,r5-delivery-bca1dcad-e72a-4d40-931b-e3bfb0f0c202,up,building,4,1.0,293.15,0.0,0.0,3.554513188133658e-12,1.6912301648641332e-12
competitive_future_e030_r005-minimum_norm,r5-delivery-bca1dcad-e72a-4d40-931b-e3bfb0f0c202,down,building,1,1.0,294.15,0.049999999999999774,0.049999999892408165,-0.04999999988879043,-0.04999999988879043
