equation,scope,entity,t,residual,unit,tolerance,pass
3-35:36,model,R1,3,0.0,K,0.0001,true
mix-original,physics,R1,3,0.0,K,0.0001,true
3-35:36,model,R1,4,0.0,K,0.0001,true
mix-original,physics,R1,4,0.0,K,0.0001,true
3-35:36,model,R2,1,0.0,K,0.0001,true
mix-original,physics,R2,1,0.0,K,0.0001,true
3-35:36,model,R2,2,0.0,K,0.0001,true
mix-original,physics,R2,2,0.0,K,0.0001,true
3-35:36,model,R2,3,5.684341886080802e-14,K,0.0001,true
mix-original,physics,R2,3,5.684341886080802e-14,K,0.0001,true
3-35:36,model,R2,4,0.0,K,0.0001,true
mix-original,physics,R2,4,0.0,K,0.0001,true
3-23,model,1,1,0.0,kg/s,2.4999999999999998e-6,true
3-27,model,1,1,5.551115123125783e-17,kg/s,2.4999999999999998e-6,true
3-30,model,1,1,0.0,kg/s,2.4999999999999998e-6,true
3-32,model,1,1,0.0,1,1.0e-6,true
3-28,model,1,1,0.0,1,1.0e-6,true
3-29:32,model,1,1,0.0,1,1.0e-6,true
3-31,model,1,1,0.0,1,1.0e-6,true
3-29:32,model,1,1,0.0,1,1.0e-6,true
3-23,model,1,2,0.0,kg/s,2.4999999999999998e-6,true
3-27,model,1,2,1.021405182655144e-14,kg/s,2.4999999999999998e-6,true
3-30,model,1,2,5.551115123125783e-17,kg/s,2.4999999999999998e-6,true
3-32,model,1,2,0.0,1,1.0e-6,true
3-28,model,1,2,0.0,1,1.0e-6,true
3-29:32,model,1,2,0.0,1,1.0e-6,true
3-31,model,1,2,0.0,1,1.0e-6,true
3-29:32,model,1,2,0.0,1,1.0e-6,true
3-23,model,1,3,0.0,kg/s,2.4999999999999998e-6,true
3-27,model,1,3,1.5931700403370996e-14,kg/s,2.4999999999999998e-6,true
3-30,model,1,3,1.021405182655144e-14,kg/s,2.4999999999999998e-6,true
3-32,model,1,3,0.0,1,1.0e-6,true
3-28,model,1,3,0.0,1,1.0e-6,true
3-29:32,model,1,3,0.0,1,1.0e-6,true
3-31,model,1,3,0.0,1,1.0e-6,true
3-29:32,model,1,3,0.0,1,1.0e-6,true
3-23,model,1,4,0.0,kg/s,2.4999999999999998e-6,true
3-27,model,1,4,5.551115123125783e-17,kg/s,2.4999999999999998e-6,true
3-30,model,1,4,1.5931700403370996e-14,kg/s,2.4999999999999998e-6,true
3-32,model,1,4,0.0,1,1.0e-6,true
3-28,model,1,4,0.0,1,1.0e-6,true
3-29:32,model,1,4,0.0,1,1.0e-6,true
3-31,model,1,4,0.0,1,1.0e-6,true
3-29:32,model,1,4,0.0,1,1.0e-6,true
3-39:40,model,S1,1,0.0,K,0.0001,true
3-41,model,1,1,0.0,K,0.0001,true
3-41,model,1,1,0.0,K,0.0001,true
3-23-kappa,model,1,1,0.0,kPa,0.001,true
3-22,model,S1,1,0.0,normalized,1.0e-6,true
3-26,model,S1,1,0.0,normalized,1.0e-6,true
3-25,physics,S1,1,0.3875101370223396,normalized,1.0e-6,false
WMM-replay,physics,S1,1,0.035480031766894626,K,0.0001,false
3-33:34,model,S1,1,5.684341886080802e-14,K,0.0001,true
3-39:40,model,S1,2,0.0,K,0.0001,true
3-41,model,1,2,0.0,K,0.0001,true
3-41,model,1,2,0.0,K,0.0001,true
3-23-kappa,model,1,2,0.0,kPa,0.001,true
3-22,model,S1,2,0.0,normalized,1.0e-6,true
3-26,model,S1,2,0.0,normalized,1.0e-6,true
3-25,physics,S1,2,0.38757651471431953,normalized,1.0e-6,false
WMM-replay,physics,S1,2,0.0223934299241364,K,0.0001,false
3-33:34,model,S1,2,1.2505552149377763e-12,K,0.0001,true
3-39:40,model,S1,3,0.0,K,0.0001,true
3-41,model,1,3,0.0,K,0.0001,true
3-41,model,1,3,0.0,K,0.0001,true
3-23-kappa,model,1,3,0.0,kPa,0.001,true
3-22,model,S1,3,0.0,normalized,1.0e-6,true
3-26,model,S1,3,0.0,normalized,1.0e-6,true
3-25,physics,S1,3,0.38770777605631934,normalized,1.0e-6,false
WMM-replay,physics,S1,3,0.041301580715071395,K,0.0001,false
3-33:34,model,S1,3,1.5347723092418164e-12,K,0.0001,true
3-39:40,model,S1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-23-kappa,model,1,4,0.0,kPa,0.001,true
3-22,model,S1,4,0.0,normalized,1.0e-6,true
3-26,model,S1,4,0.0,normalized,1.0e-6,true
3-25,physics,S1,4,0.38773711540605393,normalized,1.0e-6,false
WMM-replay,physics,S1,4,0.08228518252309414,K,0.0001,false
3-33:34,model,S1,4,0.0,K,0.0001,true
3-39:40,model,R1,1,0.0,K,0.0001,true
3-41,model,1,1,0.0,K,0.0001,true
3-41,model,1,1,0.0,K,0.0001,true
3-23-kappa,model,1,1,0.0,kPa,0.001,true
3-22,model,R1,1,0.0,normalized,1.0e-6,true
3-26,model,R1,1,0.0,normalized,1.0e-6,true
3-25,physics,R1,1,0.3875101370223378,normalized,1.0e-6,false
WMM-replay,physics,R1,1,0.0026680073585225728,K,0.0001,false
3-33:34,model,R1,1,0.0,K,0.0001,true
3-39:40,model,R1,2,0.0,K,0.0001,true
3-41,model,1,2,0.0,K,0.0001,true
3-41,model,1,2,0.0,K,0.0001,true
3-23-kappa,model,1,2,0.0,kPa,0.001,true
3-22,model,R1,2,0.0,normalized,1.0e-6,true
3-26,model,R1,2,0.0,normalized,1.0e-6,true
3-25,physics,R1,2,0.3875765147334487,normalized,1.0e-6,false
WMM-replay,physics,R1,2,0.006133810613675905,K,0.0001,false
3-33:34,model,R1,2,5.684341886080802e-14,K,0.0001,true
3-39:40,model,R1,3,0.0,K,0.0001,true
3-41,model,1,3,0.0,K,0.0001,true
3-41,model,1,3,0.0,K,0.0001,true
3-23-kappa,model,1,3,0.0,kPa,0.001,true
3-22,model,R1,3,0.0,normalized,1.0e-6,true
3-26,model,R1,3,0.0,normalized,1.0e-6,true
3-25,physics,R1,3,0.38770777607332013,normalized,1.0e-6,false
WMM-replay,physics,R1,3,0.017108883489015625,K,0.0001,false
3-33:34,model,R1,3,5.684341886080802e-14,K,0.0001,true
3-39:40,model,R1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-23-kappa,model,1,4,0.0,kPa,0.001,true
3-22,model,R1,4,0.0,normalized,1.0e-6,true
3-26,model,R1,4,0.0,normalized,1.0e-6,true
3-25,physics,R1,4,0.38773711540605366,normalized,1.0e-6,false
WMM-replay,physics,R1,4,0.008204655951374207,K,0.0001,false
3-33:34,model,R1,4,0.0,K,0.0001,true
3-1,model,0,0,1.4210854715202004e-14,currency,7.684444459870735e-5,true
