run_id,case,policy,loss,node,t,H_src_MW,H_D_MW,P_CHP_MW,P_HP_MW,P_EB_MW,P_PV_MW,source_mass_kg_s,load_mass_kg_s,S_K,R_K
open--fixed--exponential,open,fixed,exponential,2,3,0.21021368150640668,0.10667475349879395,0.0,0.07007122716880222,0.0,0.45,1.6431433271956393,1.030373444937894,343.5731353832492,312.9669468694915
open--fixed--exponential,open,fixed,exponential,2,4,0.3,0.1051120966995161,0.0,0.1,0.0,0.09000000052513743,2.1840547648794044,1.0249286007123528,343.3733195878509,310.51226863492064
open--fixed--exponential,open,fixed,exponential,3,1,0.021667164201527183,0.21511227677630995,0.01805597013619464,0.0,0.0,0.0,0.12824798339842663,1.2873734286578706,343.19906214768827,303.2244393794506
open--fixed--exponential,open,fixed,exponential,3,2,0.17999999997373844,0.27070903246292116,0.15,0.0,0.0,0.0,1.0765729242873243,1.6212527073231928,343.2549729437709,303.30874732783843
open--fixed--exponential,open,fixed,exponential,3,3,0.11458106219796607,0.2166749184718377,0.09548421848212754,0.0,0.0,0.0,0.6846816978540649,1.29745158011181,343.24329286639204,303.2910467149972
open--fixed--exponential,open,fixed,exponential,3,4,0.021666939280373512,0.21511216430292887,0.018055782137508785,0.0,0.0,0.0,0.12824660898944612,1.2873727731564977,343.1990631548437,303.224440933524
open--joint--reference,open,joint,reference,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.15,303.15
open--joint--reference,open,joint,reference,1,2,0.11480019972611821,0.0,0.09566683310509853,0.0,0.0,0.0,0.8634468113739052,0.0,345.94052629883106,314.13294577660486
open--joint--reference,open,joint,reference,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.15,303.15
open--joint--reference,open,joint,reference,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.15,303.15
open--joint--reference,open,joint,reference,2,1,0.3,0.10506747428114194,0.0,0.1,0.0,0.0,2.37182725758884,0.8511855913698592,348.1493363009914,317.8898244905515
open--joint--reference,open,joint,reference,2,2,0.10723719049534203,0.1277186951130389,0.0,0.03574573016511401,0.0,0.27,0.8365839384865962,1.0000212690119006,345.2751418366725,314.28255309895115
open--joint--reference,open,joint,reference,2,3,0.21000741235702697,0.1066909278411199,0.0,0.07000247078567566,0.0,0.45,1.6739215400993037,0.8659444655878226,348.21998099766364,318.20602483130955
open--joint--reference,open,joint,reference,2,4,0.3,0.10506747428114173,0.0,0.1,0.0,0.09000000000000001,2.371875929103675,0.8512031743609094,348.14899368185706,317.8901028045188
open--joint--reference,open,joint,reference,3,1,0.021934948509151894,0.21506747425440398,0.018279123757626636,0.0,0.0,0.0,0.1604725513167999,1.6811142175357936,348.1722197052611,317.5665961584099
open--joint--reference,open,joint,reference,3,2,0.17999999999999713,0.2707186951084166,0.15,0.0,0.0,0.0,1.4059116648476049,2.1059211456962057,344.5944929886594,313.84060685394536
open--joint--reference,open,joint,reference,3,3,0.11517444331864607,0.21669092783454844,0.0959787027655385,0.0,0.0,0.0,0.8919039345753775,1.6998810090868604,348.28502976719494,317.78882584896616
open--joint--reference,open,joint,reference,3,4,0.021934948535544316,0.21506747425440365,0.01827912325345336,0.0,0.0,0.0,0.1604733332517845,1.6811460879945572,348.1719221089454,317.56687878039827
open--joint--exponential,open,joint,exponential,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.15,303.15
open--joint--exponential,open,joint,exponential,1,2,0.11459871668062493,0.0,0.09549893056718757,0.0,0.0,0.0,0.6814785743575261,0.0,343.530338425362,303.3002168109967
open--joint--exponential,open,joint,exponential,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.15,303.15
open--joint--exponential,open,joint,exponential,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.15,303.15
open--joint--exponential,open,joint,exponential,2,1,0.3,0.10506748804397886,0.0,0.1,0.0,0.0,2.1840268541236036,1.0246338890012863,343.3732680877753,310.51179718709415
open--joint--exponential,open,joint,exponential,2,2,0.10673225334558395,0.12771866062170859,0.0,0.03557741778186132,0.0,0.2699999999879246,0.6271304452374623,0.7638676469694251,343.6261840105078,303.42795528421715
open--joint--exponential,open,joint,exponential,2,3,0.20975346378473358,0.10669089291266705,0.0,0.06991782126157786,0.0,0.45,1.6403271615733663,1.0304064477391324,343.57511899376107,312.9835055221357
open--joint--exponential,open,joint,exponential,2,4,0.3,0.10506748804433169,0.0,0.1,0.0,0.08999999997941802,2.184026815746494,1.0246338964219819,343.37326809661107,310.5117966184973
open--joint--exponential,open,joint,exponential,3,1,0.02157772193573413,0.2150675562330672,0.01798143487256476,0.0,0.0,0.0,0.12771271190724298,1.2871056770295006,343.19905008047556,303.22442375714326
open--joint--exponential,open,joint,exponential,3,2,0.1799999999738593,0.27071933080694177,0.15,0.0,0.0,0.0,1.0765727414075932,1.621314114033193,343.25496025132463,303.3087280035026
open--joint--exponential,open,joint,exponential,3,3,0.11507358319291748,0.2166910586260496,0.09589465262433722,0.0,0.0,0.0,0.6876348276330205,1.2975555414672415,343.24372650250547,303.29170555053054
open--joint--exponential,open,joint,exponential,3,4,0.021577721907627353,0.21506755623299528,0.01798143489037911,0.0,0.0,0.0,0.12771273992133744,1.287105659245867,343.19904904987754,303.2244221742374
import--fixed--reference,import,fixed,reference,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.15,303.15
import--fixed--reference,import,fixed,reference,1,2,0.09526666674941955,0.0,0.07938888891501777,0.0,0.0,0.0,0.7107954937155659,0.0,349.7451046638972,317.6809331801928
import--fixed--reference,import,fixed,reference,1,3,0.03693333319020155,0.0,0.03077777753195261,0.0,1.5985096241291524e-10,0.0,0.2680485804173724,0.0,350.44544208349635,317.48229178604265
import--fixed--reference,import,fixed,reference,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.15,303.15
import--fixed--reference,import,fixed,reference,2,1,0.10731452944551823,0.10731452944551823,0.0,0.03577150981517274,0.0,0.0,0.8392082882398854,0.8392082882398854,348.4461623252554,317.85383767474457
import--fixed--reference,import,fixed,reference,2,2,0.1293145283039669,0.12931452920866363,0.0,0.04310484276798896,0.0,0.269999999913887,0.9901132216229065,0.9999044047973412,349.1970722575829,317.8626825075502
