record_id,run_id,scenario,probability,z,actual_event,raw_event,comfort_excess_K,recourse_cost,epigraph_cost,cost_worst_probability,risk_worst_probability,actual_worst_probability
hard_r020--highs,r5-risk-03af27be-8fde-4133-ab7f-b22d9fd05b2b,none,0.5,0.0,0,0,0.0,8.060000000000006,8.060000000000006,0.4999999999979253,0.49775655249531275,0.49775655249531275
hard_r020--highs,r5-risk-03af27be-8fde-4133-ab7f-b22d9fd05b2b,up,0.25,0.0,0,0,0.0,12.060000000000006,12.060000000000004,0.45000000000223495,0.25112172375234365,0.25112172375234365
hard_r020--highs,r5-risk-03af27be-8fde-4133-ab7f-b22d9fd05b2b,down,0.25,0.0,0,0,0.0,4.960000000000011,4.9600000000000035,0.04999999999983969,0.25112172375234354,0.25112172375234354
hard_r020--clarabel,r5-risk-enum-4d231a10-791d-4fa4-be38-ce2e8b9db297,none,0.5,0.0,0,0,0.0,8.060000000002018,8.060000000001988,0.4999999999979253,0.49775655249531275,0.49775655249531275
hard_r020--clarabel,r5-risk-enum-4d231a10-791d-4fa4-be38-ce2e8b9db297,up,0.25,0.0,0,0,0.0,12.060000000001878,12.060000000001404,0.45000000000223495,0.25112172375234365,0.25112172375234365
hard_r020--clarabel,r5-risk-enum-4d231a10-791d-4fa4-be38-ce2e8b9db297,down,0.25,0.0,0,0,0.0,4.96000000000293,4.960000000001153,0.04999999999983965,0.25112172375234354,0.25112172375234354
hard_r100--highs,r5-risk-e7fb4feb-bca3-4521-8709-fae2c82d2087,none,0.5,0.0,0,0,0.0,10.400000000000002,10.400000000000002,-1.5322448411913649e-12,0.31232624032472045,0.31232624032472045
hard_r100--highs,r5-risk-e7fb4feb-bca3-4521-8709-fae2c82d2087,up,0.25,0.0,0,0,0.0,13.500000000000002,13.500000000000002,1.0000000000033307,0.3438368798376399,0.3438368798376399
hard_r100--highs,r5-risk-e7fb4feb-bca3-4521-8709-fae2c82d2087,down,0.25,0.0,0,0,0.0,6.400000000000015,6.400000000000001,-1.798145163582016e-12,0.34383687983763983,0.34383687983763983
hard_r100--clarabel,r5-risk-enum-fe72dfa0-9cb7-47ab-9aeb-63330fb78432,none,0.5,0.0,0,1,5.684341886080802e-14,10.399999999998437,10.39999999999835,-1.5319444707712346e-12,0.31232624032472045,0.31232624032472045
hard_r100--clarabel,r5-risk-enum-fe72dfa0-9cb7-47ab-9aeb-63330fb78432,up,0.25,0.0,0,1,5.684341886080802e-14,13.500000000004714,13.499999999998417,1.00000000000333,0.3438368798376399,0.3438368798376399
hard_r100--clarabel,r5-risk-enum-fe72dfa0-9cb7-47ab-9aeb-63330fb78432,down,0.25,0.0,0,1,5.684341886080802e-14,6.400000000003002,6.399999999999053,-1.7978485315836266e-12,0.34383687983763983,0.34383687983763983
hard_zero--highs,r5-risk-2bd6d73b-e36e-4fd0-a816-4ecc435c6119,none,0.5,0.0,0,0,0.0,8.060000000000006,8.060000000000006,0.4999999999955194,0.5000000000023562,0.5000000000023562
hard_zero--highs,r5-risk-2bd6d73b-e36e-4fd0-a816-4ecc435c6119,up,0.25,0.0,0,0,0.0,12.060000000000006,12.060000000000004,0.2500000000068094,0.2499999999988219,0.2499999999988219
hard_zero--highs,r5-risk-2bd6d73b-e36e-4fd0-a816-4ecc435c6119,down,0.25,0.0,0,0,0.0,4.9600000000000035,4.9600000000000035,0.24999999999767086,0.2499999999988219,0.2499999999988219
hard_zero--clarabel,r5-risk-enum-e19a12e5-6fb1-490a-9f0c-97013cac8a15,none,0.5,0.0,0,0,0.0,8.060000000035114,8.060000000035052,0.49999999999551925,0.5000000000023562,0.5000000000023562
hard_zero--clarabel,r5-risk-enum-e19a12e5-6fb1-490a-9f0c-97013cac8a15,up,0.25,0.0,0,0,0.0,12.0600000000274,12.060000000021219,0.2500000000068098,0.2499999999988219,0.2499999999988219
hard_zero--clarabel,r5-risk-enum-e19a12e5-6fb1-490a-9f0c-97013cac8a15,down,0.25,0.0,0,0,0.0,4.960000000036095,4.96000000002161,0.24999999999767064,0.2499999999988219,0.2499999999988219
quarter--highs,r5-risk-10f35733-3ccf-46e1-883a-89d7a8d5a506,none,0.5,0.0,0,0,0.0,2.0150000000000015,2.0150000000000015,0.49999999999274747,0.5000000000023562,0.5000000000023562
quarter--highs,r5-risk-10f35733-3ccf-46e1-883a-89d7a8d5a506,up,0.25,0.0,0,0,0.0,3.0150000000000015,3.015000000000001,0.25000000007987244,0.2499999999988219,0.2499999999988219
quarter--highs,r5-risk-10f35733-3ccf-46e1-883a-89d7a8d5a506,down,0.25,0.0,0,0,0.0,1.2400000000000009,1.2400000000000009,0.24999999992737923,0.2499999999988219,0.2499999999988219
quarter--clarabel,r5-risk-enum-4b5b8253-28c7-48a8-a848-f0d222af4860,none,0.5,0.0,0,1,5.684341886080802e-14,2.0150000000003456,2.0150000000003256,0.49999999999274747,0.5000000000023562,0.5000000000023562
quarter--clarabel,r5-risk-enum-4b5b8253-28c7-48a8-a848-f0d222af4860,up,0.25,0.0,0,1,5.684341886080802e-14,3.0150000000005113,3.015000000000168,0.25000000007987244,0.2499999999988219,0.2499999999988219
quarter--clarabel,r5-risk-enum-4b5b8253-28c7-48a8-a848-f0d222af4860,down,0.25,0.0,0,1,5.684341886080802e-14,1.2400000000015519,1.2400000000002018,0.24999999992737923,0.2499999999988219,0.2499999999988219
thermal_e000_r005--highs,r5-risk-31608050-7aca-4270-b3cc-4b3371c7d46d,none,0.5,0.0,0,0,0.0,8.059999999999889,8.059999999999889,0.4999999999843307,0.503831664909479,0.503831664909479
thermal_e000_r005--highs,r5-risk-31608050-7aca-4270-b3cc-4b3371c7d46d,up,0.25,0.0,0,0,0.0,12.059999999999885,12.059999999999887,0.3000000000398486,0.24808416754526053,0.24808416754526053
thermal_e000_r005--highs,r5-risk-31608050-7aca-4270-b3cc-4b3371c7d46d,down,0.25,0.0,0,0,0.0,4.959999999999939,4.959999999999932,0.1999999999758197,0.2480841675452605,0.2480841675452605
thermal_e000_r005--clarabel,r5-risk-enum-230f3a21-1bea-421f-aa8a-15894bf1881a,none,0.5,0.0,0,0,0.0,8.060000000006946,8.060000000006864,0.49999999998433065,0.503831664909479,0.503831664909479
thermal_e000_r005--clarabel,r5-risk-enum-230f3a21-1bea-421f-aa8a-15894bf1881a,up,0.25,0.0,0,0,0.0,12.06000000000547,12.060000000003939,0.30000000003984856,0.24808416754526053,0.24808416754526053
thermal_e000_r005--clarabel,r5-risk-enum-230f3a21-1bea-421f-aa8a-15894bf1881a,down,0.25,0.0,0,0,0.0,4.960000000007561,4.960000000004314,0.19999999997581971,0.2480841675452605,0.2480841675452605
thermal_e025_r000--highs,r5-risk-be93d55a-a696-48b7-a024-f5a9da4d7731,none,0.5,0.0,0,0,0.0,8.059999999999889,8.059999999999889,0.49999999999723777,0.4999999999984273,0.4999999999984273
thermal_e025_r000--highs,r5-risk-be93d55a-a696-48b7-a024-f5a9da4d7731,up,0.25,0.0,0,0,0.0,12.059999999999889,12.059999999999887,0.25000000000398176,0.24999999998022243,0.24999999998022243
thermal_e025_r000--highs,r5-risk-be93d55a-a696-48b7-a024-f5a9da4d7731,down,0.25,1.0,1,1,1.0,5.982399999999931,5.982399999999931,0.24999999999878036,0.25000000002135025,0.25000000002135025
thermal_e025_r000--clarabel,r5-risk-enum-08cd812b-46ec-41ef-91d9-84e3b8b14f4e,none,0.5,0.0,0,1,5.684341886080802e-14,8.060000000007573,8.06000000000756,0.49999999999723754,0.4999999999984273,0.4999999999984273
thermal_e025_r000--clarabel,r5-risk-enum-08cd812b-46ec-41ef-91d9-84e3b8b14f4e,up,0.25,0.0,0,1,5.684341886080802e-14,12.060000000005132,12.060000000004715,0.2500000000039818,0.24999999998022243,0.24999999998022243
thermal_e025_r000--clarabel,r5-risk-enum-08cd812b-46ec-41ef-91d9-84e3b8b14f4e,down,0.25,1.0,1,1,0.9999999999999432,5.982400000004981,5.982400000004607,0.24999999999878028,0.25000000002135025,0.25000000002135025
thermal_e025_r005--highs,r5-risk-d9fb7e90-e5a7-4161-9268-e559fdbe5e98,none,0.5,0.0,0,0,0.0,8.059999999999889,8.059999999999889,0.4999999999843307,0.503831664909479,0.503831664909479
thermal_e025_r005--highs,r5-risk-d9fb7e90-e5a7-4161-9268-e559fdbe5e98,up,0.25,0.0,0,0,0.0,12.059999999999885,12.059999999999887,0.3000000000398486,0.24808416754526053,0.24808416754526053
thermal_e025_r005--highs,r5-risk-d9fb7e90-e5a7-4161-9268-e559fdbe5e98,down,0.25,0.0,0,0,0.0,4.959999999999939,4.959999999999932,0.1999999999758197,0.2480841675452605,0.2480841675452605
thermal_e025_r005--clarabel,r5-risk-enum-915983bd-1baf-467f-8c23-651014ee31da,none,0.5,0.0,0,1,5.684341886080802e-14,8.060000000006857,8.06000000000683,0.4999999999843307,0.503831664909479,0.503831664909479
thermal_e025_r005--clarabel,r5-risk-enum-915983bd-1baf-467f-8c23-651014ee31da,up,0.25,0.0,0,1,5.684341886080802e-14,12.06000000000454,12.060000000003969,0.30000000003984817,0.24808416754526053,0.24808416754526053
thermal_e025_r005--clarabel,r5-risk-enum-915983bd-1baf-467f-8c23-651014ee31da,down,0.25,0.0,0,1,5.684341886080802e-14,4.960000000006079,4.960000000004237,0.19999999997582013,0.2480841675452605,0.2480841675452605
thermal_e030_r005--highs,r5-risk-df39ecaf-bd33-497b-bb65-8d2f95f9a7b8,none,0.5,0.0,0,0,0.0,8.059999999999889,8.059999999999889,0.49999999997548833,0.46849212493580894,0.46849212493580894
thermal_e030_r005--highs,r5-risk-df39ecaf-bd33-497b-bb65-8d2f95f9a7b8,up,0.25,0.0,0,0,0.0,12.059999999999889,12.059999999999887,0.3000000000162908,0.23150787503596168,0.23150787503596168
