record_id,run_id,scenario,building,t,dt_h,room_K,comfort_lower_K,comfort_upper_K,heat_MW,import_MW,request_MW,delivered_MW,mismatch_MW
future_hard--clarabel,r5-risk-enum-d0a6d0e2-901e-492f-9e68-dae3c57b732c,up,building,2,1.0,294.1499999998652,292.15,294.15,0.03900000000079647,0.001549354522427993,0.07999999999526934,0.07999999999526844,9.020562075079397e-16
future_hard--clarabel,r5-risk-enum-d0a6d0e2-901e-492f-9e68-dae3c57b732c,up,building,3,1.0,294.14999999988515,292.15,294.15,0.035999999999979056,2.775470372836292e-13,2.420210713065009e-13,2.328353303024316e-13,9.185741004069298e-15
future_hard--clarabel,r5-risk-enum-d0a6d0e2-901e-492f-9e68-dae3c57b732c,up,building,4,1.0,293.15000000000003,292.15,294.15,0.010000000002221397,0.04517546096544934,1.4800937601788829e-12,1.46613970963827e-12,1.3954050540612888e-14
future_hard--clarabel,r5-risk-enum-d0a6d0e2-901e-492f-9e68-dae3c57b732c,down,building,1,1.0,292.54610609731475,292.15,294.15,0.013110440236891854,0.10800000000248404,-1.7756011933350713e-13,-1.482147737874584e-13,2.934534554604873e-14
future_hard--clarabel,r5-risk-enum-d0a6d0e2-901e-492f-9e68-dae3c57b732c,down,building,2,1.0,292.2834342723407,292.15,294.15,0.022146866317386164,0.08154935451830496,-6.150457608730776e-13,-6.085271175848561e-13,6.518643288221456e-15
future_hard--clarabel,r5-risk-enum-d0a6d0e2-901e-492f-9e68-dae3c57b732c,down,building,3,1.0,292.58424867654196,292.15,294.15,0.03131903411349749,8.621983085061317e-13,-3.6806529378806023e-13,-3.518159409200709e-13,1.6249352867989306e-14
future_hard--clarabel,r5-risk-enum-d0a6d0e2-901e-492f-9e68-dae3c57b732c,down,building,4,1.0,293.15000000000003,292.15,294.15,0.03531502646900718,0.04517546097402914,-7.117673570827881e-12,-7.11366382466494e-12,4.009746162941336e-15
hard_r020--highs,r5-risk-03af27be-8fde-4133-ab7f-b22d9fd05b2b,none,building,1,1.0,293.15,293.15,293.15,0.041999999999999885,0.08,0.0,0.0,0.0
hard_r020--highs,r5-risk-03af27be-8fde-4133-ab7f-b22d9fd05b2b,up,building,1,1.0,293.15,293.15,293.15,0.041999999999999885,0.0,0.08,0.08,0.0
hard_r020--highs,r5-risk-03af27be-8fde-4133-ab7f-b22d9fd05b2b,down,building,1,1.0,293.15,293.15,293.15,0.041999999999999885,0.14200000000000004,-0.062000000000000034,-0.06200000000000004,6.938893903907228e-18
