equation,scope,entity,t,residual,unit,tolerance,pass
3-17,model,28,12,8.326672684688674e-17,MW,6.1e-5,true
3-17-original,physics,28,12,8.326672684688674e-17,MW,6.1e-5,true
3-19:20,model,28,12,1.6653345369377348e-16,MW,6.1e-5,true
3-38,model,28,12,0.0,K,0.0001,true
3-41,model,28,12,0.0,K,0.0001,true
3-41,model,28,12,0.0,K,0.0001,true
3-24,model,28,12,0.0,kPa,0.005199261864978687,true
3-41,model,28,12,0.0,K,0.0001,true
3-41,model,28,12,0.0,K,0.0001,true
3-24,model,28,12,0.0,kPa,0.005199261864978687,true
3-24-order,model,28,12,0.0,normalized,1.0e-6,true
3-21,model,28,13,0.0,kg/s,2.947222222222222e-5,true
3-43,model,28,13,0.0,kg/s,2.947222222222222e-5,true
3-17,model,28,13,8.326672684688674e-17,MW,6.1e-5,true
3-17-original,physics,28,13,8.326672684688674e-17,MW,6.1e-5,true
3-19:20,model,28,13,8.326672684688674e-17,MW,6.1e-5,true
3-38,model,28,13,0.0,K,0.0001,true
3-41,model,28,13,0.0,K,0.0001,true
3-41,model,28,13,0.0,K,0.0001,true
3-24,model,28,13,0.0,kPa,0.005199261864978687,true
3-41,model,28,13,0.0,K,0.0001,true
3-41,model,28,13,0.0,K,0.0001,true
3-24,model,28,13,0.0,kPa,0.005199261864978687,true
3-24-order,model,28,13,0.0,normalized,1.0e-6,true
3-21,model,28,14,0.0,kg/s,2.947222222222222e-5,true
3-43,model,28,14,0.0,kg/s,2.947222222222222e-5,true
3-17,model,28,14,8.326672684688674e-17,MW,6.1e-5,true
3-17-original,physics,28,14,8.326672684688674e-17,MW,6.1e-5,true
3-19:20,model,28,14,8.326672684688674e-17,MW,6.1e-5,true
3-38,model,28,14,0.0,K,0.0001,true
3-41,model,28,14,0.0,K,0.0001,true
3-41,model,28,14,0.0,K,0.0001,true
3-24,model,28,14,0.0,kPa,0.005199261864978687,true
3-41,model,28,14,0.0,K,0.0001,true
3-41,model,28,14,0.0,K,0.0001,true
3-24,model,28,14,0.0,kPa,0.005199261864978687,true
3-24-order,model,28,14,0.0,normalized,1.0e-6,true
3-21,model,28,15,0.0,kg/s,2.947222222222222e-5,true
3-43,model,28,15,0.0,kg/s,2.947222222222222e-5,true
3-17,model,28,15,8.326672684688674e-17,MW,6.1e-5,true
3-17-original,physics,28,15,8.326672684688674e-17,MW,6.1e-5,true
3-19:20,model,28,15,8.326672684688674e-17,MW,6.1e-5,true
3-38,model,28,15,0.0,K,0.0001,true
3-41,model,28,15,0.0,K,0.0001,true
3-41,model,28,15,0.0,K,0.0001,true
3-24,model,28,15,0.0,kPa,0.005199261864978687,true
3-41,model,28,15,0.0,K,0.0001,true
3-41,model,28,15,0.0,K,0.0001,true
3-24,model,28,15,0.0,kPa,0.005199261864978687,true
3-24-order,model,28,15,0.0,normalized,1.0e-6,true
3-21,model,28,16,0.0,kg/s,2.947222222222222e-5,true
3-43,model,28,16,0.0,kg/s,2.947222222222222e-5,true
3-17,model,28,16,1.1102230246251565e-16,MW,6.1e-5,true
3-17-original,physics,28,16,1.1102230246251565e-16,MW,6.1e-5,true
3-19:20,model,28,16,1.1102230246251565e-16,MW,6.1e-5,true
3-38,model,28,16,0.0,K,0.0001,true
3-41,model,28,16,0.0,K,0.0001,true
3-41,model,28,16,0.0,K,0.0001,true
3-24,model,28,16,0.0,kPa,0.005199261864978687,true
3-41,model,28,16,0.0,K,0.0001,true
3-41,model,28,16,0.0,K,0.0001,true
3-24,model,28,16,0.0,kPa,0.005199261864978687,true
3-24-order,model,28,16,0.0,normalized,1.0e-6,true
3-21,model,28,17,0.0,kg/s,2.947222222222222e-5,true
3-43,model,28,17,0.0,kg/s,2.947222222222222e-5,true
3-17,model,28,17,5.551115123125783e-17,MW,6.1e-5,true
3-17-original,physics,28,17,5.551115123125783e-17,MW,6.1e-5,true
3-19:20,model,28,17,1.942890293094024e-16,MW,6.1e-5,true
3-38,model,28,17,0.0,K,0.0001,true
3-41,model,28,17,0.0,K,0.0001,true
3-41,model,28,17,0.0,K,0.0001,true
3-24,model,28,17,0.0,kPa,0.005199261864978687,true
3-41,model,28,17,0.0,K,0.0001,true
3-41,model,28,17,0.0,K,0.0001,true
3-24,model,28,17,0.0,kPa,0.005199261864978687,true
3-24-order,model,28,17,0.0,normalized,1.0e-6,true
3-21,model,28,18,0.0,kg/s,2.947222222222222e-5,true
3-43,model,28,18,0.0,kg/s,2.947222222222222e-5,true
3-17,model,28,18,1.6653345369377348e-16,MW,6.1e-5,true
