method,equation,scope,entity,t,residual,unit,tolerance,pass
fixed-mip-central,R9-T4-P,model,23,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,23,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,23,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,23,13,4.2815821417810374e-17,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,23,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,23,13,1.0034178071500598e-11,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,24,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,24,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,24,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,24,13,9.867129154212707e-16,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,24,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,24,13,3.19919332995508e-11,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,25,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,25,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,25,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,25,13,1.6213057643394563e-17,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,25,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,25,13,1.0109366394407768e-11,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,26,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,26,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,26,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,26,13,6.1409888675936775e-18,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,26,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,26,13,1.0141289195941035e-11,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,27,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,27,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,27,13,0.0,pu²,1.0e-6,true
