record_id,run_id,t,energy_bid,up_bid,down_bid,energy_price,up_price,down_price,P_DA_MW,R_up_MW,R_down_MW
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,3,65.0,100.0,100.0,65.0,100.0,100.0,0.08,0.08,0.08
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,4,65.0,100.0,100.0,65.0,100.0,100.0,0.08,0.08,0.08
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,5,70.0,100.0,100.0,70.0,100.0,100.0,0.08,0.08,0.08
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,6,80.0,100.0,100.0,80.0,100.0,100.0,0.08,0.08,0.08
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,7,100.0,100.0,100.0,100.0,100.0,100.0,0.08,0.08,0.08
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,8,120.0,100.0,100.0,120.0,100.0,100.0,0.08,0.08,0.08
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,9,110.0,100.0,100.0,110.0,100.0,100.0,0.08,0.08,0.08
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,10,100.0,100.0,100.0,100.0,100.0,100.0,0.08,0.08,0.08
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,11,95.0,100.0,100.0,95.0,100.0,100.0,0.08,0.08,0.08
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,12,90.0,100.0,100.0,90.0,100.0,100.0,0.08,0.08,0.08
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,13,90.0,100.0,100.0,90.0,100.0,100.0,0.08,0.08,0.08
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,14,90.0,100.0,100.0,90.0,100.0,100.0,0.08,0.08,0.08
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,15,95.0,100.0,100.0,95.0,100.0,100.0,0.08,0.08,0.08
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,16,110.0,100.0,100.0,110.0,100.0,100.0,0.08217275997809398,0.08,0.08
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,17,130.0,100.0,100.0,130.0,100.0,100.0,0.08,0.08,0.08
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,18,150.0,100.0,100.0,150.0,100.0,100.0,0.08,0.08,0.08
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,19,150.0,100.0,100.0,150.0,100.0,100.0,0.08,0.08,0.08
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,20,140.0,100.0,100.0,140.0,100.0,100.0,0.08,0.08,0.08
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,21,120.0,100.0,100.0,120.0,100.0,100.0,0.12924567187744043,0.08,0.08
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,22,100.0,100.0,100.0,100.0,100.0,100.0,0.08721376127196842,0.08,0.08
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,23,85.0,100.0,100.0,85.0,100.0,100.0,0.11705989000971757,0.08,0.08
SP,r5-strategic-15f4a107-2a5b-4422-898b-3fc979c6928f,24,75.0,100.0,100.0,75.0,100.0,100.0,0.10198894280762733,0.08,0.08
RO,r5-strategic-51e79424-a4a7-4607-8001-577e73c2f109,1,70.0,100.0,100.0,70.0,100.0,100.0,0.08660391052617888,0.08,0.08
RO,r5-strategic-51e79424-a4a7-4607-8001-577e73c2f109,2,65.0,100.0,100.0,65.0,100.0,100.0,0.08,0.08,0.08
RO,r5-strategic-51e79424-a4a7-4607-8001-577e73c2f109,3,65.0,100.0,100.0,65.0,100.0,100.0,0.08,0.08,0.08
RO,r5-strategic-51e79424-a4a7-4607-8001-577e73c2f109,4,65.0,100.0,100.0,65.0,100.0,100.0,0.08,0.08,0.08
RO,r5-strategic-51e79424-a4a7-4607-8001-577e73c2f109,5,70.0,100.0,100.0,70.0,100.0,100.0,0.08,0.08,0.08
RO,r5-strategic-51e79424-a4a7-4607-8001-577e73c2f109,6,80.0,100.0,100.0,80.0,100.0,100.0,0.08,0.08,0.08
RO,r5-strategic-51e79424-a4a7-4607-8001-577e73c2f109,7,100.0,100.0,100.0,100.0,100.0,100.0,0.08,0.08,0.08
RO,r5-strategic-51e79424-a4a7-4607-8001-577e73c2f109,8,120.0,100.0,100.0,120.0,100.0,100.0,0.08,0.08,0.08
RO,r5-strategic-51e79424-a4a7-4607-8001-577e73c2f109,9,110.0,100.0,100.0,110.0,100.0,100.0,0.07267558918393549,0.07267558918393549,0.08
RO,r5-strategic-51e79424-a4a7-4607-8001-577e73c2f109,10,100.0,100.0,100.0,100.0,100.0,100.0,0.08,0.08,0.08
RO,r5-strategic-51e79424-a4a7-4607-8001-577e73c2f109,11,95.0,100.0,100.0,95.0,100.0,100.0,0.08,0.08,0.08
RO,r5-strategic-51e79424-a4a7-4607-8001-577e73c2f109,12,90.0,100.0,100.0,90.0,100.0,100.0,0.08,0.08,0.08
