stage,name,equation,scope,entity,t,residual,unit,tolerance,pass
2,diagnostic,3-17,relaxed,1,4,2.2497281815248016e-13,MW,3.0e-6,true
2,diagnostic,3-17-original,physics,1,4,2.2497281815248016e-13,MW,3.0e-6,true
2,diagnostic,3-19:20,model,1,4,4.163336342344337e-17,MW,3.0e-6,true
2,diagnostic,3-37,model,1,4,0.0,K,0.0001,true
2,diagnostic,3-41,model,1,4,0.0,K,0.0001,true
2,diagnostic,3-41,model,1,4,0.0,K,0.0001,true
2,diagnostic,3-24,model,1,4,0.0,kPa,0.001,true
2,diagnostic,3-41,model,1,4,0.0,K,0.0001,true
2,diagnostic,3-41,model,1,4,0.0,K,0.0001,true
2,diagnostic,3-24,model,1,4,0.0,kPa,0.001,true
2,diagnostic,3-24-order,model,1,4,0.0,normalized,1.0e-6,true
2,diagnostic,3-21,model,2,1,0.0,kg/s,2.4999999999999998e-6,true
2,diagnostic,3-43,model,2,1,0.0,kg/s,2.4999999999999998e-6,true
2,diagnostic,3-17,relaxed,2,1,0.06760963020384374,MW,3.0e-6,false
2,diagnostic,3-17-original,physics,2,1,0.06760963020384374,MW,3.0e-6,false
2,diagnostic,3-19:20,model,2,1,0.0,MW,3.0e-6,true
2,diagnostic,3-38,model,2,1,0.0,K,0.0001,true
2,diagnostic,R2-load-return,model,2,1,0.0,K,0.0001,true
2,diagnostic,3-41,model,2,1,0.0,K,0.0001,true
2,diagnostic,3-41,model,2,1,0.0,K,0.0001,true
2,diagnostic,3-24,model,2,1,0.0,kPa,0.001,true
2,diagnostic,3-41,model,2,1,0.0,K,0.0001,true
2,diagnostic,3-41,model,2,1,0.0,K,0.0001,true
2,diagnostic,3-24,model,2,1,0.0,kPa,0.001,true
2,diagnostic,3-24-order,model,2,1,0.0,normalized,1.0e-6,true
2,diagnostic,3-21,model,2,2,0.0,kg/s,2.4999999999999998e-6,true
2,diagnostic,3-43,model,2,2,0.0,kg/s,2.4999999999999998e-6,true
2,diagnostic,3-17,relaxed,2,2,0.057498522902769855,MW,3.0e-6,false
2,diagnostic,3-17-original,physics,2,2,0.057498522902769855,MW,3.0e-6,false
2,diagnostic,3-19:20,model,2,2,0.0,MW,3.0e-6,true
2,diagnostic,3-38,model,2,2,0.0,K,0.0001,true
2,diagnostic,R2-load-return,model,2,2,0.0,K,0.0001,true
2,diagnostic,3-41,model,2,2,0.0,K,0.0001,true
2,diagnostic,3-41,model,2,2,0.0,K,0.0001,true
2,diagnostic,3-24,model,2,2,0.0,kPa,0.001,true
2,diagnostic,3-41,model,2,2,0.0,K,0.0001,true
2,diagnostic,3-41,model,2,2,0.0,K,0.0001,true
2,diagnostic,3-24,model,2,2,0.0,kPa,0.001,true
2,diagnostic,3-24-order,model,2,2,0.0,normalized,1.0e-6,true
2,diagnostic,3-21,model,2,3,0.0,kg/s,2.4999999999999998e-6,true
2,diagnostic,3-43,model,2,3,0.0,kg/s,2.4999999999999998e-6,true
2,diagnostic,3-17,relaxed,2,3,0.0674985229028058,MW,3.0e-6,false
2,diagnostic,3-17-original,physics,2,3,0.0674985229028058,MW,3.0e-6,false
2,diagnostic,3-19:20,model,2,3,0.0,MW,3.0e-6,true
2,diagnostic,3-38,model,2,3,0.0,K,0.0001,true
2,diagnostic,R2-load-return,model,2,3,0.0,K,0.0001,true
2,diagnostic,3-41,model,2,3,0.0,K,0.0001,true
2,diagnostic,3-41,model,2,3,0.0,K,0.0001,true
2,diagnostic,3-24,model,2,3,0.0,kPa,0.001,true
2,diagnostic,3-41,model,2,3,0.0,K,0.0001,true
2,diagnostic,3-41,model,2,3,0.0,K,0.0001,true
2,diagnostic,3-24,model,2,3,0.0,kPa,0.001,true
2,diagnostic,3-24-order,model,2,3,0.0,normalized,1.0e-6,true
2,diagnostic,3-21,model,2,4,0.0,kg/s,2.4999999999999998e-6,true
2,diagnostic,3-43,model,2,4,0.0,kg/s,2.4999999999999998e-6,true
2,diagnostic,3-17,relaxed,2,4,0.05749852290277033,MW,3.0e-6,false
2,diagnostic,3-17-original,physics,2,4,0.05749852290277033,MW,3.0e-6,false
2,diagnostic,3-19:20,model,2,4,0.0,MW,3.0e-6,true
2,diagnostic,3-38,model,2,4,0.0,K,0.0001,true
2,diagnostic,R2-load-return,model,2,4,0.0,K,0.0001,true
2,diagnostic,3-41,model,2,4,0.0,K,0.0001,true
2,diagnostic,3-41,model,2,4,0.0,K,0.0001,true
2,diagnostic,3-24,model,2,4,0.0,kPa,0.001,true
2,diagnostic,3-41,model,2,4,0.0,K,0.0001,true
2,diagnostic,3-41,model,2,4,0.0,K,0.0001,true
2,diagnostic,3-24,model,2,4,0.0,kPa,0.001,true
2,diagnostic,3-24-order,model,2,4,0.0,normalized,1.0e-6,true
2,diagnostic,3-35:36,relaxed,S1,1,7.958078640513122e-13,K,0.0001,true
2,diagnostic,mix-original,physics,S1,1,7.958078640513122e-13,K,0.0001,true
