record,run_id,scenario,quantity,index,time_h,value,unit
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","2","τ_S","1","4.0","342.15","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","1","τ_S","2","1.0","342.15","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","2","τ_S","2","1.0","342.15","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","1","τ_S","2","2.0","333.15","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","2","τ_S","2","2.0","342.19761904761907","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","1","τ_S","2","3.0","342.19761904761907","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","2","τ_S","2","3.0","342.19761904761907","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","1","τ_S","2","4.0","342.15","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","2","τ_S","2","4.0","342.15","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","1","τ_R","1","1.0","323.10238095238094","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","2","τ_R","1","1.0","323.10238095238094","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","1","τ_R","1","2.0","323.10238095238094","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","2","τ_R","1","2.0","323.10238095238094","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","1","τ_R","1","3.0","314.10238095238094","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","2","τ_R","1","3.0","323.15","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","1","τ_R","1","4.0","323.15","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","2","τ_R","1","4.0","323.15","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","1","τ_R","2","1.0","323.10238095238094","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","2","τ_R","2","1.0","323.10238095238094","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","1","τ_R","2","2.0","314.10238095238094","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","2","τ_R","2","2.0","323.15","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","1","τ_R","2","3.0","323.15","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","2","τ_R","2","3.0","323.15","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","1","τ_R","2","4.0","323.10238095238094","K"
"reserve_heat_limit_extensive_gurobi_n4","r7-linked-5c5018b9-69c5-4e5f-ad4c-3355f09bf359","2","τ_R","2","4.0","323.10238095238094","K"
