method,t,dt_h,P_grid_MW,grid_loss_MW,H_generation_MW,H_demand_and_charge_MW,heat_loss_MW,heat_balance_MW
equipment-fixed-central-exact,3,1.0,30.15202154747501,0.13893347266484873,8.799785220988685,8.389079843632322,0.41070537732049217,3.587097285873142e-11
equipment-fixed-central-exact,4,1.0,29.804637049626212,0.13565110920353368,8.8,8.389294620021603,0.41070537732049217,2.6579051182196167e-9
equipment-fixed-central-exact,5,1.0,30.499448036866475,0.1422758495802958,8.8,8.389294621333532,0.41070537732049217,1.3459767744805617e-9
equipment-fixed-central-exact,6,1.0,27.936963921988287,0.16292055795049415,9.014194773008327,8.60348939568106,0.41070537732049217,6.776024186194718e-12
equipment-fixed-central-exact,7,1.0,33.32930524237924,0.208437187328745,9.813504918898765,9.402799541597277,0.41070537732049217,-1.9004242624021117e-11
equipment-fixed-central-exact,8,1.0,37.983449231762236,0.2601147798648123,10.209637849159794,9.79893247159893,0.41070537732049217,2.4037227763784585e-10
equipment-fixed-central-exact,9,1.0,37.51968346037728,0.2923111272134683,9.68213900985348,9.271433632317876,0.41070537732049217,2.151107070247349e-10
equipment-fixed-central-exact,10,1.0,36.63095364073939,0.30207132016515115,8.887839675189824,8.47713429784659,0.41070537732049217,2.274191945872417e-11
equipment-fixed-central-exact,11,1.0,35.40451528517294,0.30117096618641037,8.291302354971743,7.880596977474176,0.41070537732049217,1.7707446620107703e-10
equipment-fixed-central-exact,12,1.0,32.691139701780706,0.27460458477719446,8.092422776930848,7.681717400018454,0.41070537732049217,-4.080983329046717e-10
equipment-fixed-central-exact,13,1.0,32.8632742281808,0.2567263697825171,8.666055895381328,8.255350521328733,0.41070537732049217,-3.267896953040861e-9
equipment-fixed-central-exact,14,1.0,31.939199605606646,0.24183550841347473,8.81060138596479,8.399896013150915,0.41070537732049217,-4.506618078714553e-9
equipment-fixed-central-exact,15,1.0,34.842897326157754,0.2636890580124667,9.010350866153798,8.59964549206104,0.41070537732049217,-3.227733524902021e-9
equipment-fixed-central-exact,16,1.0,39.06630101886193,0.2945195802874341,9.599463424939696,9.18875804919134,0.41070537732049217,-1.5721369761578785e-9
equipment-fixed-central-exact,17,1.0,42.6785074697064,0.3276470019822824,9.98299002493492,9.572284646279329,0.41070537732049217,1.335100141552914e-9
equipment-fixed-central-exact,18,1.0,42.95744339210823,0.34035717447551517,9.880598456115795,9.469893078594314,0.41070537732049217,2.009886701515029e-10
equipment-fixed-central-exact,19,1.0,41.51431771677096,0.3212898942329332,9.482871386035546,9.07216600845035,0.41070537732049217,2.647030372671111e-10
equipment-fixed-central-exact,20,1.0,37.9044068955685,0.2849811784185884,8.88751166267897,8.476806284899912,0.41070537732049217,4.585657409350574e-10
equipment-fixed-central-exact,21,1.0,33.95043109895123,0.24025440578555607,8.489804067931388,8.079098691119116,0.41070537732049217,-5.082200216222077e-10
equipment-fixed-central-exact,22,1.0,38.56076580605131,0.2238962145710477,8.8,8.389294629294252,0.41070537732049217,-6.6147433086527485e-9
equipment-fixed-central-exact,23,1.0,36.57261823902219,0.20220201694908743,9.00022154567922,8.589516168336495,0.41070537732049217,2.2233881402655697e-11
