run_id,parent,band,stage,node,t,mass_balance_min_kg_s,mass_balance_max_kg_s,gap_kg_s,materially_excludes_zero
open--fixed--exact--reference20--free_envelope,open--fixed--exact,reference20,free_envelope,2,1,-21.318471847805576,2.374913058689112,0.0,false
open--fixed--exact--reference20--free_envelope,open--fixed--exact,reference20,free_envelope,3,1,-4.473816777681633,8.99842236695071,0.0,false
open--fixed--exact--reference20--free_envelope,open--fixed--exact,reference20,free_envelope,1,2,-9.542913603130444,1.0284677182700181,0.0,false
open--fixed--exact--reference20--free_envelope,open--fixed--exact,reference20,free_envelope,2,2,-12.28427331267179,10.243979071050056,0.0,false
open--fixed--exact--reference20--free_envelope,open--fixed--exact,reference20,free_envelope,3,2,-5.481943374749833,10.534046082926697,0.0,false
open--fixed--exact--reference20--free_envelope,open--fixed--exact,reference20,free_envelope,1,3,0.007526913875598088,10.000003588516746,0.007526913875598088,true
open--fixed--exact--reference20--free_envelope,open--fixed--exact,reference20,free_envelope,2,3,-21.70772181042661,1.5785595113694164,0.0,false
open--fixed--exact--reference20--free_envelope,open--fixed--exact,reference20,free_envelope,3,3,-4.415454713073287,10.082039334457303,0.0,false
open--fixed--exact--reference20--free_envelope,open--fixed--exact,reference20,free_envelope,1,4,0.007526913875598088,10.000003588516746,0.007526913875598088,true
open--fixed--exact--reference20--free_envelope,open--fixed--exact,reference20,free_envelope,2,4,-21.318469147351376,2.3749133962458737,0.0,false
open--fixed--exact--reference20--free_envelope,open--fixed--exact,reference20,free_envelope,3,4,-4.473814639821541,8.99842034160981,0.0,false
open--electric--socp--reference10--fixed_envelope,open--electric--socp,reference10,fixed_envelope,1,1,0.01506708181818182,2.2e-6,0.01506708181818182,true
open--electric--socp--reference10--fixed_envelope,open--electric--socp,reference10,fixed_envelope,2,1,-4.400000000126525e-6,-0.015064881818182219,0.015064881818182219,true
open--electric--socp--reference10--fixed_envelope,open--electric--socp,reference10,fixed_envelope,3,1,-3.2999999999283602e-6,3.2999999999283602e-6,0.0,false
open--electric--socp--reference10--fixed_envelope,open--electric--socp,reference10,fixed_envelope,1,2,-3.2999999999283602e-6,2.19999999995224e-6,0.0,false
open--electric--socp--reference10--fixed_envelope,open--electric--socp,reference10,fixed_envelope,2,2,-4.400000000015503e-6,4.399999999793458e-6,0.0,false
open--electric--socp--reference10--fixed_envelope,open--electric--socp,reference10,fixed_envelope,3,2,-3.2999999999283602e-6,3.2999999999283602e-6,0.0,false
open--electric--socp--reference10--fixed_envelope,open--electric--socp,reference10,fixed_envelope,1,3,0.01506708181818182,2.2e-6,0.01506708181818182,true
open--electric--socp--reference10--fixed_envelope,open--electric--socp,reference10,fixed_envelope,2,3,0.0018554688137559783,-0.015064881818181997,0.015064881818181997,true
open--electric--socp--reference10--fixed_envelope,open--electric--socp,reference10,fixed_envelope,3,3,-3.2999999999283602e-6,-0.0018565688137557324,0.0018565688137557324,true
open--electric--socp--reference10--fixed_envelope,open--electric--socp,reference10,fixed_envelope,1,4,0.01506708181818182,2.2e-6,0.01506708181818182,true
open--electric--socp--reference10--fixed_envelope,open--electric--socp,reference10,fixed_envelope,2,4,-4.39999999990448e-6,-0.015064881818181997,0.015064881818181997,true
open--electric--socp--reference10--fixed_envelope,open--electric--socp,reference10,fixed_envelope,3,4,-3.2999999999283602e-6,3.2999999999283602e-6,0.0,false
open--electric--socp--reference10--free_envelope,open--electric--socp,reference10,free_envelope,1,1,0.015064593301435409,7.177033492822967e-6,0.015064593301435409,true
open--electric--socp--reference10--free_envelope,open--electric--socp,reference10,free_envelope,2,1,-2.349294121358537,2.1750030488291565,0.0,false
open--electric--socp--reference10--free_envelope,open--electric--socp,reference10,free_envelope,3,1,-1.7078794947600044,1.286296881835554,0.0,false
open--electric--socp--reference10--free_envelope,open--electric--socp,reference10,free_envelope,1,2,-0.8939512064600985,0.915478735469436,0.0,false
open--electric--socp--reference10--free_envelope,open--electric--socp,reference10,free_envelope,2,2,-1.727578777408391,1.5016648651232514,0.0,false
open--electric--socp--reference10--free_envelope,open--electric--socp,reference10,free_envelope,3,2,-2.1516680619302284,1.6191383072132217,0.0,false
open--electric--socp--reference10--free_envelope,open--electric--socp,reference10,free_envelope,1,3,0.015064593301435409,7.177033492822967e-6,0.015064593301435409,true
open--electric--socp--reference10--free_envelope,open--electric--socp,reference10,free_envelope,2,3,-1.6419222958449395,1.4643847919420616,0.0,false
open--electric--socp--reference10--free_envelope,open--electric--socp,reference10,free_envelope,3,3,-1.7208098919494503,1.295994723504796,0.0,false
open--electric--socp--reference10--free_envelope,open--electric--socp,reference10,free_envelope,1,4,0.015064593301435409,7.177033492822967e-6,0.015064593301435409,true
open--electric--socp--reference10--free_envelope,open--electric--socp,reference10,free_envelope,2,4,-2.3492941216701846,2.1749952232502254,0.0,false
open--electric--socp--reference10--free_envelope,open--electric--socp,reference10,free_envelope,3,4,-1.7078711445243324,1.2862906191587997,0.0,false
open--electric--socp--reference20--fixed_envelope,open--electric--socp,reference20,fixed_envelope,1,1,0.00753299090909091,2.2e-6,0.00753299090909091,true
open--electric--socp--reference20--fixed_envelope,open--electric--socp,reference20,fixed_envelope,2,1,-4.400000000126525e-6,-0.007530790909091145,0.007530790909091145,true
open--electric--socp--reference20--fixed_envelope,open--electric--socp,reference20,fixed_envelope,3,1,-3.2999999999283602e-6,3.2999999999283602e-6,0.0,false
open--electric--socp--reference20--fixed_envelope,open--electric--socp,reference20,fixed_envelope,1,2,-3.2999999999283602e-6,2.19999999995224e-6,0.0,false
open--electric--socp--reference20--fixed_envelope,open--electric--socp,reference20,fixed_envelope,2,2,-4.400000000015503e-6,4.399999999793458e-6,0.0,false
open--electric--socp--reference20--fixed_envelope,open--electric--socp,reference20,fixed_envelope,3,2,-3.2999999999283602e-6,3.2999999999283602e-6,0.0,false
open--electric--socp--reference20--fixed_envelope,open--electric--socp,reference20,fixed_envelope,1,3,0.00753299090909091,2.2e-6,0.00753299090909091,true
open--electric--socp--reference20--fixed_envelope,open--electric--socp,reference20,fixed_envelope,2,3,-4.39999999990448e-6,-0.007530790909090923,0.007530790909090923,true
open--electric--socp--reference20--fixed_envelope,open--electric--socp,reference20,fixed_envelope,3,3,-3.2999999999283602e-6,3.2999999999283602e-6,0.0,false
open--electric--socp--reference20--fixed_envelope,open--electric--socp,reference20,fixed_envelope,1,4,0.00753299090909091,2.2e-6,0.00753299090909091,true
open--electric--socp--reference20--fixed_envelope,open--electric--socp,reference20,fixed_envelope,2,4,-4.39999999990448e-6,-0.007530790909090923,0.007530790909090923,true
open--electric--socp--reference20--fixed_envelope,open--electric--socp,reference20,fixed_envelope,3,4,-3.2999999999283602e-6,3.2999999999283602e-6,0.0,false
open--electric--socp--reference20--free_envelope,open--electric--socp,reference20,free_envelope,1,1,0.007526913875598088,10.000003588516746,0.007526913875598088,true
open--electric--socp--reference20--free_envelope,open--electric--socp,reference20,free_envelope,2,1,-21.317317101539324,2.375057256203183,0.0,false
open--electric--socp--reference20--free_envelope,open--electric--socp,reference20,free_envelope,3,1,-4.472979020829062,8.997579407701302,0.0,false
