run_id,parent,case,policy,electric,band,stage,status,saved,termination,independent_checked,pass,detailed_temperature_pass,parent_model_A1,parent_electric_A1,operating_cost,cost_change,max_mass_change_kg_s,max_normalized_residual,elapsed_sec,input_sha256
open--heat--socp--reference10--fixed_mixing,open--heat--socp,open,heat,socp,reference10,fixed_mixing,necessary_condition_infeasible,false,NOT_SOLVED,false,false,false,true,false,164.86479228769474,NaN,NaN,NaN,0.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--heat--socp--reference10--free_mixing,open--heat--socp,open,heat,socp,reference10,free_mixing,necessary_condition_infeasible,false,NOT_SOLVED,false,false,false,true,false,164.86479228769474,NaN,NaN,NaN,0.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--heat--socp--reference20--fixed_envelope,open--heat--socp,open,heat,socp,reference20,fixed_envelope,solver_infeasible,true,INFEASIBLE,false,false,false,true,false,164.86479228769474,0.0,NaN,NaN,0.054000139236450195,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--heat--socp--reference20--free_envelope,open--heat--socp,open,heat,socp,reference20,free_envelope,solver_infeasible,true,INFEASIBLE,false,false,false,true,false,164.86479228769474,0.0,NaN,NaN,0.05299997329711914,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--heat--socp--reference20--fixed_mixing,open--heat--socp,open,heat,socp,reference20,fixed_mixing,necessary_condition_infeasible,false,NOT_SOLVED,false,false,false,true,false,164.86479228769474,NaN,NaN,NaN,0.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--heat--socp--reference20--free_mixing,open--heat--socp,open,heat,socp,reference20,free_mixing,necessary_condition_infeasible,false,NOT_SOLVED,false,false,false,true,false,164.86479228769474,NaN,NaN,NaN,0.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--heat--exact--reference10--fixed_envelope,open--heat--exact,open,heat,exact,reference10,fixed_envelope,solver_infeasible,true,INFEASIBLE,false,false,false,true,true,164.8647839793295,0.0,NaN,NaN,0.0559999942779541,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--heat--exact--reference10--free_envelope,open--heat--exact,open,heat,exact,reference10,free_envelope,solver_infeasible,true,INFEASIBLE,false,false,false,true,true,164.8647839793295,0.0,NaN,NaN,0.0559999942779541,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--heat--exact--reference10--fixed_mixing,open--heat--exact,open,heat,exact,reference10,fixed_mixing,necessary_condition_infeasible,false,NOT_SOLVED,false,false,false,true,true,164.8647839793295,NaN,NaN,NaN,0.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--heat--exact--reference10--free_mixing,open--heat--exact,open,heat,exact,reference10,free_mixing,necessary_condition_infeasible,false,NOT_SOLVED,false,false,false,true,true,164.8647839793295,NaN,NaN,NaN,0.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--heat--exact--reference20--fixed_envelope,open--heat--exact,open,heat,exact,reference20,fixed_envelope,solver_infeasible,true,INFEASIBLE,false,false,false,true,true,164.8647839793295,0.0,NaN,NaN,0.0559999942779541,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--heat--exact--reference20--free_envelope,open--heat--exact,open,heat,exact,reference20,free_envelope,solver_infeasible,true,INFEASIBLE,false,false,false,true,true,164.8647839793295,0.0,NaN,NaN,0.053999900817871094,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--heat--exact--reference20--fixed_mixing,open--heat--exact,open,heat,exact,reference20,fixed_mixing,necessary_condition_infeasible,false,NOT_SOLVED,false,false,false,true,true,164.8647839793295,NaN,NaN,NaN,0.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--heat--exact--reference20--free_mixing,open--heat--exact,open,heat,exact,reference20,free_mixing,necessary_condition_infeasible,false,NOT_SOLVED,false,false,false,true,true,164.8647839793295,NaN,NaN,NaN,0.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--joint--socp--reference10--fixed_envelope,open--joint--socp,open,joint,socp,reference10,fixed_envelope,solver_infeasible,true,INFEASIBLE,false,false,false,true,false,164.771089351673,0.0,NaN,NaN,0.05299997329711914,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--joint--socp--reference10--free_envelope,open--joint--socp,open,joint,socp,reference10,free_envelope,solver_infeasible,true,INFEASIBLE,false,false,false,true,false,164.771089351673,0.0,NaN,NaN,0.053999900817871094,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--joint--socp--reference10--fixed_mixing,open--joint--socp,open,joint,socp,reference10,fixed_mixing,necessary_condition_infeasible,false,NOT_SOLVED,false,false,false,true,false,164.771089351673,NaN,NaN,NaN,0.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--joint--socp--reference10--free_mixing,open--joint--socp,open,joint,socp,reference10,free_mixing,necessary_condition_infeasible,false,NOT_SOLVED,false,false,false,true,false,164.771089351673,NaN,NaN,NaN,0.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--joint--socp--reference20--fixed_envelope,open--joint--socp,open,joint,socp,reference20,fixed_envelope,solver_infeasible,true,INFEASIBLE,false,false,false,true,false,164.771089351673,0.0,NaN,NaN,0.06100010871887207,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--joint--socp--reference20--free_envelope,open--joint--socp,open,joint,socp,reference20,free_envelope,solver_infeasible,true,INFEASIBLE,false,false,false,true,false,164.771089351673,0.0,NaN,NaN,0.051000118255615234,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--joint--socp--reference20--fixed_mixing,open--joint--socp,open,joint,socp,reference20,fixed_mixing,necessary_condition_infeasible,false,NOT_SOLVED,false,false,false,true,false,164.771089351673,NaN,NaN,NaN,0.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--joint--socp--reference20--free_mixing,open--joint--socp,open,joint,socp,reference20,free_mixing,necessary_condition_infeasible,false,NOT_SOLVED,false,false,false,true,false,164.771089351673,NaN,NaN,NaN,0.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--joint--exact--reference10--fixed_envelope,open--joint--exact,open,joint,exact,reference10,fixed_envelope,solver_infeasible,true,INFEASIBLE,false,false,false,true,true,164.7710725739141,0.0,NaN,NaN,0.053999900817871094,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--joint--exact--reference10--free_envelope,open--joint--exact,open,joint,exact,reference10,free_envelope,solver_infeasible,true,INFEASIBLE,false,false,false,true,true,164.7710725739141,0.0,NaN,NaN,0.053999900817871094,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--joint--exact--reference10--fixed_mixing,open--joint--exact,open,joint,exact,reference10,fixed_mixing,necessary_condition_infeasible,false,NOT_SOLVED,false,false,false,true,true,164.7710725739141,NaN,NaN,NaN,0.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--joint--exact--reference10--free_mixing,open--joint--exact,open,joint,exact,reference10,free_mixing,necessary_condition_infeasible,false,NOT_SOLVED,false,false,false,true,true,164.7710725739141,NaN,NaN,NaN,0.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--joint--exact--reference20--fixed_envelope,open--joint--exact,open,joint,exact,reference20,fixed_envelope,solver_infeasible,true,INFEASIBLE,false,false,false,true,true,164.7710725739141,0.0,NaN,NaN,0.053999900817871094,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--joint--exact--reference20--free_envelope,open--joint--exact,open,joint,exact,reference20,free_envelope,solver_infeasible,true,INFEASIBLE,false,false,false,true,true,164.7710725739141,0.0,NaN,NaN,0.0559999942779541,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--joint--exact--reference20--fixed_mixing,open--joint--exact,open,joint,exact,reference20,fixed_mixing,necessary_condition_infeasible,false,NOT_SOLVED,false,false,false,true,true,164.7710725739141,NaN,NaN,NaN,0.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
open--joint--exact--reference20--free_mixing,open--joint--exact,open,joint,exact,reference20,free_mixing,necessary_condition_infeasible,false,NOT_SOLVED,false,false,false,true,true,164.7710725739141,NaN,NaN,NaN,0.0,b7be25d9045594fc881a592c926b67ab6d8208dad96785f49c8ffffcc0e8f823
import--fixed--socp--reference10--fixed_envelope,import--fixed--socp,import,fixed,socp,reference10,fixed_envelope,solver_infeasible,true,INFEASIBLE,false,false,false,true,true,191.79273961556558,0.0,NaN,NaN,0.05500006675720215,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c
