record_id,run_id,scenario,t,dt_h,P_actual_MW,request_MW,delivered_MW,mismatch_MW,building_1_K,heat_1_MW
four_period_future--highs,r5-commitment-31a90e21-2567-4e0f-8ff3-f01d1e56f0df,down,1,1.0,0.108,0.0,0.0,0.0,292.66362898959,0.015813466760570494
four_period_future--highs,r5-commitment-31a90e21-2567-4e0f-8ff3-f01d1e56f0df,down,2,1.0,0.09000000000000002,0.0,0.0,0.0,292.15,0.01672742020819983
four_period_future--highs,r5-commitment-31a90e21-2567-4e0f-8ff3-f01d1e56f0df,down,3,1.0,-0.0,0.0,0.0,0.0,293.2801325031888,0.049993047573341165
four_period_future--highs,r5-commitment-31a90e21-2567-4e0f-8ff3-f01d1e56f0df,down,4,1.0,0.04766814296720215,0.0,0.0,0.0,293.15,0.021397349936223654
four_period_future--clarabel,r5-commitment-6dea4799-bf93-4c80-8796-734d4903d0b0,none,1,1.0,0.10800000000008242,0.0,-5.551115123125783e-17,5.551115123125783e-17,292.8369120505148,0.022798977161837958
four_period_future--clarabel,r5-commitment-6dea4799-bf93-4c80-8796-734d4903d0b0,none,2,1.0,0.08335548563349358,0.0,1.3877787807814457e-17,1.3877787807814457e-17,292.56007663047205,0.025693521490557647
four_period_future--clarabel,r5-commitment-6dea4799-bf93-4c80-8796-734d4903d0b0,none,3,1.0,2.131101101949992e-14,0.0,1.328208634473398e-16,1.328208634473398e-16,293.0129321084914,0.03864590588585756
four_period_future--clarabel,r5-commitment-6dea4799-bf93-4c80-8796-734d4903d0b0,none,4,1.0,0.044725540562809606,0.0,7.632783294297951e-17,7.632783294297951e-17,293.15,0.029741357830169467
four_period_future--clarabel,r5-commitment-6dea4799-bf93-4c80-8796-734d4903d0b0,up,1,1.0,0.10800000000005741,2.513222799427406e-14,2.4952262478450393e-14,1.7996551582366827e-16,294.14999999999344,0.05599999999984824
four_period_future--clarabel,r5-commitment-6dea4799-bf93-4c80-8796-734d4903d0b0,up,2,1.0,0.0033554856335465664,0.07999999999994695,0.07999999999994703,8.326672684688674e-17,294.149999999995,0.03900000000001277
four_period_future--clarabel,r5-commitment-6dea4799-bf93-4c80-8796-734d4903d0b0,up,3,1.0,1.170320162925882e-14,9.795485873034204e-15,9.740630253688439e-15,5.4855619345764783e-17,294.14999999999566,0.035999999999997916
four_period_future--clarabel,r5-commitment-6dea4799-bf93-4c80-8796-734d4903d0b0,up,4,1.0,0.044725540562763545,4.6303437209456166e-14,4.613670556707916e-14,1.667316423770043e-16,293.15,0.010000000000083359
four_period_future--clarabel,r5-commitment-6dea4799-bf93-4c80-8796-734d4903d0b0,down,1,1.0,0.10800000000009055,-8.447841500987673e-15,-8.18789480661053e-15,2.5994669437714345e-16,292.54738559993683,0.01313986879850093
four_period_future--clarabel,r5-commitment-6dea4799-bf93-4c80-8796-734d4903d0b0,down,2,1.0,0.08335548563351543,-2.171822872709589e-14,-2.182976022169214e-14,1.1153149459625013e-16,292.2941369144977,0.022367437034704295
four_period_future--clarabel,r5-commitment-6dea4799-bf93-4c80-8796-734d4903d0b0,down,3,1.0,3.46755988034061e-14,-1.3350326017556864e-14,-1.323176692045884e-14,1.1855909709802317e-16,292.5910027961628,0.031260326021786
four_period_future--clarabel,r5-commitment-6dea4799-bf93-4c80-8796-734d4903d0b0,down,4,1.0,0.04472554056306843,-2.588078533971518e-13,-2.5875135367670055e-13,5.649972045127348e-17,293.15,0.03517994407673753
hand--highs,r5-commitment-e5a9897e-d56e-4ee1-8172-9186cd85c58a,none,1,1.0,0.08,0.0,0.0,0.0,293.15,0.041999999999999885
hand--highs,r5-commitment-e5a9897e-d56e-4ee1-8172-9186cd85c58a,up,1,1.0,-0.0,0.08,0.08,0.0,293.15,0.041999999999999885
hand--highs,r5-commitment-e5a9897e-d56e-4ee1-8172-9186cd85c58a,down,1,1.0,0.14200000000000004,-0.06200000000000004,-0.06200000000000004,0.0,293.15,0.041999999999999885
hand--clarabel,r5-commitment-131dccb7-2147-48a0-82a3-9f015edca0b6,none,1,1.0,0.0799999999996478,0.0,5.273559366969494e-16,5.273559366969494e-16,293.15,0.041999999999999336
hand--clarabel,r5-commitment-131dccb7-2147-48a0-82a3-9f015edca0b6,up,1,1.0,7.058096964143739e-15,0.07999999999964179,0.07999999999964126,5.273559366969494e-16,293.15,0.04199999999999935
hand--clarabel,r5-commitment-131dccb7-2147-48a0-82a3-9f015edca0b6,down,1,1.0,0.14199999999999724,-0.062000000000351406,-0.062000000000348915,2.491062911502695e-15,293.15,0.04199999999999951
no_call_only--highs,r5-commitment-5169a5be-40d7-4566-97d2-076fcbe63bf3,none,1,1.0,0.14200000000000004,0.0,0.0,0.0,293.15,0.041999999999999885
no_call_only--clarabel,r5-commitment-7cee245e-90a2-4c4e-a77a-55e58202a2fb,none,1,1.0,0.14199999999967589,0.0,1.3877787807814457e-16,1.3877787807814457e-16,293.15,0.041999999999999385
no_reserve--highs,r5-commitment-2169322e-24b4-4923-821c-a9c8a67b0e58,none,1,1.0,0.14200000000000004,0.0,0.0,0.0,293.15,0.041999999999999885
no_reserve--highs,r5-commitment-2169322e-24b4-4923-821c-a9c8a67b0e58,up,1,1.0,0.14200000000000004,0.0,0.0,0.0,293.15,0.041999999999999885
no_reserve--highs,r5-commitment-2169322e-24b4-4923-821c-a9c8a67b0e58,down,1,1.0,0.14200000000000004,0.0,0.0,0.0,293.15,0.041999999999999885
