record_id,run_id,phase,iteration,scope,count,failures,worst_id,normalized,pass
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,5,cost/down/physical,195,0,5-5-cost,9.073243297205612e-10,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,5,cost/none,1028,0,5-25-26-S/h12/3,1.664837146640093e-8,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,5,cost/none/physical,195,0,5-25-26-S,1.1368683772161603e-9,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,5,cost/up,1028,0,5-25-26-S/h12/2,2.6341563170846084e-8,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,5,cost/up/physical,195,0,5-5-cost,3.6276293316294485e-9,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,6,master,1,0,master/total,4.6015847819044366e-10,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,6,master/market,24,0,P_DA_MW/1,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,6,master/market/selected_market,254,0,R5-MK_nonnegative,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,6,master/risk_master,57,0,master/objective,4.6015847819044366e-10,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,6,candidate,26,0,down_bid/1,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,6,candidate/independent_market,255,0,R5-MK_nonnegative,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,6,candidate/risk_policy,38,0,z-binary,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,6,candidate/risk_policy/scenarios/down/validation,195,0,5-20,5.684341886080801e-10,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,6,candidate/risk_policy/scenarios/none/validation,195,0,5-21,5.684341886080801e-10,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,6,candidate/risk_policy/scenarios/up/validation,195,0,5-25-26-S,2.8421709430404007e-9,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,6,candidate/risk_policy/transport_checks/actual,6,0,budget,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,6,candidate/risk_policy/transport_checks/cost,6,0,budget,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,6,candidate/risk_policy/transport_checks/risk,6,0,budget,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,6,candidate/selected_market,254,0,R5-MK_nonnegative,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,6,cost/down,1028,0,5-20/1/1,8.048055905537026e-9,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,6,cost/down/physical,195,0,5-20,5.684341886080801e-10,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,6,cost/none,1028,0,5-25-26-S/h12/2,1.0731747958492848e-8,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,6,cost/none/physical,195,0,5-21,5.684341886080801e-10,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,6,cost/up,1028,0,5-25-26-S/h12/2,4.616854620266572e-8,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,6,cost/up/physical,195,0,5-25-26-S,2.8421709430404007e-9,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,7,master,1,0,master/total,2.6043602847474434e-9,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,7,master/market,24,0,P_DA_MW/1,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,7,master/market/selected_market,254,0,R5-MK_bounds,1.3646491344350883e-10,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,7,master/risk_master,59,0,master/objective,4.618756342874827e-9,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,7,candidate,26,0,independent-lower-optimum,1.1842378929335002e-12,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,7,candidate/independent_market,255,0,R5-MK_nonnegative,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,7,candidate/risk_policy,38,0,PCC/1,4.093947403305265e-10,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,7,candidate/risk_policy/scenarios/down/validation,195,0,5-5-cost,1.7759962660405009e-9,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,7,candidate/risk_policy/scenarios/none/validation,195,0,building-energy,8.27463098040937e-10,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,7,candidate/risk_policy/scenarios/up/validation,195,0,5-5-cost,4.110628018849506e-8,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,7,candidate/risk_policy/transport_checks/actual,6,0,budget,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,7,candidate/risk_policy/transport_checks/cost,6,0,primal-dual-gap,1.735210143020056e-12,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,7,candidate/risk_policy/transport_checks/risk,6,0,budget,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,7,candidate/selected_market,254,0,R5-MK_bounds,1.3646491344350883e-10,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,7,cost/down,1028,0,5-21/2/1,8.048055905537026e-9,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,7,cost/down/physical,195,0,5-5-cost,1.7759962660405009e-9,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,7,cost/none,1028,0,5-20/1/2,8.048055905537026e-9,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,7,cost/none/physical,195,0,building-energy,8.27463098040937e-10,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,7,cost/up,1028,0,5-25-26-S/h12/2,4.616854620266572e-8,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,7,cost/up/physical,195,0,5-5-cost,4.110628018849506e-8,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,8,master,1,0,master/total,8.187075151613229e-10,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,8,master/market,24,0,P_DA_MW/1,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,8,master/market/selected_market,254,0,R5-MK_nonnegative,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,8,master/risk_master,61,0,cut/12,5.4157487157139315e-9,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,8,candidate,26,0,down_bid/1,0.0,true
