stage,run_id,time_h,device,kind,P_MW,H_MW
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.25,PV3,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.5,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.5,CHP2,CHP,6.0,7.2
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.5,EB1,EB,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.5,EB2,EB,0.7698908959510762,0.7159985332345009
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.5,GT1,GT,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.5,PV1,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.5,PV2,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.5,PV3,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.75,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.75,CHP2,CHP,6.0,7.2
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.75,EB1,EB,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.75,EB2,EB,0.6821720919890369,0.6344200455498044
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.75,GT1,GT,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.75,PV1,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.75,PV2,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,5.75,PV3,PV,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.0,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.0,CHP2,CHP,6.0,7.2
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.0,EB1,EB,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.0,EB2,EB,0.8226020355926764,0.7650198931011891
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.0,GT1,GT,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.0,PV1,PV,0.1,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.0,PV2,PV,0.14999999999999988,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.0,PV3,PV,0.14999999999999988,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.25,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.25,CHP2,CHP,6.0,7.2
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.25,EB1,EB,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.25,EB2,EB,0.6745870593382385,0.6273659651845618
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.25,GT1,GT,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.25,PV1,PV,0.1,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.25,PV2,PV,0.14999999999999988,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.25,PV3,PV,0.14999999999999988,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.5,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.5,CHP2,CHP,6.0,7.2
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.5,EB1,EB,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.5,EB2,EB,0.6886194995454958,0.6404161345773112
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.5,GT1,GT,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.5,PV1,PV,0.1,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.5,PV2,PV,0.14999999999999988,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.5,PV3,PV,0.14999999999999988,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.75,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.75,CHP2,CHP,6.0,7.2
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.75,EB1,EB,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.75,EB2,EB,0.7039897023822977,0.654710423215537
