run_id,iteration,stage,equation,scope,entity,t,residual,unit,tolerance,pass
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-41,model,1,2,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-24,model,1,2,0.0,kPa,0.001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-24-order,model,1,2,0.0,normalized,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-21,model,1,3,0.0,kg/s,2.4999999999999998e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-43,model,1,3,0.0,kg/s,2.4999999999999998e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-17,relaxed,1,3,8.251732630526476e-14,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-17-original,physics,1,3,8.251732630526476e-14,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-19:20,model,1,3,2.7755575615628914e-17,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-37,model,1,3,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-41,model,1,3,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-41,model,1,3,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-24,model,1,3,0.0,kPa,0.001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-41,model,1,3,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-41,model,1,3,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-24,model,1,3,0.0,kPa,0.001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-24-order,model,1,3,0.0,normalized,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-21,model,1,4,0.0,kg/s,2.4999999999999998e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-43,model,1,4,0.0,kg/s,2.4999999999999998e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-17,relaxed,1,4,9.10937991704941e-14,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-17-original,physics,1,4,9.10937991704941e-14,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-19:20,model,1,4,6.938893903907228e-17,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-37,model,1,4,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-41,model,1,4,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-41,model,1,4,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-24,model,1,4,0.0,kPa,0.001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-41,model,1,4,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-41,model,1,4,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-24,model,1,4,0.0,kPa,0.001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-24-order,model,1,4,0.0,normalized,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-21,model,2,1,1.1102230246251565e-16,kg/s,2.4999999999999998e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-43,model,2,1,0.0,kg/s,2.4999999999999998e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-17,relaxed,2,1,0.002127818297909978,MW,3.0e-6,false
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-17-original,physics,2,1,0.002127818297909978,MW,3.0e-6,false
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-19:20,model,2,1,4.718447854656915e-16,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-38,model,2,1,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,R2-load-return,model,2,1,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-41,model,2,1,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-41,model,2,1,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-24,model,2,1,0.0,kPa,0.001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-41,model,2,1,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-41,model,2,1,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-24,model,2,1,0.0,kPa,0.001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-24-order,model,2,1,0.0,normalized,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-21,model,2,2,2.220446049250313e-16,kg/s,2.4999999999999998e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-43,model,2,2,0.0,kg/s,2.4999999999999998e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-17,relaxed,2,2,1.3477829963193244e-12,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-17-original,physics,2,2,1.3477829963193244e-12,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-19:20,model,2,2,8.326672684688674e-17,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-38,model,2,2,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,R2-load-return,model,2,2,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-41,model,2,2,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-41,model,2,2,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-24,model,2,2,0.0,kPa,0.001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-41,model,2,2,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-41,model,2,2,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-24,model,2,2,0.0,kPa,0.001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-24-order,model,2,2,0.0,normalized,1.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-21,model,2,3,0.0,kg/s,2.4999999999999998e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-43,model,2,3,0.0,kg/s,2.4999999999999998e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-17,relaxed,2,3,3.83179599161565e-12,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-17-original,physics,2,3,3.83179599161565e-12,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-19:20,model,2,3,5.551115123125783e-16,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-38,model,2,3,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,R2-load-return,model,2,3,0.0,K,0.0001,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-41,model,2,3,0.0,K,0.0001,true
