run_id,stage,equation,scope,entity,t,residual,unit,tolerance,pass
open_flexible--penalty-100,trading,retail_bound,model,3,3,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,retail_bound,model,3,4,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,retail_bound,model,3,4,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-peer-bound,tspa,P,1,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-absolute-fee,tspa,P,1,7.42137689753056e-9,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-contract,tspa,2P,1,1.4627188349436437e-14,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-contract,tspa,3P,1,5.322131624296844e-14,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-peer-bound,tspa,P,2,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-absolute-fee,tspa,P,2,7.407003531861235e-9,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-contract,tspa,2P,2,2.487177130916507e-13,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-contract,tspa,3P,2,3.929911951416898e-13,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-peer-bound,tspa,P,3,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-absolute-fee,tspa,P,3,2.4744307991486636e-9,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-contract,tspa,2P,3,2.5202062658991053e-14,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-contract,tspa,3P,3,2.026573353575145e-13,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-peer-bound,tspa,P,4,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-absolute-fee,tspa,P,4,7.420988662165565e-9,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-contract,tspa,2P,4,3.1021019086807655e-13,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-contract,tspa,3P,4,8.197054146563687e-13,MW,3.0e-6,true
